#{"t_start": 1614710453.0500724, "env_id": "BipedalWalker-v3"}
r,l,t
-100.490286,67,0.682004
-97.426511,80,0.759812
-98.475611,78,0.814402
-84.147094,1600,1.938871
-104.977074,97,2.007031
-100.645919,63,2.059019
-105.096254,56,2.097957
-108.879595,78,2.15374
-118.095957,94,2.220658
-113.326584,50,2.258966
-101.669057,107,2.337761
-84.424009,1600,3.489114
-108.367265,39,3.521822
-103.586282,74,3.577822
-113.283858,50,3.616904
-80.776545,1600,4.774059
-102.550664,72,4.827184
-101.245271,58,4.871305
-112.550694,74,4.924701
-110.909215,76,4.985729
-101.463494,47,5.021823
-102.313226,78,5.080475
-103.078625,103,5.155146
-95.300172,1600,6.32926
-83.222682,1600,7.463653
-34.874646,1600,10.528608
-116.24477,179,43.665381
-111.95738,108,47.722135
-127.709822,97,50.172193
-124.167765,1600,55.320612
-122.768517,105,88.584956
-128.073123,117,91.274353
-122.765876,100,93.881377
-139.06557,140,96.192677
-113.280463,91,99.44178
-118.805546,155,101.767536
-123.30548,1600,108.742382
-108.565828,51,141.143531
-107.864525,68,142.250128
-104.068787,42,143.613941
-102.645885,41,144.495516
-102.892764,55,145.395407
-101.316093,77,146.65333
-107.960291,66,148.451191
-108.588664,84,150.146851
-113.526883,68,152.019193
-99.744272,69,153.600147
-104.505027,219,155.478768
-91.460839,128,160.406029
-108.396272,86,163.275015
-101.316234,59,165.037306
-99.744941,82,166.313093
-111.976292,1600,170.695566
-85.991811,1600,208.121735
-101.325327,49,241.370309
-102.576491,45,242.403547
-100.842139,50,243.384416
-100.818929,59,244.467019
-100.772196,59,245.844774
-101.834745,49,248.279941
-101.521654,48,249.435164
-101.583803,48,250.461512
-104.963398,48,251.483901
-100.975734,50,252.502523
-101.586945,48,253.559184
-101.656464,48,254.580221
-101.230592,53,255.60384
-100.178596,59,256.870171
-101.721873,54,258.303428
-101.303904,54,259.635392
-102.102539,48,260.954453
-100.71756,58,262.126507
-100.195613,53,263.357086
-102.066963,52,264.646567
-99.664131,61,265.876029
-101.143382,64,267.176346
-103.319105,40,268.540261
-103.446426,56,269.413005
-102.137035,64,270.813211
-99.820618,61,272.330771
-103.348222,51,273.822534
-102.590391,48,275.12167
-100.001444,65,276.364707
-101.71097,58,277.950331
-99.644679,65,279.370037
-102.016941,58,280.74845
-102.934093,53,281.970401
-100.263817,63,283.093914
-102.765144,47,284.421739
-101.498786,58,285.424361
-100.696197,64,286.789482
-100.875891,67,288.416542
-100.188539,79,289.937001
-100.563568,77,291.76576
-99.687136,77,293.525391
-100.827841,81,295.444446
-104.466708,55,297.376472
-100.597658,84,298.639469
-106.886786,43,300.341953
-105.906686,48,301.281469
-110.497214,38,302.274698
-108.94443,40,303.07735
-106.290664,41,303.931924
-108.55573,40,304.792733
-110.085202,40,305.63776
-110.771656,39,306.489587
-112.039916,40,307.318174
-109.349831,43,308.21034
-111.100833,39,309.141724
-112.667744,42,309.978437
-107.948008,41,310.863963
-110.397834,41,311.811628
-111.969449,41,312.692955
-110.518585,41,313.556557
-112.790376,42,314.443484
-112.135505,42,315.393635
-110.75202,49,316.451984
-111.813806,42,317.674345
-112.914818,42,318.70631
-104.446784,122,319.913147
-98.552208,1600,325.803155
-103.230218,74,359.664449
-101.349492,99,361.278119
-101.531917,69,363.353573
-100.312086,78,365.095673
-105.551789,49,366.962934
-104.494697,62,368.196385
-102.736477,58,369.702429
-108.345008,44,371.081888
-108.534587,47,372.02538
-111.435012,46,373.174865
-108.891691,43,374.290161
-134.799319,1600,378.319736
-103.887494,67,412.830549
-107.060041,67,414.232422
-101.597852,66,415.680737
-100.927328,57,417.071613
-104.318916,54,418.464546
-104.166733,56,419.840954
-102.042957,53,421.209575
-101.406322,72,422.586671
-102.171337,70,424.285679
-107.639074,61,426.02357
-101.029965,67,427.517289
-103.377201,68,429.185754
-101.30835,66,430.652351
-106.298513,68,432.074922
-102.215101,70,433.547294
-99.050704,67,435.061588
-166.371236,1567,439.689338
-114.373826,76,473.802564
-100.964336,71,475.615578
-104.645066,58,477.116812
-101.916264,72,478.35281
-109.704411,51,481.453563
-99.909285,115,482.601494
-103.809087,69,485.074605
-109.76949,251,486.774388
-110.637619,1600,494.803707
-128.460579,1600,530.56803
-98.593414,1600,566.35829
-124.05785,74,600.045002
-138.508657,151,601.989552
-172.36222,1600,608.230287
-101.004611,81,642.007005
-123.909424,1600,646.954759
-156.595213,1600,712.506846
-127.33814,1600,749.886314
-140.577014,210,780.802339
-112.057512,1600,787.678304
-144.751783,1600,821.442991
-117.747089,62,852.465087
-113.392958,1600,856.466697
-119.475985,1600,890.167058
-92.139655,1600,948.839872
-120.512174,74,981.642727
-120.598057,96,983.395751
-90.632629,1600,988.063389
-115.252922,82,1020.329892
-125.691208,151,1022.29741
-108.136064,37,1025.331788
-78.446895,1600,1028.861071
-98.352327,1600,1064.087767
-106.425965,143,1096.300421
-111.827279,1600,1101.664695
-107.490534,86,1134.728065
-72.504378,1600,1139.778842
-106.35779,1600,1202.72157
-154.385595,1600,1238.136426
-104.342533,1600,1274.105514
-78.726621,1600,1310.013469
-51.575065,1600,1346.531347
-69.994483,1600,1382.832038
-10.937246,1600,1444.312283
-105.644575,71,1479.310991
-100.584056,113,1481.130995
-103.456972,101,1483.83948
-103.373155,109,1486.384891
-97.856387,85,1488.953336
-107.238767,55,1490.932285
-99.036499,81,1492.305463
-76.309869,1600,1496.879902
-45.209425,1600,1535.534503
-52.301248,1600,1575.321508
-101.00633,85,1613.539895
-66.973116,1600,1618.593398
-55.468036,1600,1661.28383
-38.668943,1600,1727.437709
-69.099669,1600,1770.989702
-64.538326,1600,1816.988805
-79.484107,1600,1863.877378
-52.902733,1600,1911.916629
-51.70719,1600,1962.011916
-55.334634,1600,2037.055436
-82.125654,1600,2087.718553
-97.342612,1600,2138.895003
-62.582273,1600,2190.189135
-37.716501,1600,2241.338423
-32.000583,1600,2292.915744
-16.722055,1600,2347.300699
22.40225,1600,2433.903533
-39.489875,1600,2492.702893
-71.688059,529,2549.786716
-48.975039,1600,2570.643261
-144.236651,1600,2631.170417
138.708306,1600,2689.506086
44.806933,1600,2750.187099
-25.673346,969,2831.143313
-5.90995,1600,2868.114108
-107.240254,332,2926.427081
80.846751,1600,2942.286774
124.628619,1600,3002.544646
83.218738,1600,3062.198325
-9.772525,1215,3123.047728
-81.954666,196,3167.956472
-49.863997,598,3176.195715
107.927649,1600,3223.148311
9.71019,1506,3286.432819
175.823791,1600,3346.381616
184.480336,1600,3410.235161
173.979132,1600,3473.341252
159.014991,1600,3535.457007
75.312223,1600,3616.399803
259.846073,1488,3672.857941
266.685323,1334,3726.506145
263.790574,1357,3775.443437
265.551271,1350,3825.325302
130.026541,1414,3875.588746
-22.383282,685,3926.664965
195.213561,1600,3954.28406
-11.795079,570,4027.593583
75.013029,925,4049.752601
-75.744755,185,4083.330403
111.218325,1316,4092.195193
44.314641,805,4140.952159
-94.155968,118,4170.727622
6.136303,616,4176.134725
