#{"t_start": 1614945868.0488112, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-121.622756,108,2.037455
-111.010496,50,2.060796
-111.255869,2000,2.886382
-101.580025,63,2.915087
-119.489714,135,2.972504
-108.024713,2000,3.802556
-117.520071,55,3.82765
-107.656731,62,3.854947
-98.739204,85,3.892443
-106.490963,75,3.925361
-102.743325,79,3.959251
-116.22452,66,3.988663
-97.304901,102,4.033256
-119.014203,110,4.080683
-116.171252,60,4.107543
-101.365586,76,4.139893
-102.87375,2000,4.965901
-119.037792,74,4.998599
-105.325789,76,5.032562
-103.834484,52,5.05538
-114.861848,66,5.084684
-104.490159,56,5.10944
-109.578131,99,5.152123
-106.098806,67,5.181542
-186.831999,1899,5.971722
-106.016067,69,6.001877
-100.673389,77,6.036484
-125.022914,455,7.111287
-106.137312,82,7.631374
-138.647913,331,9.715068
-98.486481,67,10.138173
-112.011422,67,10.564934
-127.631587,138,11.443877
-107.465212,239,12.948031
-108.891809,131,13.78934
-108.608134,110,14.486715
-103.4591,96,15.096569
-104.716926,94,15.695153
-108.975581,76,16.175636
-143.679241,558,19.720413
-141.264857,2000,32.839349
-114.328665,75,33.369989
-117.689013,52,33.738624
-119.09573,52,34.106996
-203.44657,1460,44.448046
-162.792165,2000,59.081882
-146.687836,1174,68.283096
-116.074559,146,69.46678
-110.355311,63,69.984378
-109.754488,67,70.525292
-121.949465,178,71.960248
-102.16771,107,72.836655
-64.273414,2000,89.279143
-156.221973,1594,102.637353
-96.871977,2000,118.996383
-102.971271,55,119.447009
-104.87606,51,119.870975
-106.014774,79,120.511665
-104.406156,65,121.043451
-109.852165,58,121.517624
-103.289529,66,122.054316
-109.676585,69,122.616693
-108.073715,76,123.236125
-120.395749,53,123.667534
-136.305513,141,124.812376
-107.519272,74,125.414553
-108.403506,65,125.949986
-140.205432,981,133.932806
-170.860711,650,139.12495
-165.221921,2000,155.487188
-130.158363,2000,172.285855
-101.434684,62,172.842443
-105.886522,74,173.537949
-114.253508,88,174.319469
-104.866905,60,174.834984
-138.327185,2000,192.634515
-103.896706,64,193.217679
-107.645166,97,194.130927
-103.078007,56,194.653836
-106.925883,42,195.061535
-108.045507,52,195.578791
-113.56853,117,196.711522
-103.792649,60,197.312069
-110.831396,78,198.086739
-103.295625,74,198.818127
-96.924202,107,199.886183
-106.098313,62,200.506804
-100.630288,117,201.662028
-102.772564,61,202.274694
-116.255184,109,203.348672
-264.720468,1865,221.843956
-102.454472,71,222.543347
-104.144237,57,223.103796
-114.970321,109,224.177522
-112.130868,68,224.852704
-198.595269,1439,238.9224
-104.599466,88,239.754948
-120.178424,58,240.304528
-134.679143,2000,258.640218
-126.386441,2000,277.828395
-99.29118,72,278.516132
-101.159849,74,279.228512
-102.967066,60,279.807899
-100.113287,83,280.613807
-125.777669,2000,300.189996
-103.489922,70,300.864177
-182.008095,1585,316.744082
-99.571447,94,317.692333
-103.173622,66,318.366005
-101.469126,94,319.316165
-102.408518,71,320.038546
-99.761529,89,320.915554
-100.085001,72,321.565043
-102.185057,71,322.177812
-100.879209,71,322.792767
-104.543682,77,323.457997
-102.324684,94,324.239829
-105.285416,124,325.384378
-106.827069,79,326.14252
-100.796143,78,326.879477
-119.134432,60,327.433918
-100.394742,92,328.30878
-101.660112,90,329.159472
-104.115147,106,330.153223
-107.820255,114,331.236983
-110.168591,102,332.206654
-103.694065,119,333.324999
-218.465543,2000,378.893306
-141.52277,2000,398.707258
-173.930716,2000,417.559322
-119.412288,2000,436.474918
-113.933954,80,437.292123
-116.89569,69,438.00028
-102.499359,96,438.990816
-110.769835,141,440.439067
-214.000337,2000,460.075131
-99.497391,95,461.008049
-99.92814,129,462.261896
-106.53254,359,465.911753
-133.100915,2000,485.930456
-123.283693,625,492.069101
