#{"t_start": 1635497807.4150407, "env_id": "HalfCheetah-v3"}
r,l,t
-289.556359,1000,12.441734
-300.131795,1000,12.69547
-347.846638,1000,12.948427
-166.433004,1000,13.202274
-253.902374,1000,13.456299
-226.46796,1000,13.709864
-342.791282,1000,13.961581
-291.979544,1000,14.215453
-344.851276,1000,14.468574
-278.687189,1000,14.723048
-1.523646,1000,22.282249
-595.427959,1000,28.195242
-535.548593,1000,34.094993
-204.000288,1000,40.181808
-553.614709,1000,46.256101
-548.654503,1000,52.320165
-396.772283,1000,58.384839
-349.524461,1000,64.242903
-170.030796,1000,70.108736
-36.920197,1000,75.994257
197.971656,1000,86.130189
679.541157,1000,92.053038
157.298598,1000,97.88486
442.017181,1000,103.720964
587.539313,1000,109.560209
709.125514,1000,115.39403
1078.120892,1000,121.228044
973.937442,1000,127.068102
-477.694747,1000,132.926226
1371.051428,1000,138.766864
1655.110336,1000,148.681527
1662.036214,1000,154.55675
1931.909256,1000,160.370434
2555.347466,1000,166.179156
2413.696879,1000,171.986658
2697.767399,1000,177.792167
2508.158453,1000,183.561053
2969.493581,1000,189.323601
2748.814383,1000,195.077816
2837.539114,1000,200.818751
2912.607151,1000,210.586081
3010.89675,1000,216.316047
3138.289141,1000,222.070697
3500.302429,1000,227.767567
3339.399958,1000,233.463094
3363.454295,1000,239.15871
3430.947255,1000,244.854612
3946.72009,1000,250.553209
3899.274127,1000,256.248984
3697.007185,1000,261.94227
3957.347431,1000,271.689487
4515.113323,1000,277.385333
3921.30104,1000,283.08875
3284.362325,1000,288.809038
3905.790754,1000,294.50615
3969.943041,1000,300.202782
4325.626599,1000,305.896726
4326.917368,1000,311.591497
4143.388233,1000,317.287723
4396.677384,1000,322.984378
4212.144092,1000,332.737862
4457.004981,1000,338.440144
4615.121676,1000,344.146118
4160.008776,1000,349.90637
4767.819378,1000,355.612241
4575.524455,1000,361.316339
4237.40467,1000,367.022629
1936.837349,1000,372.73238
4974.954241,1000,378.437964
5052.014443,1000,384.158591
4567.992631,1000,393.898257
4912.680544,1000,399.601067
4635.027834,1000,405.29964
5091.214693,1000,410.995638
4971.408877,1000,416.753066
5130.778329,1000,422.456564
4988.277039,1000,428.157998
4849.04983,1000,433.863448
4856.694658,1000,439.569618
5198.475736,1000,445.272307
