#{"t_start": 1614621298.606868, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1309.822116,1000,8.48357
-1353.892575,1000,9.421271
-1236.232997,1000,10.356245
-1426.768589,1000,11.290225
-1354.667768,1000,12.231443
-1208.488412,1000,13.187741
-1300.551228,1000,14.1213
-1276.938671,1000,15.080912
-1292.996637,1000,16.015019
-1310.957236,1000,16.950738
-1390.802986,1000,31.866826
-1172.867398,1000,38.366585
-1476.196095,1000,45.44384
-1472.436944,1000,52.502558
-1326.729315,1000,59.553531
88.004261,1000,66.577396
-988.268174,1000,73.670036
-973.494504,1000,80.696444
-910.760937,1000,87.737847
-1228.419418,1000,94.801343
-1042.623269,1000,114.280074
606.239797,1000,121.237722
-1626.394719,1000,128.301909
74.17721,1000,135.261829
-1612.213361,1000,142.30027
-1415.010059,1000,149.331702
-1473.436791,1000,156.264755
-1411.866509,1000,163.208311
-1245.33981,1000,170.14404
-988.616343,1000,177.037211
-1382.403396,1000,195.83293
-1441.322146,1000,202.821556
-974.262377,1000,209.719837
-450.952613,1000,216.590821
-646.364901,1000,223.540858
-1349.300498,1000,230.428568
-708.498293,1000,237.334631
-852.502786,1000,244.230823
-732.672739,1000,251.119701
-1107.761209,1000,258.023841
-123.309426,1000,276.590939
-844.189267,1000,283.480902
482.310312,1000,290.322855
-1137.777069,1000,297.295812
572.847278,1000,304.164237
559.305414,1000,311.046104
-1068.132736,1000,317.966286
311.940346,1000,324.847149
-1191.344461,1000,331.768075
-1719.203329,1000,338.666247
-1565.423259,1000,357.273036
-962.186646,1000,364.119714
-1637.697672,1000,371.030761
-1501.401591,1000,377.890723
-1628.237023,1000,384.760948
-1693.770001,1000,391.665936
-1681.161162,1000,398.591885
-1680.629695,1000,405.486921
-1680.093908,1000,412.389328
-1512.078102,1000,419.261911
-830.690745,1000,437.848742
-1421.008842,1000,444.73832
-131.279704,1000,451.579802
23.267861,1000,458.442749
-344.881525,1000,465.309925
62.381706,1000,472.161552
285.46151,1000,479.019246
578.879792,1000,485.856277
184.887459,1000,492.710522
-802.82434,1000,499.634166
610.89596,1000,518.160254
676.872838,1000,525.001882
437.037536,1000,531.858062
488.972267,1000,538.723577
-262.74696,1000,545.604939
571.878581,1000,552.456484
695.783177,1000,559.308072
613.812296,1000,566.159754
608.98325,1000,573.010784
-364.670608,1000,579.888334
-550.39497,1000,598.378209
-499.740973,1000,605.256742
-468.4484,1000,612.141443
-348.485392,1000,619.013452
535.442478,1000,625.870323
71.241938,1000,632.779496
661.126475,1000,639.700933
298.893133,1000,646.660951
602.370992,1000,653.765772
145.413472,1000,661.031968
-245.79427,1000,680.319185
260.158629,1000,687.575201
321.824878,1000,694.814089
509.425249,1000,702.024211
-1335.192394,1000,709.151698
575.607863,1000,716.279915
178.587639,1000,723.37581
288.840254,1000,730.492581
426.00398,1000,737.696855
582.710599,1000,744.96918
489.119191,1000,764.354394
390.27472,1000,771.602704
109.755085,1000,778.890976
587.732886,1000,786.171016
604.39419,1000,793.319788
527.104334,1000,799.901474
548.438718,1000,807.013278
525.625058,1000,814.15494
578.901847,1000,821.286196
502.838207,1000,828.508594
528.140776,1000,848.283525
-1162.940195,1000,855.578952
576.578919,1000,862.842537
529.162642,1000,870.129523
503.155665,1000,877.365371
472.060191,1000,884.478855
486.827045,1000,891.586571
639.343175,1000,898.712011
573.744859,1000,905.850449
-994.454866,1000,913.05214
609.442606,1000,932.332771
526.116337,1000,939.583368
577.62294,1000,946.852979
567.476642,1000,954.08004
591.709863,1000,961.345372
596.39313,1000,968.521231
407.476258,1000,975.633866
548.979539,1000,982.764609
570.346109,1000,989.883675
507.829912,1000,996.980972
586.847986,1000,1016.088385
585.589677,1000,1023.317823
274.980608,1000,1030.529279
634.501485,1000,1037.789447
533.068783,1000,1045.034496
617.447372,1000,1052.258728
622.72232,1000,1059.385892
645.329533,1000,1066.532311
638.193985,1000,1073.668399
665.025963,1000,1080.807842
660.279259,1000,1100.084023
650.856758,1000,1107.333716
582.801419,1000,1114.605801
656.455238,1000,1121.858786
424.014378,1000,1129.122547
650.988916,1000,1136.387496
686.496573,1000,1143.513306
592.387174,1000,1150.64085
718.843315,1000,1157.766114
672.113138,1000,1164.910197
594.276045,1000,1184.125893
602.665802,1000,1191.399028
717.036596,1000,1198.670738
629.274201,1000,1205.938264
647.249754,1000,1213.194208
596.664464,1000,1220.462299
606.594862,1000,1227.69848
611.966702,1000,1234.855965
654.969823,1000,1241.991687
613.274346,1000,1249.121673
623.710708,1000,1268.147827
604.559905,1000,1275.37806
523.521308,1000,1282.635752
607.112756,1000,1289.868567
594.403134,1000,1297.072475
606.767349,1000,1304.301384
354.049233,1000,1311.559655
358.652843,1000,1318.768682
608.009062,1000,1325.866695
590.282385,1000,1332.93927
644.2896,1000,1351.597937
712.790105,1000,1358.750785
596.886977,1000,1365.933621
745.808537,1000,1373.118088
611.480713,1000,1380.299234
627.133098,1000,1387.491745
769.891871,1000,1394.637524
