#{"t_start": 1635507079.4343634, "env_id": "Hopper-v3"}
r,l,t
14.586174,19,3.145452
13.09917,27,3.16058
10.281308,16,3.16956
9.24557,14,3.177349
8.693514,12,3.184161
11.095033,28,3.199325
12.498593,16,3.208234
21.091004,27,3.224096
22.217933,22,3.236152
4.590485,11,3.242372
10.616914,16,3.251251
39.457788,45,3.275423
24.245813,22,3.287418
16.273613,18,3.297332
6.983625,9,3.302433
12.668751,19,3.312661
11.554824,14,3.320297
8.607936,16,3.32896
17.957508,19,3.339605
7.457851,20,3.35075
6.341827,9,3.356058
16.010167,22,3.368105
10.145253,19,3.37865
10.248229,14,3.386394
11.24871,21,3.400549
6.42682,10,3.406292
11.354634,14,3.413676
10.156314,18,3.423759
8.878585,20,3.434748
12.35081,17,3.444149
10.655037,14,3.451943
8.282092,21,3.463703
22.218895,21,3.475194
8.139237,10,3.480751
10.883182,17,3.48991
8.532652,18,3.499997
10.022555,15,3.508523
14.198345,15,3.51669
37.374183,29,3.532437
13.876155,28,3.54776
92.556623,97,3.600411
24.820364,22,3.61259
8.388387,23,3.625411
7.580761,11,3.631485
24.757062,44,3.65553
14.817573,40,3.677769
9.235073,20,3.689053
16.432927,16,3.697938
11.049758,16,3.707037
11.950983,15,3.71552
11.608607,15,3.723926
12.256134,15,3.732313
28.439148,45,3.757265
14.005666,15,3.765892
17.541713,20,3.776938
18.391806,20,3.788078
11.339025,19,3.798836
10.654717,14,3.806725
15.099261,18,3.816826
9.544897,12,3.823626
15.021959,17,3.833328
17.95425,26,3.847774
37.185385,31,3.864922
15.947568,23,3.877838
9.274325,13,3.88539
14.679906,17,3.89474
21.266777,32,3.912351
10.749747,14,3.920028
7.685326,10,3.925602
37.753943,35,3.944564
13.156502,17,3.954083
22.098246,24,3.967308
28.388014,40,3.989598
10.776439,14,3.997556
53.938824,49,4.024282
19.897368,34,4.043357
10.973158,29,4.059529
8.312684,24,4.073142
39.680816,35,4.092178
9.32345,11,4.09814
6.733229,12,4.105132
21.136206,24,4.118544
16.888051,19,4.129365
6.317731,9,4.134359
23.183387,26,4.148815
24.507366,22,4.161021
4.745057,25,4.174874
10.421447,12,4.181664
10.867298,13,4.189023
5.913788,8,4.193455
7.595722,11,4.19974
24.649887,25,4.213396
8.203788,13,4.220557
17.633463,20,4.231445
10.041611,13,4.238781
8.034396,19,4.249309
15.647006,17,4.258922
10.570334,13,4.266046
70.021493,63,4.299694
7.581993,15,4.308125
10.865122,19,4.318901
46.187283,32,4.336653
8.372613,16,4.345597
