#{"t_start": 1614621287.223891, "env_id": "HopperBulletEnv-v0"}
r,l,t
19.397957,8,12.799161
14.983735,9,12.807498
20.876422,12,12.818224
19.20197,13,12.829983
21.151198,9,12.838558
21.53549,14,12.850938
19.686266,10,12.860024
15.71417,21,12.878516
19.31004,14,12.891225
18.795161,9,12.899825
19.274381,11,12.909851
18.041868,7,12.916328
19.755703,7,12.923033
18.931209,15,12.936373
21.765412,11,12.946432
25.895712,18,12.962563
19.297352,16,12.976999
24.730655,18,12.993099
23.850568,16,13.007386
22.966045,18,13.023303
18.106941,19,13.040293
18.706478,9,13.048496
16.371385,17,13.063448
23.751718,13,13.075031
15.935875,12,13.085927
20.296032,9,13.094164
23.021456,11,13.106013
21.615592,14,13.118431
14.203421,6,13.124171
21.68537,21,13.142437
19.818239,10,13.151397
19.260132,14,13.16378
23.358765,12,13.174554
20.817658,11,13.184585
18.624597,8,13.192167
20.213496,7,13.19863
22.365552,10,13.20786
18.677507,10,13.216909
21.998772,12,13.227753
21.232422,10,13.236773
21.37529,11,13.246885
19.13552,13,13.258555
21.407351,14,13.271026
18.935059,16,13.285076
19.904602,6,13.290982
11.767195,8,13.298212
23.996357,13,13.309796
17.838794,7,13.316249
28.928832,28,13.340937
19.542577,9,13.349257
17.221199,11,13.359168
23.996168,19,13.375942
18.409846,9,13.384418
19.742129,7,13.391057
20.005889,16,13.405169
13.733384,7,13.411647
22.768177,12,13.422457
19.511025,10,13.431519
17.706654,7,13.438036
23.453732,11,13.447984
16.239709,15,13.461487
19.875014,8,13.468706
23.19921,9,13.477009
18.311352,8,13.484322
15.802324,5,13.489277
16.183813,19,13.505868
18.956865,14,13.518179
20.524692,12,13.529037
19.386862,6,13.534893
22.453268,11,13.544934
20.744112,15,13.558155
25.619316,15,13.5717
18.705944,8,13.579195
18.695642,11,13.589107
19.333623,14,13.601617
23.489563,28,13.625774
15.179852,9,13.634182
19.372427,11,13.64395
22.423106,15,13.657088
26.11165,14,13.669873
23.373746,12,13.680783
20.676802,17,13.695854
16.60126,13,13.707326
14.263055,15,13.720402
19.16013,9,13.728804
23.165955,10,13.737861
19.873941,14,13.75056
26.37012,21,13.768959
19.386562,9,13.777505
24.107957,15,13.790995
20.349935,8,13.798247
19.500531,12,13.808901
23.453014,13,13.820791
18.775355,7,13.827383
17.488153,8,13.834763
24.427503,13,13.846542
12.956857,12,13.857456
17.845543,18,13.873323
14.35224,9,13.881326
19.293024,8,13.888581
20.480129,6,13.894485
23.343496,16,13.908914
21.742532,21,13.928773
23.246746,17,13.944364
18.896091,10,13.954152
18.436645,7,13.96067
19.650189,9,13.969063
23.183167,12,13.980254
17.20425,6,13.986501
21.316057,15,14.000701
21.113802,16,14.015881
20.339203,12,14.027446
14.405878,8,14.035415
15.228391,16,14.050173
24.486466,15,14.063943
21.377726,11,14.074094
26.047722,18,14.090766
19.608049,7,14.097462
18.702445,27,14.121771
23.121729,10,14.13104
16.044968,5,14.136435
16.661599,9,14.145459
19.00749,14,14.159177
17.375896,8,14.167228
20.852744,12,14.178686
16.706347,6,14.184423
19.794707,14,14.197133
21.531445,14,14.209828
12.99433,12,14.220669
18.936041,12,14.231461
21.229914,12,14.242411
17.434617,12,14.253433
24.153691,13,14.265328
19.801259,8,14.27276
22.480499,11,14.282933
24.412199,15,14.29636
21.791957,9,14.304964
14.334069,13,14.31726
19.517382,8,14.325253
21.575981,9,14.334019
19.169203,12,14.345235
18.243879,7,14.351839
18.956032,9,14.360066
17.961797,7,14.366689
15.562721,11,14.376813
19.784122,7,14.383355
19.798657,8,14.390918
18.951811,12,14.401777
19.022414,10,14.411084
20.251176,18,14.426782
18.723963,11,14.436743
18.366698,10,14.445872
22.509585,14,14.458343
16.580089,6,14.463989
26.303264,15,14.477293
17.755023,12,14.488053
24.967486,15,14.501745
22.593304,13,14.513304
19.986268,9,14.521708
18.339911,12,14.532554
18.714629,9,14.541101
18.069449,13,14.552772
20.332818,14,14.565061
