#{"t_start": 1635507208.8931258, "env_id": "Humanoid-v3"}
r,l,t
115.783956,23,3.180562
219.830929,44,3.231635
106.744885,21,3.254226
113.149211,23,3.278474
115.76151,24,3.303619
117.873894,25,3.330186
160.879392,31,3.363606
146.882754,28,3.394474
163.282741,31,3.430561
88.845019,18,3.449705
185.021152,35,3.489099
135.003807,26,3.517936
89.052024,18,3.536829
157.722498,32,3.579085
101.009103,20,3.600559
100.612899,20,3.621489
83.675674,17,3.639648
157.543323,31,3.682492
112.504185,22,3.708577
195.6297,39,3.752668
108.53719,22,3.776845
96.228709,19,3.797078
110.704379,22,3.821115
141.398543,28,3.85423
88.804179,18,3.87348
90.014971,18,3.891984
88.8763,18,3.910749
143.533099,28,3.941325
118.374032,23,3.96587
88.74414,18,3.984755
113.05574,22,4.008872
83.93363,17,4.026381
106.81804,21,4.049255
118.959364,23,4.074368
175.715973,36,4.114939
116.841029,23,4.141638
133.154832,27,4.171826
107.101616,21,4.195405
201.521013,40,4.241174
117.378808,23,4.265366
107.452025,22,4.289379
83.389472,17,4.307024
149.016484,29,4.341418
78.588118,16,4.357835
145.098311,28,4.388239
83.782879,17,4.405571
109.814856,23,4.431038
107.349241,21,4.453628
95.158064,19,4.473478
106.637883,21,4.495669
88.356716,18,4.514577
100.533515,20,4.536004
95.880248,19,4.55594
161.42189,32,4.592355
88.366815,18,4.611109
101.802483,20,4.632725
181.630434,36,4.672456
134.224882,27,4.701752
94.464637,19,4.721488
121.930936,24,4.747771
101.784923,20,4.769749
100.835929,20,4.79112
116.028797,23,4.815805
98.858195,20,4.836792
95.778159,19,4.859179
110.132957,22,4.882268
95.551963,19,4.902081
132.285947,26,4.929672
83.474268,17,4.947505
95.03995,19,4.967851
157.416868,30,5.001753
101.217567,20,5.023132
101.606736,20,5.044236
144.034827,28,5.074819
88.555544,18,5.093861
116.05307,23,5.119264
88.976433,18,5.138524
116.625101,25,5.167413
210.326532,43,5.216518
88.432794,18,5.235242
100.784244,20,5.257843
137.023831,27,5.288078
175.232523,36,5.329236
121.77336,24,5.354984
183.604118,35,5.393726
122.644127,24,5.420511
146.66733,31,5.456789
88.948732,18,5.475535
116.726796,24,5.501005
100.17617,20,5.523124
99.738914,20,5.544032
177.980384,35,5.584261
146.114028,30,5.61791
101.662293,20,5.639403
95.864571,19,5.659656
83.551313,17,5.677389
158.08071,31,5.711327
83.637973,17,5.729008
131.07756,26,5.760969
159.479876,31,5.795321
94.348075,19,5.815122
99.963552,20,5.836355
122.380717,24,5.861417
136.357479,27,5.891112
88.799807,18,5.909736
105.298495,21,5.934093
115.115956,23,5.959504
111.943274,22,5.983222
105.923757,21,6.006078
95.793754,19,6.025511
180.021767,37,6.070353
133.76563,26,6.098485
136.066735,27,6.127424
112.564099,22,6.15061
109.217534,22,6.17468
83.477494,17,6.19256
135.819475,26,6.221224
196.459145,38,6.265152
111.803873,22,6.292183
145.599039,29,6.323837
113.401835,24,6.351939
122.566634,24,6.377412
99.708286,20,6.398989
95.202307,19,6.421544
105.326983,21,6.446398
101.028135,20,6.467765
154.786873,30,6.501035
212.548576,41,6.546927
133.210901,27,6.577528
139.538091,27,6.607139
113.683394,23,6.632758
112.513528,22,6.656978
114.24083,22,6.680521
88.666804,18,6.698378
88.763488,18,6.717091
111.357613,22,6.743164
98.231951,20,6.767152
88.89128,18,6.785568
100.336067,20,6.806031
83.419886,17,6.823745
140.470329,30,6.861718
118.888222,24,6.887796
89.234091,18,6.90678
121.623932,24,6.933732
89.319521,18,6.953157
175.825964,34,6.990422
88.891874,18,7.009823
114.150676,22,7.033442
137.261031,27,7.06373
113.590673,22,7.08785
113.750998,22,7.112043
102.70135,20,7.133534
141.28365,27,7.164281
90.158855,18,7.182746
88.677823,18,7.201375
248.593497,46,7.254839
100.461858,20,7.27661
216.910775,41,7.322789
149.475523,28,7.354717
88.651851,18,7.372704
94.924981,19,7.393193
136.019332,26,7.421542
106.143582,21,7.443634
88.661894,18,7.46179
89.566781,18,7.480671
117.331192,23,7.505605
107.070438,21,7.528152
214.941715,43,7.57691
114.324821,23,7.601611
103.20669,20,7.623151
170.145445,33,7.659864
95.185808,19,7.680304
100.702337,20,7.705133
88.855392,18,7.724281
145.163926,29,7.757819
205.576999,41,7.805674
153.274318,29,7.836686
130.114198,27,7.866337
113.041069,22,7.890358
89.619343,18,7.90894
116.764481,23,7.933996
88.454442,18,7.952954
83.857881,17,7.970976
209.761885,40,8.014517
203.153924,41,8.061148
131.499457,26,8.091004
150.153147,31,8.125153
94.729556,19,8.145167
158.191365,31,8.178631
89.104213,18,8.19687
83.542374,17,8.214375
136.411671,27,8.243423
160.423241,35,8.283174
114.704302,23,8.307081
89.233347,18,8.326388
119.933714,24,8.352224
100.212455,20,8.372658
105.289054,21,8.395262
129.411105,25,8.423198
101.234008,20,8.444713
99.583567,20,8.466776
88.39495,18,8.485421
113.636415,22,8.508902
132.838103,26,8.537161
113.791577,22,8.561158
96.667715,19,8.581619
111.466161,22,8.605593
105.551802,21,8.628227
106.776593,21,8.650764
95.892541,19,8.67021
159.461514,31,8.704273
88.131228,18,8.722195
135.543113,26,8.750893
104.101275,21,8.772959
88.317746,18,8.79135
107.019818,22,8.813925
90.114095,18,8.832335
110.332636,22,8.857394
140.425737,28,8.888397
88.960469,18,8.906797
141.151817,27,8.937074
117.908032,23,8.961432
178.955846,35,8.999734
140.93556,28,9.031361
88.049249,18,9.049951
83.173389,17,9.068464
83.233817,17,9.08632
95.031829,19,9.106408
130.05346,25,9.132812
83.308306,17,9.150001
175.737193,35,9.196375
102.502031,20,9.217884
88.668432,18,9.236117
94.944855,19,9.256559
95.849666,19,9.276356
123.225539,24,9.30205
83.521604,17,9.319203
182.498523,39,9.362896
215.842308,43,9.415442
98.077383,20,9.436323
83.372226,17,9.453709
136.905869,26,9.481819
94.526464,19,9.501813
148.592177,29,9.534041
165.170955,32,9.568569
111.144221,23,9.593452
83.356629,17,9.610652
100.393251,20,9.631647
111.900462,22,9.655291
156.816328,30,9.688581
231.283928,44,9.739331
131.514531,27,9.768046
122.569218,24,9.794241
88.801188,18,9.8125
112.356936,22,9.835995
115.164342,23,9.85997
78.370693,16,9.87648
88.111807,18,9.895173
148.189862,29,9.926856
111.602587,22,9.951111
207.794572,40,9.995606
117.476422,23,10.021341
121.695478,24,10.0471
106.416375,21,10.070178
117.861916,23,10.094075
129.073078,25,10.120979
83.365664,17,10.138231
124.125798,25,10.164411
108.726474,22,10.188153
185.533749,37,10.230676
134.198512,26,10.260155
88.627452,18,10.278862
89.879623,18,10.297627
120.64927,24,10.323183
157.252585,30,10.356529
107.382447,21,10.378543
142.279928,29,10.409255
121.47021,25,10.436084
95.364892,19,10.456614
111.303048,22,10.480217
156.17367,30,10.516035
123.821752,24,10.54314
152.140307,30,10.574935
83.33375,17,10.592102
206.46257,39,10.635321
147.297151,29,10.666476
136.65628,27,10.69509
114.252465,23,10.719023
171.649587,34,10.764504
125.953505,25,10.796099
83.550132,17,10.814985
122.305829,24,10.842076
99.372499,20,10.86321
89.031525,18,10.881642
88.30616,18,10.902237
103.868078,22,10.925255
95.637287,19,10.94549
101.26389,20,10.96683
133.276966,26,10.995221
210.936816,43,11.043523
130.018044,26,11.072165
169.706573,33,11.109384
102.470966,20,11.13109
143.975664,27,11.161047
138.627121,28,11.192065
208.977313,41,11.238419
125.320392,24,11.264234
101.948948,20,11.286017
107.842093,21,11.308827
94.061726,19,11.329471
83.2549,17,11.347334
95.09484,19,11.367784
140.640765,28,11.398039
140.634163,27,11.427332
90.421635,18,11.446508
88.126734,18,11.465172
83.524592,17,11.482502
96.601096,19,11.502339
90.084482,18,11.521428
88.201549,18,11.539841
94.875061,19,11.56026
78.836122,16,11.576897
127.914521,25,11.604083
124.773643,24,11.630366
88.815941,18,11.648494
83.97258,17,11.666293
88.268567,18,11.684443
100.66836,20,11.706393
98.841826,20,11.727792
89.146606,18,11.74624
129.759778,26,11.775103
95.742937,19,11.796021
200.182176,41,11.844857
104.386118,21,11.867978
140.88673,27,11.89753
106.500868,21,11.920782
88.557598,18,11.939477
110.78426,22,11.962922
89.373114,18,11.982066
154.016032,30,12.01475
90.617719,18,12.033394
117.539601,24,12.058399
95.326291,19,12.078115
89.932619,18,12.096986
83.315598,17,12.1142
141.452055,28,12.145337
78.446259,16,12.161272
95.737509,19,12.181094
83.314314,17,12.198114
158.56797,31,12.232558
103.667815,21,12.255688
139.45559,28,12.286436
130.8374,26,12.31405
78.454368,16,12.330683
88.048346,18,12.348879
98.84995,20,12.370335
89.033531,18,12.388927
137.997266,27,12.418921
146.986456,30,12.450864
175.867042,36,12.491174
84.456768,17,12.508582
95.911847,19,12.528355
212.032448,42,12.575361
115.101661,23,12.600227
83.443561,17,12.617826
101.300366,20,12.638295
90.608646,18,12.65714
89.55923,18,12.675538
125.932918,25,12.702776
113.125825,22,12.726708
228.71203,47,12.78154
84.145847,17,12.79881
163.47634,32,12.834811
88.623468,18,12.856152
182.490692,36,12.896667
168.494577,32,12.931167
148.345901,30,12.96483
83.351623,17,12.98236
142.187113,28,13.012321
95.289097,19,13.031953
89.186141,18,13.051576
83.26757,17,13.068727
126.286171,25,13.095185
201.127562,40,13.139749
155.087328,30,13.172668
140.125652,27,13.202906
100.381273,20,13.224509
138.763531,28,13.256287
78.857924,16,13.272632
145.618545,29,13.304412
83.598763,17,13.322604
156.849754,31,13.357605
174.188904,36,13.399496
111.134692,22,13.422147
119.655681,23,13.447786
181.974033,35,13.487555
111.816085,22,13.511006
96.225591,19,13.531017
95.834358,19,13.550913
118.232107,23,13.576101
160.974408,31,13.609924
131.64094,26,13.637818
88.519422,18,13.656391
102.190048,20,13.677895
89.397662,18,13.696813
95.759309,19,13.717031
113.725638,22,13.74164
95.33754,19,13.761075
137.700062,30,13.79391
102.100984,20,13.814846
83.412227,17,13.83224
113.473773,22,13.856281
100.877838,20,13.877332
90.100172,18,13.895836
106.894369,21,13.91802
89.002113,18,13.936387
111.380195,22,13.960176
78.795816,16,13.976634
136.07155,27,14.006788
113.245022,23,14.032222
88.899952,18,14.050928
126.068564,25,14.078557
181.645609,35,15.069631
209.655028,47,15.520989
100.345362,21,15.715118
161.436593,33,16.026289
302.462044,61,16.616496
335.396364,74,17.335467
303.69851,67,17.984075
305.589043,65,18.60969
355.244813,78,19.362321
336.542644,70,20.040766
329.048531,71,20.731036
347.509737,79,21.496027
389.838771,83,22.303717
340.652532,75,23.026472
319.090106,69,23.693788
352.678012,76,24.428222
380.148632,81,25.210052
315.937953,68,25.867881
405.281287,83,26.674896
318.02966,72,27.374093
334.246576,72,28.073292
319.967323,67,28.72119
270.507322,51,29.221715
278.152051,53,29.734267
275.066838,52,30.239548
289.159002,55,30.7747
291.078664,55,31.306906
291.793897,55,31.844607
284.915751,54,32.370791
254.736264,48,32.844304
263.100189,50,33.326196
204.311575,43,33.733787
209.847876,43,34.146441
231.553511,49,34.611441
140.086234,27,34.873654
134.879105,26,35.120486
133.845948,26,35.370181
134.597734,26,35.618896
134.86143,26,35.868721
135.079757,26,36.115501
135.087802,26,36.363604
128.484176,25,36.599647
128.608152,25,36.839521
128.968295,25,37.075392
128.719035,25,37.315896
129.151688,25,37.551505
128.878856,25,37.79074
139.8461,27,38.045536
134.628145,26,38.293769
134.438529,26,38.542233
134.439551,26,38.790351
123.775995,24,39.021458
129.174917,25,39.261075
123.425693,24,39.489208
123.821597,24,39.716738
128.90295,25,39.952717
123.728865,24,40.181388
128.155589,25,40.421208
128.962928,25,40.658585
123.045708,24,40.886039
128.811201,25,41.127766
123.211303,24,41.356683
117.66645,23,41.574523
124.046476,24,41.80279
117.453905,23,42.025783
123.394278,24,42.256448
122.537194,24,42.484213
122.959749,24,42.713228
123.195112,24,42.944989
128.961811,25,43.181974
128.784736,25,43.423315
128.782145,25,43.660114
128.378626,25,43.901474
123.750344,24,44.1308
128.575294,25,44.368348
129.151258,25,44.609451
128.499042,25,44.845595
