#{"t_start": 1614710446.7768762, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-90.699014,100,0.258753
-162.544122,117,0.316666
-254.267873,140,0.388669
-115.656396,108,0.441955
-65.268172,147,0.516333
-175.812021,135,0.586886
-88.532878,143,0.661254
-251.959697,111,0.713304
-235.340798,97,0.759176
-94.003962,78,0.794456
-143.166252,86,0.833084
-418.497768,90,0.875084
-335.649129,113,0.929674
-302.940778,114,0.986485
-187.570139,117,1.047561
-325.967779,110,1.102973
-159.898828,83,1.141331
-276.598235,92,1.184799
-112.979736,101,1.234192
-253.277816,85,1.275106
-154.007605,68,1.305953
-224.857295,120,1.364613
-304.015471,122,1.423615
-87.743874,99,1.472018
-101.786709,108,1.523244
-93.703953,81,1.56084
-264.829642,84,1.600875
-190.000067,71,1.631127
-206.654266,83,1.670411
-410.254886,173,1.774817
-52.804611,117,1.833286
-183.742891,75,1.867734
-216.417576,75,1.90283
-71.357592,122,1.960148
-458.469752,129,2.023218
-326.186046,184,2.12865
-26.357677,79,2.165983
-127.829533,133,2.235067
-375.038862,197,2.347534
-13.071299,75,2.381772
-130.493072,140,2.450358
-181.266289,114,2.507421
-99.954379,91,2.550545
-96.96638,70,2.584265
-54.05369,64,2.612476
-551.417545,177,2.712081
-345.020653,83,2.750501
-105.359924,79,2.787014
-214.411941,104,2.83786
-348.714302,132,2.904197
-162.21331,78,2.939383
-252.318947,108,2.995166
-74.194036,74,3.029405
-390.918461,105,3.081789
-113.69712,76,3.11707
-521.229531,131,3.181761
-183.753201,133,3.24845
-81.325695,96,3.29507
-225.439795,86,3.335156
-285.495391,152,3.416772
-300.803781,85,3.458421
-334.134539,151,3.534191
-145.20458,119,3.59343
-306.807818,90,3.636526
-161.858654,94,3.680862
-280.172377,98,3.72702
-82.101207,117,3.78549
-162.8359,117,3.840625
-380.016078,117,3.89799
-123.522165,99,3.946103
-400.791596,122,4.008312
-267.928631,91,4.052497
-67.321144,100,4.102417
-196.540313,152,4.185895
-405.273356,123,4.24736
-189.85398,121,4.308629
-42.365172,114,4.367429
-254.978097,156,4.454247
-357.518082,92,4.49694
-284.505135,92,4.541001
-132.381729,136,4.609063
-33.244314,100,4.660409
-42.293429,81,4.698935
-113.287829,140,4.772254
-423.996745,129,4.837721
-377.008226,105,4.888186
-119.82599,87,4.927965
-87.949477,83,4.966812
-46.831477,85,5.007542
-438.944482,124,5.067002
-279.46361,120,5.125068
-123.934545,114,6.009362
-47.092572,157,7.317116
-466.139557,169,9.111452
-447.284634,84,10.932052
-320.370015,93,11.884417
-485.322096,196,13.071095
-352.186333,247,15.758167
-160.544485,1000,22.0037
-161.24763,327,34.014298
-148.868845,642,38.918936
-114.710058,1000,48.772957
-137.186104,487,61.247797
-183.985249,667,68.914608
-97.457558,290,77.020831
-188.720909,253,80.708927
-89.383694,245,83.939617
-125.638339,213,87.001288
-192.023301,366,90.121937
-119.739455,397,95.044976
-218.798329,505,100.715253
-233.238232,646,108.177287
-153.169255,1000,119.484779
-104.082327,1000,132.867655
-113.801082,1000,170.273374
-47.420273,316,182.483519
-42.58847,262,186.498775
-26.476309,223,189.80809
32.844968,207,192.62365
279.060698,331,195.625043
-12.667948,1000,204.387477
-28.013857,477,217.266427
85.96287,1000,226.24941
-94.266802,690,239.999201
29.637736,1000,252.017406
0.250921,1000,266.473104
-28.757531,1000,283.222799
42.795672,1000,298.018219
-47.393761,1000,333.702175
33.554437,155,345.512398
-166.591406,895,351.525098
-58.079965,1000,367.077916
-176.4025,677,380.049994
-45.510788,1000,390.361275
-48.691759,252,402.296665
-32.097816,1000,407.752774
-18.52267,144,419.505767
12.20163,1000,425.695735
30.849951,1000,441.177463
-76.238737,1000,455.076159
-64.13432,207,466.907477
-51.988825,1000,471.791493
-26.524813,341,499.634861
-73.003843,1000,507.157641
-91.974901,483,520.09581
-19.171465,203,525.981659
36.530626,1000,531.696232
-31.608745,129,543.478656
-38.791245,165,545.193326
-49.800728,440,547.952441
-47.891751,99,553.192413
-35.690309,324,554.961596
-127.805158,1000,561.229376
-16.149178,1000,577.318833
-0.292614,178,589.444072
-57.525019,131,591.698675
-130.965449,249,593.550338
-24.139833,131,596.660235
-32.18324,103,598.321234
-59.347143,105,599.64706
11.318666,120,601.023508
-32.255203,108,602.562182
-42.049643,89,603.938045
