#{"t_start": 1614621346.1254835, "env_id": "MountainCarContinuous-v0"}
r,l,t
-42.452558,999,0.64552
-84.125556,999,11.93254
-71.61995,999,23.892093
-15.972139,999,36.106593
-23.28254,999,48.424219
-25.297606,999,60.693515
-17.814799,999,72.875019
-75.14916,999,85.087569
-17.388516,999,97.355443
-20.986586,999,109.637009
-33.794994,999,126.245974
-40.858612,999,138.622008
-21.436938,999,151.009471
-69.44627,999,163.434664
-39.614547,999,175.902966
-10.81201,999,188.445584
-23.007774,999,201.020083
-14.995211,999,213.60743
-32.366006,999,226.224242
-72.591504,999,238.84569
-20.592597,999,255.755912
-23.696141,999,268.433395
-72.652765,999,281.142895
-52.132211,999,293.853044
-66.291312,999,306.588969
-50.132465,999,319.34094
-81.204648,999,332.094373
72.655913,710,344.67482
-66.713136,999,353.897228
61.278798,988,366.722505
-57.905055,999,383.672239
-76.259128,999,396.578974
-45.480439,999,409.515465
-49.757185,999,422.446619
-41.976248,999,435.385849
-19.374688,999,448.324103
-56.698455,999,461.26047
94.346449,498,473.892496
-24.244016,999,480.645671
63.071986,956,493.585953
-43.995389,999,510.216975
-92.947912,999,523.162539
62.676642,506,535.832007
85.278945,521,542.403526
82.955622,779,549.309787
89.564133,189,559.078076
-11.578478,999,562.008172
-59.194177,999,574.996306
-27.797793,999,588.105101
88.943866,697,601.100753
52.06728,945,610.357078
-39.609071,999,623.273284
-9.868633,999,637.004634
-43.944829,999,655.052681
-21.012409,999,668.989324
-46.211511,999,682.88968
-67.827377,999,696.791668
-52.208767,999,710.744553
86.831445,565,724.506323
87.568417,393,732.363904
59.346769,983,738.263047
77.57965,652,752.02737
89.419445,242,761.0887
-33.468531,999,765.099645
88.651055,628,779.371036
85.320958,301,788.302492
79.599143,546,794.917829
96.486943,217,802.723097
94.745044,250,805.935253
89.323312,323,809.668945
96.850944,175,814.365518
93.499043,191,816.962772
94.583175,165,819.791265
93.576905,197,822.256356
92.207708,119,825.144964
93.383281,192,826.951138
92.181337,330,829.895363
95.078098,147,834.743473
94.31547,146,836.9433
86.324214,340,839.245163
88.788195,169,844.236468
90.290961,176,846.775346
87.977591,383,849.543131
93.298146,231,855.222959
92.369904,268,858.7333
92.74489,146,862.710006
-40.515414,999,865.434643
90.790511,155,880.114523
89.247783,201,882.502542
93.765904,80,885.51019
92.506331,192,886.800356
94.778068,149,889.707437
91.982528,161,891.990611
92.412383,236,894.507186
90.762227,139,898.07408
93.625975,280,900.286175
92.553232,183,904.530421
92.973097,95,907.300431
90.109031,284,908.895762
85.20567,661,913.577771
93.22729,79,923.524221
89.386077,731,925.137249
92.859138,77,936.112213
93.865733,72,937.294675
90.869771,141,938.458451
92.173997,127,940.637323
91.518588,133,942.610058
93.360763,121,944.669944
93.182086,75,946.516548
92.587209,145,947.742862
91.620422,159,949.994012
92.619526,80,952.422713
93.153945,128,954.215266
90.723787,125,956.20945
92.268251,136,958.152436
92.88085,79,960.229571
90.338144,145,961.503712
93.545138,214,963.791044
90.967912,127,967.066691
92.4653,79,969.015699
93.167853,232,970.333333
92.719348,119,973.880856
92.496346,145,975.751305
91.0696,101,977.977307
92.364645,145,979.580858
94.062172,145,981.839803
88.799284,338,984.214262
93.966659,70,989.322901
93.758967,68,990.416275
94.635919,78,991.479691
94.682487,67,992.68866
94.235296,67,993.731196
93.84874,65,994.774737
94.665196,74,995.790252
94.007208,72,996.945483
93.643213,68,998.064695
94.314358,70,999.127983
