#{"t_start": 1614621345.1525617, "env_id": "Pendulum-v0"}
r,l,t
-1278.785972,200,0.104676
-901.716079,200,0.167585
-959.144425,200,0.23097
-1601.093865,200,0.292398
-835.87145,200,0.353887
-1073.079567,200,0.415077
-1004.822907,200,0.476236
-982.094183,200,0.53739
-1608.084731,200,0.598356
-943.882793,200,0.658799
-966.562414,200,0.719671
-897.391198,200,0.78106
-940.818586,200,0.841789
-1030.815952,200,0.902238
-1234.571951,200,0.962814
-1347.553907,200,1.023353
-1005.535852,200,1.084147
-1735.101915,200,1.144758
-880.69435,200,1.205392
-1471.701981,200,1.265923
-1028.614588,200,1.326678
-1331.130202,200,1.387001
-1320.007053,200,1.447742
-1648.929175,200,1.508259
-1059.513065,200,1.569086
-1152.970716,200,1.629649
-963.327507,200,1.693279
-816.379207,200,1.754188
-972.348036,200,1.815227
-969.847255,200,1.875644
-1567.184958,200,1.935724
-1058.417606,200,1.995662
-1024.94254,200,2.056386
-1315.811633,200,2.1171
-1331.913057,200,2.178122
-1079.004949,200,2.238546
-1013.227594,200,2.299248
-1738.579968,200,2.360162
-867.526595,200,2.420751
-1102.844068,200,2.481107
-941.754046,200,2.541927
-967.76415,200,2.606285
-1379.100224,200,2.678919
-961.624767,200,2.750679
-1015.202596,200,2.821629
-1256.533181,200,2.881871
-1566.873568,200,2.942447
-1432.381009,200,3.002769
-1560.562132,200,3.06331
-875.690705,200,3.123738
-1511.971031,200,4.224412
-1848.406387,200,6.232538
-1708.239713,200,8.24045
-1611.97798,200,10.229152
-1351.939367,200,12.337929
-1515.438038,200,14.530664
-1529.809187,200,16.709486
-1505.9982,200,18.969808
-1538.266873,200,21.415634
-1511.124336,200,23.629039
-1219.376096,200,25.823548
-1272.363324,200,28.017571
-1169.397633,200,30.231901
-1133.55031,200,32.530881
-1519.554907,200,34.815929
-1064.85756,200,37.126373
-927.555858,200,39.34956
-946.915139,200,41.758433
-1041.975644,200,44.025022
-804.524333,200,46.254053
-758.312771,200,48.494948
-826.822046,200,50.720303
-365.338976,200,52.93039
-396.698034,200,55.152782
-266.495603,200,57.370403
-143.916863,200,59.613672
-513.578108,200,61.86402
-138.983606,200,64.089759
-265.626546,200,66.317687
-378.768827,200,68.551482
-139.584591,200,70.763953
-129.953279,200,72.975292
-2.073599,200,75.234515
-0.260755,200,77.471572
-130.185379,200,79.707268
-0.528027,200,81.942825
-126.668185,200,84.168661
-125.826755,200,86.39382
-236.223151,200,88.641961
-128.562462,200,90.864598
-126.104821,200,93.083891
-129.723282,200,95.30668
-121.236154,200,97.525901
-128.501181,200,99.759544
-235.426851,200,101.986018
-355.16204,200,104.22056
-123.008952,200,106.435926
-245.739583,200,108.653156
-126.51648,200,110.882906
-242.606997,200,113.12003
