#{"t_start": 1614940759.5726244, "env_id": "ReacherBulletEnv-v0"}
r,l,t
-1.036225,150,2.783743
-10.43851,150,2.826568
-28.132869,150,2.869654
3.462654,150,2.912525
-18.069684,150,2.955564
-26.941432,150,2.998269
-6.593696,150,3.041002
-15.085275,150,3.083698
-18.268392,150,3.126574
-16.614674,150,3.170015
-19.106012,150,3.214436
-27.874226,150,3.257079
-23.673608,150,3.300018
-15.148976,150,3.342643
-12.006774,150,3.385347
5.956287,150,3.428095
-9.161933,150,3.472953
10.778791,150,3.515898
-20.759666,150,3.558537
-9.556011,150,3.602381
6.437249,150,3.646662
1.153319,150,3.689387
-0.614373,150,3.732939
-29.007814,150,3.775517
-2.821048,150,3.818876
-1.974476,150,3.861979
11.494021,150,3.904738
-22.175375,150,3.947528
-9.813227,150,3.990377
-36.586305,150,4.033023
-43.870699,150,4.075933
-28.35388,150,4.119879
-7.561144,150,4.162787
-3.509041,150,4.206387
-14.115927,150,4.24959
-7.916552,150,4.292388
0.671619,150,4.335226
-10.410428,150,4.377871
-2.649372,150,4.420686
-10.222119,150,4.463309
-11.573567,150,4.506155
-6.825792,150,4.54892
-1.677387,150,4.591565
-10.784911,150,4.634409
-20.051368,150,4.677285
-17.372204,150,4.720064
-5.403585,150,4.763062
-1.074415,150,4.806514
-22.915785,150,4.849564
-9.429133,150,4.892468
-16.343091,150,4.935558
-0.864461,150,4.978183
10.859682,150,5.021046
-15.748678,150,5.064877
-10.402533,150,5.108655
-31.821998,150,5.151514
-3.285668,150,5.194326
-5.24265,150,5.237181
-8.222359,150,5.279894
-8.6747,150,5.322569
-9.472899,150,5.365786
-22.495297,150,5.409775
-4.479586,150,5.452531
-2.092756,150,5.495124
-26.786176,150,5.538175
-19.544403,150,5.582217
-6.063,150,7.400874
-17.956032,150,8.682987
-22.831778,150,9.949914
-1.178937,150,11.266218
-18.638924,150,12.58017
18.928226,150,13.900783
-13.728279,150,15.231244
3.487233,150,16.493901
-1.738085,150,17.689685
-19.358809,150,18.899486
-1.724024,150,20.107216
-16.509286,150,21.359046
-12.259295,150,22.661256
-29.896718,150,23.99651
-0.487907,150,25.37662
-10.02367,150,26.783288
-28.243634,150,28.202563
-0.365667,150,29.626406
-2.522353,150,31.050664
-8.864255,150,32.485103
12.506994,150,33.826564
0.517234,150,35.121234
-6.896346,150,36.518767
-7.448084,150,37.946601
0.508273,150,39.374223
-6.524177,150,40.791459
10.445508,150,42.227006
-24.197598,150,43.650038
-24.899424,150,45.101198
5.421567,150,46.536751
-30.329897,150,47.932398
-6.799549,150,49.271013
-14.883822,150,50.703433
3.184111,150,52.062858
-19.301979,150,53.415836
8.345082,150,54.779969
16.588105,150,56.147839
-15.604898,150,57.513731
-26.817633,150,58.897658
-12.408226,150,60.243674
-19.903993,150,61.57387
-5.55525,150,62.903869
