#{"t_start": 1636994796.5128934, "env_id": "Swimmer-v3"}
r,l,t
-7.83055,1000,1.797851
0.297081,1000,2.090205
-17.39917,1000,2.381949
8.027969,1000,2.67221
4.342607,1000,2.964322
18.488741,1000,3.255795
-10.495785,1000,3.547078
-14.232595,1000,3.839591
1.574595,1000,4.134213
10.355799,1000,4.42562
21.674498,1000,10.394457
21.04767,1000,15.943655
23.80255,1000,21.40283
23.997832,1000,26.810257
11.695201,1000,32.226816
22.187524,1000,37.64998
37.654198,1000,43.075742
37.283408,1000,48.487495
40.09871,1000,53.874525
28.695715,1000,59.295896
34.291307,1000,64.660684
37.653216,1000,70.078712
20.683627,1000,75.491555
26.788659,1000,80.890615
32.013412,1000,86.265933
49.517062,1000,94.741102
29.863035,1000,100.120992
33.016235,1000,105.545467
24.078228,1000,111.003595
7.242638,1000,116.494636
43.04266,1000,121.941185
9.680634,1000,127.400909
18.867896,1000,132.860557
39.081008,1000,138.26934
11.837269,1000,143.726341
-5.190233,1000,149.10472
-13.027806,1000,154.543106
-9.422965,1000,160.037905
-2.998882,1000,165.522673
33.382298,1000,170.944932
30.292909,1000,176.435025
15.382579,1000,181.830099
20.181149,1000,187.225048
-4.780384,1000,192.662515
41.349031,1000,198.059119
46.623274,1000,203.389324
62.219143,1000,208.780701
-2.743226,1000,214.195646
54.162725,1000,219.65412
20.047439,1000,224.936363
41.286855,1000,233.104301
32.277611,1000,238.394735
19.141583,1000,243.672553
26.435086,1000,248.905329
22.656925,1000,254.181512
29.643906,1000,259.456944
38.764073,1000,264.750599
35.89698,1000,270.089871
36.932711,1000,275.351888
31.698428,1000,280.600457
40.813114,1000,285.867868
40.836695,1000,291.165133
40.716998,1000,296.388599
35.234531,1000,301.685516
35.272528,1000,306.960434
34.128578,1000,312.329132
36.328919,1000,317.719001
34.992237,1000,323.092637
32.231152,1000,328.431648
36.547754,1000,333.775183
35.84222,1000,339.161481
23.851792,1000,344.532736
16.773571,1000,349.790779
39.722589,1000,355.066554
33.987119,1000,360.314168
25.725822,1000,368.652971
23.22932,1000,374.039075
35.364236,1000,379.40041
24.920137,1000,384.628646
9.301031,1000,389.891221
19.298727,1000,395.158097
18.825643,1000,400.433589
12.466087,1000,405.7556
67.245183,1000,411.135879
87.811447,1000,416.523283
97.820714,1000,421.894701
44.787003,1000,427.236649
57.425873,1000,432.55745
26.000533,1000,437.897745
32.232691,1000,443.242568
39.768813,1000,448.607255
40.999644,1000,453.976152
21.563855,1000,459.316349
31.67079,1000,464.667232
45.099223,1000,469.975839
36.18984,1000,475.303378
47.847565,1000,480.626845
37.199823,1000,486.000222
45.795823,1000,491.392361
45.60321,1000,496.788888
47.39614,1000,505.096263
45.379578,1000,510.505366
45.42612,1000,515.933583
51.472801,1000,521.330316
29.624019,1000,526.712131
-3.863297,1000,532.076484
24.042796,1000,537.409163
23.90832,1000,542.726923
26.896243,1000,548.079463
26.543181,1000,553.377301
26.762326,1000,558.683805
28.996204,1000,564.000111
31.77388,1000,569.313647
37.366792,1000,574.633232
34.917062,1000,579.954384
28.532967,1000,585.306097
31.737183,1000,590.660521
22.074445,1000,596.093517
9.547676,1000,601.493202
91.732893,1000,606.883062
72.291833,1000,612.376971
137.262094,1000,617.869654
66.416531,1000,623.326905
60.180618,1000,628.739583
54.81602,1000,634.177981
63.015124,1000,642.553455
21.431461,1000,647.938429
55.822548,1000,653.349584
45.680822,1000,658.820786
42.062972,1000,664.262057
203.734113,1000,669.684973
