#{"t_start": 1614621307.6009097, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
13.149841,9,5.659881
18.674046,14,5.678748
15.555779,11,5.693607
15.037256,13,5.710722
16.322818,11,5.72573
14.039464,11,5.740503
19.006484,18,5.764259
16.453185,13,5.781299
21.376753,22,5.81036
14.12186,11,5.824869
16.372528,13,5.842235
15.222341,9,5.854276
20.208788,17,5.87688
14.651202,11,5.891582
19.783256,21,5.918101
15.520293,13,5.93549
16.80791,12,5.951824
13.928762,11,5.966238
19.173699,21,5.993438
22.082834,20,6.01935
19.130474,17,6.042208
18.137699,21,6.070332
18.621063,14,6.088659
12.873895,9,6.100723
13.148803,8,6.111897
17.883891,20,6.137989
18.685981,19,6.16261
12.865291,9,6.175036
22.848246,23,6.206007
19.338973,17,6.228397
14.291805,12,6.244523
16.266012,11,6.259338
15.6564,11,6.27388
15.575418,12,6.290049
11.978962,9,6.30231
20.56279,18,6.325782
16.065689,17,6.348076
22.216135,23,6.378056
12.240551,8,6.388981
12.867768,7,6.39858
13.919194,8,6.409786
18.026437,13,6.427169
15.046182,12,6.443262
15.749505,19,6.46831
13.061128,9,6.480724
14.238036,11,6.495968
17.347252,13,6.513242
17.747404,18,6.536573
12.941543,9,6.548839
15.116434,11,6.563232
20.00285,19,6.587984
17.261782,16,6.60836
14.876829,18,6.631946
12.542647,8,6.642983
15.039378,10,6.657056
14.117886,15,6.676644
17.941154,13,6.694175
12.784982,9,6.706414
15.411925,12,6.722394
18.132168,15,6.742357
13.861358,16,6.76347
31.558648,32,6.805124
14.397108,10,6.818953
20.587387,19,6.84441
16.868505,13,6.862098
11.561926,7,6.87194
25.377778,23,6.90205
16.755277,12,6.91823
13.210913,8,6.929573
11.768015,7,6.93925
17.026864,14,6.957922
12.892187,9,6.970274
13.676731,8,6.981506
17.738259,14,7.000013
17.156648,12,7.016367
21.150172,24,7.047486
21.718235,24,7.079299
32.281219,38,7.129437
16.990416,13,7.146747
14.426207,11,7.161826
18.449331,18,7.185529
23.424658,22,7.213847
15.525347,9,7.226005
12.816277,10,7.239405
14.205694,11,7.25413
13.696176,9,7.266282
14.303125,12,7.282368
13.390774,8,7.29323
13.497369,9,7.305631
16.541215,16,7.326164
13.94213,10,7.339928
21.009257,18,7.363678
25.019046,25,7.396819
15.552185,13,7.41436
16.261897,13,7.431637
17.9503,16,7.453294
12.26184,8,7.464411
25.782697,26,7.499039
17.6191,14,7.518193
17.360141,18,7.54126
15.700666,19,7.566299
22.157988,24,7.597684
21.408448,24,7.629735
14.401201,14,7.648211
13.226581,9,7.660569
20.444825,20,7.68676
