#{"t_start": 1635497795.405512, "env_id": "Walker2d-v3"}
r,l,t
-0.136914,23,13.448723
-5.566363,19,13.457374
2.19348,19,13.464244
1.28643,29,13.474555
-8.625656,15,13.479901
4.599455,32,13.490579
0.69642,13,13.495187
-1.593231,12,13.49932
1.8756,20,13.506052
-3.398172,21,13.513024
1.586426,15,13.518411
-1.484095,14,13.522967
-1.675547,10,13.526566
-8.83757,23,13.533882
-0.064606,18,13.539911
0.73045,26,13.548222
-2.341462,19,13.554303
-0.283553,13,13.558722
3.134007,15,13.563674
-0.63089,34,13.574216
8.996574,31,13.584044
4.197105,27,13.592656
-0.719988,54,13.609783
3.274733,17,13.615248
3.504897,16,13.620192
22.730015,32,13.630114
0.967599,14,13.63464
1.270146,23,13.641734
2.602637,14,13.646419
1.435647,15,13.651313
4.734591,18,13.657084
0.011236,9,13.660058
3.478014,20,13.666391
2.394337,21,13.673256
-2.621059,12,13.677148
3.061874,15,13.681901
-0.992616,24,13.689372
7.34657,24,13.697156
7.329936,28,13.706035
-5.22492,21,13.712705
7.590011,41,13.725233
-7.041701,18,13.731032
-1.777451,12,13.734931
6.389128,17,13.740534
3.862381,16,13.745687
1.372579,13,13.750118
-1.573318,10,13.753549
-4.013199,11,13.757213
0.481211,12,13.761041
-3.204927,18,13.766773
-0.432241,14,13.771544
-2.040276,13,13.775878
12.857828,43,13.789291
-1.807363,17,13.794739
-4.88048,19,13.800761
2.362081,12,13.804691
1.715036,18,13.810357
-0.07941,22,13.817312
2.833916,19,13.823272
-2.487386,13,13.82753
-2.355926,22,13.834512
7.459147,24,13.842156
-4.421408,11,13.845907
-1.767348,22,13.852746
-1.058785,10,13.856048
0.242059,15,13.860841
4.363605,20,13.867124
2.175993,25,13.874789
7.942023,19,13.880823
0.489311,14,13.88542
-5.667532,22,13.892427
-5.685162,11,13.896045
-0.110822,12,13.899925
4.37889,16,13.905177
5.156406,19,13.911317
5.058732,23,13.918591
-1.248817,14,13.923089
0.501344,16,13.928308
6.346005,21,13.934989
-1.95302,20,13.941356
11.671624,31,13.951325
5.194144,25,13.959316
-5.18042,15,13.963979
-3.032548,8,13.966794
-2.207799,22,13.973729
2.288418,14,13.978115
4.838094,21,13.984755
-2.81218,20,13.99117
-3.254375,33,14.001466
20.091361,32,14.011286
4.852037,26,14.019468
0.353377,28,14.02839
-5.851595,27,14.036862
3.911796,16,14.042037
2.651414,15,14.047006
0.067918,12,14.050777
0.862635,14,14.055383
-3.19201,10,14.058871
7.274913,38,14.070735
12.56962,32,14.080631
2.339803,15,14.085763
-3.861065,12,14.089485
0.23176,23,14.096479
4.466781,17,14.101986
2.208562,14,14.106484
3.848521,17,14.111868
8.229748,22,14.118682
-5.259874,17,14.124002
-3.010829,8,14.126721
0.442143,14,14.131286
-1.204406,17,14.136815
-3.980128,17,14.14216
-1.226954,14,14.146542
2.759979,17,14.152
0.708265,15,14.156852
0.940424,13,14.160965
4.040292,18,14.166724
8.15855,23,14.173962
1.688016,15,14.178798
-4.532016,20,14.185075
-3.524137,20,14.191613
-0.336293,14,14.196278
2.090574,24,14.203722
6.198701,15,14.20861
-2.132295,19,14.214581
8.527179,28,14.223119
3.01374,23,14.230547
3.823538,14,14.23515
1.035335,15,14.240027
15.903623,27,14.248485
-7.385858,16,14.253542
-3.056929,15,14.258325
3.683104,25,14.266202
-7.493576,15,14.271177
16.783217,46,14.285686
-1.777427,12,14.289754
1.241502,15,14.294672
4.071918,23,14.301936
-0.951644,10,14.305348
15.622499,41,14.31826
4.798125,16,14.323464
-5.446985,20,14.329731
6.057304,18,14.335534
4.724179,18,14.341337
-2.617475,13,14.345578
-2.805059,10,14.349
-4.995767,15,14.353738
-1.208668,17,14.359215
2.065974,16,14.364363
-3.546386,15,14.369036
0.526211,23,14.376378
8.274519,29,14.385529
-6.405782,21,14.392227
2.282394,27,14.400873
5.113118,24,14.408168
10.495605,36,14.419321
-0.23509,28,14.428191
8.807135,25,14.436011
2.20047,12,14.439961
0.33049,29,14.448943
1.720829,14,14.453757
0.679072,13,14.458035
-4.661758,21,14.464792
-2.556458,16,14.470022
8.919897,38,14.481761
6.779389,17,14.487279
-0.924976,15,14.492023
1.029453,14,14.496565
-1.511362,11,14.500096
-2.94913,20,14.506462
6.579476,21,14.513131
0.977168,21,14.519828
3.080126,16,14.525025
4.694368,23,14.532369
-1.974375,24,14.539863
-3.119798,19,14.545911
0.506073,22,14.553005
-0.32068,14,14.557426
0.855219,12,14.561348
-0.016016,20,14.567434
-6.87992,18,14.573143
3.339877,24,14.580775
6.800759,32,14.590744
-0.724477,11,14.594442
1.749853,15,14.59921
1.951026,23,14.606784
0.354901,41,14.619353
13.265924,31,14.628871
14.292605,27,14.637427
8.759014,30,14.64668
-0.031021,16,14.652112
-0.011333,11,14.655786
5.477938,22,14.662836
0.536669,13,14.666898
1.630658,17,14.672395
-3.176996,21,14.679018
-0.750503,9,14.682041
-7.07901,19,14.688009
19.006496,41,14.701073
1.084182,17,14.706353
1.622979,15,14.711376
0.425607,14,14.71585
1.824801,18,14.721704
-2.90298,11,14.725284
7.265707,19,14.731369
1.031984,16,14.736545
-0.643707,10,14.739986
-0.152757,21,14.746896
29.459601,54,14.763591
4.592532,18,14.769517
2.40002,12,14.773466
-5.122882,19,14.779329
4.181605,14,14.783695
-1.833353,10,14.787121
4.167567,17,14.792397
-0.073929,20,14.798814
-1.813457,9,14.801887
7.531155,24,14.809599
-4.563178,25,14.817216
2.713832,14,14.821828
2.453836,17,14.827431
3.133418,30,14.836872
12.578402,27,14.845491
2.796944,20,14.851798
-4.364466,9,14.854728
-4.743575,13,14.859032
1.874078,18,14.864936
-0.002757,14,14.869661
4.454994,22,14.876828
-1.68112,8,14.879554
-3.80176,21,14.886513
5.36503,27,14.894993
2.819662,14,14.899408
2.304983,13,14.903691
-2.722993,8,14.906414
1.508708,19,14.912607
-0.120801,22,14.919669
0.856665,34,14.930199
0.692511,17,14.93571
2.321006,20,14.942047
-6.997298,17,14.947577
-1.047393,32,14.957518
6.5901,18,14.963233
-3.635811,23,14.970455
-6.847905,16,14.975451
1.942415,22,14.982436
0.042651,21,14.989054
-4.243459,12,14.992873
15.280085,30,15.002113
3.373573,22,15.009237
16.016375,44,15.022563
-0.546359,11,15.026189
-2.155053,19,15.032283
-1.466834,16,15.037526
-0.657267,13,15.04172
-1.303465,25,15.049471
-5.248637,20,15.055766
4.825552,21,15.06244
1.391139,15,15.067223
2.193324,15,15.072088
2.368678,13,15.076523
5.220064,19,15.082661
12.461115,25,15.090683
8.044125,24,15.098209
0.935386,16,15.103308
-3.879248,25,15.111187
-0.710217,20,15.117685
0.93997,13,15.121908
-1.182064,22,15.128896
4.820823,23,15.136019
4.049043,24,15.143692
8.171481,33,15.154062
0.735954,13,15.158387
0.485158,32,15.168406
2.888218,16,15.173622
-1.527002,12,15.177712
2.16888,42,15.19075
0.92064,20,15.197129
-5.827807,18,15.202837
4.394588,34,15.213477
9.441668,34,15.224244
9.445403,28,15.233063
-4.679711,21,15.239581
6.662342,24,15.247037
14.075597,28,15.25588
-4.362682,29,15.265123
3.543375,17,15.27048
-8.518039,12,15.274553
-2.004313,10,15.277826
-2.163542,12,15.28176
8.082079,34,15.292602
2.717093,26,15.300762
-1.403415,24,15.308236
-0.144028,18,15.31409
1.622145,19,15.320216
2.304299,21,15.326973
7.803636,24,15.334578
5.806424,17,15.340102
-1.002124,14,15.344856
13.943023,37,15.356542
0.516971,28,15.365383
0.81837,16,15.370601
1.78903,12,15.374508
-0.243591,13,15.378724
19.265076,34,15.389208
5.296268,24,15.396722
-0.142448,12,15.400692
2.016816,19,15.406914
0.967786,14,15.411557
17.417041,39,15.423621
-1.703111,21,15.430439
-1.427997,12,15.434254
0.193102,13,15.438548
7.489263,24,15.44627
4.018835,19,15.452374
5.384933,25,15.460779
6.111466,26,15.468926
1.257783,17,15.474298
2.148271,22,15.481047
1.212689,13,15.485353
5.710637,33,15.495756
1.228652,11,15.499527
1.679215,31,15.509237
1.993678,18,15.515114
2.243419,30,15.524463
6.712358,21,15.531156
1.42782,13,15.535373
-3.231746,11,15.538896
0.282434,29,15.54804
-0.209639,15,15.552732
9.822809,23,15.560296
-2.045872,11,15.564057
6.908969,26,15.572281
12.144538,28,15.581105
2.08407,11,15.584653
-2.139588,20,15.59109
5.751825,26,15.599265
0.384316,11,15.602806
-1.946608,13,15.607011
0.038366,20,15.613507
-0.21282,17,15.619012
0.738282,16,15.62407
-0.942217,12,15.628141
-1.283271,9,15.631109
1.780728,32,15.641211
2.320619,17,15.646625
0.340282,19,15.652724
5.512375,16,15.657973
3.169738,16,15.663122
-0.20349,19,15.66916
1.126883,30,15.678859
-1.047506,15,15.683792
21.349336,43,15.696822
0.177514,15,15.701778
-0.77622,15,15.706568
-1.06174,30,15.71586
-3.81924,22,15.72271
4.920841,16,15.728026
2.948155,25,15.735944
-1.414994,21,15.742395
13.120554,31,15.752311
0.923551,22,15.759073
-2.266546,22,15.765956
-3.569349,17,15.771577
-8.386668,52,15.787211
-3.056814,18,15.793055
-4.409105,13,15.797342
-4.422886,17,15.80278
0.545233,18,15.808382
3.151164,19,15.814476
-1.996385,28,15.823103
6.959759,23,15.830378
0.188952,12,15.834351
8.29606,28,15.843176
10.093076,26,15.851256
0.642539,12,15.855191
-1.799222,11,15.858852
5.714181,22,15.865651
4.390599,19,15.871808
-1.368372,16,15.877021
-3.186647,31,15.886949
8.835558,24,15.894752
-2.605872,14,15.899195
3.055382,15,15.904022
-1.780757,15,15.909126
-3.004141,11,15.912821
0.338052,14,15.917606
1.819699,29,15.926859
-4.057235,20,15.933215
-0.786015,20,15.939667
3.177526,15,15.944935
-0.571353,18,15.950685
12.034911,37,15.962928
5.547584,23,15.970399
-0.450229,10,15.973781
-2.217041,13,15.978117
4.779606,17,15.983714
6.336558,20,15.990383
-11.7085,20,15.996955
-0.999697,15,16.002222
0.111785,12,16.006382
2.025025,13,16.01065
2.252743,17,16.016285
-3.735779,17,16.021907
-4.214941,17,16.027459
6.931545,30,16.037266
3.470371,29,16.046362
-3.504859,15,16.05125
0.503699,25,16.059426
8.183376,21,16.066266
-0.473709,12,16.070456
0.075764,21,16.07722
-4.985172,14,16.08191
-3.520028,8,16.084629
0.881117,12,16.088622
2.524318,13,16.092962
1.800445,16,16.098177
14.049653,39,16.110855
-2.240587,9,16.114091
-5.331784,14,16.118773
5.77726,25,16.127069
1.055468,12,16.131133
0.605141,18,16.137139
-2.177131,8,16.139956
5.616159,31,16.150193
-0.984752,14,16.15481
-5.72015,16,16.159993
-5.498393,15,16.165051
-1.641314,11,16.168782
22.728986,38,16.181041
13.072005,28,16.190149
2.320709,19,16.19642
11.395467,20,16.202983
5.884747,27,16.211747
2.142178,28,16.220728
1.164546,13,16.224962
2.964819,31,16.235205
5.028391,20,16.241803
-3.436582,18,16.247696
-1.143331,10,16.251001
0.248583,11,16.254729
-0.155433,28,16.263765
6.080477,18,16.269747
11.410095,27,16.27857
0.633654,11,16.28224
-3.280022,22,16.28934
1.125343,16,16.29463
15.146005,49,16.31058
0.422934,19,16.316761
1.859883,26,16.325147
16.166112,26,16.333747
1.949999,30,16.343533
5.963133,16,16.348802
-0.690445,29,16.357933
5.058281,18,16.363947
4.105536,19,16.370209
-0.089117,12,16.373989
3.953808,17,16.379488
3.53918,17,16.385063
-6.786654,18,16.391086
2.817621,18,16.397231
7.996087,25,16.40545
3.070371,27,16.414125
-5.270011,14,16.418932
4.082555,21,16.425938
-6.728505,12,16.429947
-5.626477,29,16.439111
-2.131711,12,16.443296
-2.08763,10,16.446631
-4.146584,18,16.45244
4.828884,28,16.461453
-1.574214,21,16.467989
5.422054,25,16.476195
-4.17782,11,16.479899
-3.724648,15,16.484833
11.432995,36,16.496464
-2.525773,12,16.500512
-4.533396,25,16.508555
4.030315,25,16.516614
4.459592,34,16.527432
-0.106825,16,16.532839
-5.318834,19,16.539023
8.248121,34,16.549873
2.239893,26,16.55811
-0.066714,13,16.562544
-0.855558,11,16.566486
3.665086,13,16.570875
4.501004,18,16.576873
9.261889,27,16.585552
-1.67351,16,16.590819
5.256437,17,16.596378
-2.099264,11,16.600184
1.329904,32,16.610332
-2.207274,11,16.614096
13.032154,34,16.624923
1.576317,13,16.629307
-1.756098,12,16.63331
3.032796,19,16.639491
8.718564,27,16.647883
2.789245,14,16.652433
16.963119,38,19.998434
-16.971491,23,20.184084
-16.741098,23,20.285497
-16.811265,23,20.3896
-16.963074,23,20.490806
-16.898025,23,20.594809
-16.932987,24,20.697301
-12.048913,69,20.834017
-8.050527,70,21.143107
-6.942942,70,21.454003
-6.005821,70,21.770003
-18.111051,70,22.081809
65.341823,178,22.47675
373.164169,253,23.343395
76.72512,189,24.454159
82.328971,196,25.324978
75.957449,63,26.112425
158.481739,141,26.448633
155.07495,214,27.133603
-8.388023,55,27.982681
-1.882712,49,28.22216
-13.887292,97,28.473182
902.892671,1000,29.527886
527.429617,362,33.577642
277.826071,140,35.03953
-6.374197,113,35.644476
509.059235,476,36.389324
-7.431948,54,38.27186
512.364939,349,38.720347
291.968063,155,40.14178
367.048794,224,40.882389
404.506228,244,41.899556
319.537387,172,42.938382
338.584384,187,43.715555
244.320344,136,44.512141
165.523041,282,45.213286
203.554679,98,46.343804
338.805669,177,46.837975
394.944283,208,47.648315
179.366181,271,48.614107
170.904294,321,49.850466
297.740386,161,51.173583
299.889008,159,51.895032
348.619999,215,52.644532
475.63638,399,53.724251
281.170733,153,55.338005
288.522958,159,56.024068
247.333671,120,56.713158
299.512548,166,57.282348
285.244734,158,58.020398
236.414115,142,58.713619
249.91722,139,59.344526
336.339632,189,59.99742
49.995119,85,60.770522
399.622976,316,61.300027
343.281105,178,62.621551
271.348281,160,63.402617
206.894454,122,64.088959
186.07011,197,65.946856
29.105505,54,66.736412
119.912589,152,67.041652
215.764805,119,67.698551
277.700874,183,68.270626
20.649276,30,68.991006
230.338453,121,69.186976
187.954563,87,69.706506
219.457975,121,70.121235
166.572109,80,70.635772
146.112242,78,70.993444
185.617917,90,71.351318
149.573262,81,71.754515
12.489171,27,72.083386
10.529169,25,72.202163
13.605069,27,72.3177
9.613177,24,72.43597
19.19002,28,72.547149
50.219636,84,72.709998
22.291258,31,73.05162
45.630223,39,73.198426
40.889299,45,73.376241
17.25443,37,73.57607
44.689854,47,73.748152
223.044334,113,74.004098
97.807155,75,74.483652
200.742407,106,74.84151
104.805852,102,75.313795
168.743284,101,75.771193
218.482784,132,76.243689
223.941273,105,76.822893
229.536152,115,77.301753
124.013767,70,77.787632
16.027931,43,78.084309
160.055771,125,78.333384
28.680837,54,78.846738
15.116493,45,79.083389
15.002072,50,79.29016
18.436675,52,79.517023
82.194866,66,79.759773
131.118425,105,80.081824
-2.282235,47,80.51353
17.049717,40,80.72229
148.222366,84,80.931064
30.25821,50,81.293514
20.183732,50,81.524465
6.140417,34,81.746582
1.413973,29,81.900606
18.780973,49,82.046214
34.702972,54,82.271863
29.590487,54,82.514559
43.962517,68,82.7665
19.342922,41,83.053534
66.518334,71,83.256087
25.695111,46,83.560019
-3.815306,30,83.756578
22.266457,52,83.906337
23.126295,52,84.14044
21.370854,53,84.374835
127.889102,84,84.631783
11.352841,40,84.979865
212.790485,128,85.217592
93.297702,60,85.746752
3.392593,29,85.996557
28.039943,49,86.142287
143.673122,115,86.404582
8.779694,44,86.88368
38.556939,53,87.087507
175.717637,157,87.397263
7.123302,32,88.019821
66.837019,61,88.182982
167.641952,91,88.475279
40.871725,53,88.867395
114.962918,70,89.114851
112.467766,81,89.43564
193.042796,122,89.827048
39.70256,50,90.326501
56.716308,64,90.560915
45.259249,60,90.84506
34.59939,56,91.111792
51.560182,65,91.369159
186.717263,102,91.687284
47.094526,57,92.116009
20.446808,49,92.368518
31.303384,51,92.588801
28.7673,53,92.820773
14.004764,37,93.046829
177.400697,128,93.274524
15.621652,42,93.79288
26.394843,52,93.988499
7.235057,51,94.221442
-2.842953,23,94.431119
265.967628,164,94.629272
131.125426,90,95.314082
241.613204,185,95.780123
527.109488,441,96.779032
18.407425,77,98.516374
235.228016,131,98.895807
45.199578,77,99.448311
278.315311,127,99.826141
114.486443,150,100.411049
51.274338,163,101.09154
79.108199,113,101.795509
142.761894,103,102.310143
60.152061,100,102.781422
319.014088,199,103.303921
158.5828,83,104.126599
219.493021,121,104.523448
237.098513,136,105.079401
242.587666,129,105.685471
243.004154,140,106.2722
356.189492,240,106.972743
224.972602,117,107.967043
358.121708,258,108.589149
37.385761,176,109.69058
266.030281,160,110.471233
306.700613,202,112.702858
426.820602,427,113.760672
227.834914,134,115.482753
266.669674,157,116.101327
178.360524,96,116.77158
303.776818,222,117.28887
304.414545,197,118.270272
190.335957,105,119.092092
262.303829,141,119.590507
291.59309,147,120.226543
355.852022,208,120.929905
176.151397,95,121.792045
393.391917,276,122.339447
254.180927,142,123.492391
20.976276,38,124.059352
255.0207,150,124.305675
312.704831,191,125.00513
184.057736,101,125.803457
189.154872,120,126.267609
200.580958,288,126.921047
16.762556,37,128.046168
24.368508,41,128.216781
64.069348,106,128.442411
88.234477,281,129.033153
294.65548,157,130.211694
264.40356,133,130.896769
29.545667,41,131.434062
229.705801,129,131.677258
37.566322,44,132.202801
15.637826,32,132.392919
32.908371,46,132.546565
207.288924,105,132.791774
22.365884,37,133.220535
20.784345,35,133.387255
151.801309,107,133.5902
215.862283,106,134.071354
203.290582,113,134.551152
668.924369,445,135.276424
125.703473,118,137.059185
327.391507,165,137.618941
459.301014,249,138.4101
-12.860648,146,139.456156
256.318604,154,140.114202
81.410834,240,140.854916
330.967154,242,141.928906
568.470219,399,143.107819
51.824406,182,144.736152
374.161016,242,145.594918
367.880745,216,146.681558
233.957501,149,147.606485
20.302714,158,148.276683
43.084466,127,148.957966
306.546138,258,149.60567
211.081649,136,150.670904
276.34215,162,151.291654
360.616925,209,152.04868
84.520788,160,152.945629
294.031499,169,153.663045
312.655511,178,154.419987
340.218253,185,155.215927
280.313193,141,156.00978
174.016616,134,156.629554
245.379944,159,158.506462
310.715815,170,159.2231
40.48675,97,159.931166
136.133124,146,160.39227
226.169554,139,161.03562
77.221221,108,161.634177
348.88053,208,162.184344
104.799072,170,163.081097
348.688177,189,163.849664
190.754117,142,164.654649
174.511833,118,165.266096
136.310263,103,165.778402
221.50576,126,166.250236
131.879595,139,166.820715
354.814312,205,167.494747
239.065898,136,168.366013
262.139312,160,168.98737
259.145263,146,169.685831
367.09832,238,170.39284
338.863083,225,171.436056
299.547883,192,172.415286
306.147388,184,173.259145
55.256197,114,174.027658
262.625915,143,174.553822
335.455862,183,175.213635
425.826552,255,176.070421
132.610454,106,177.104809
23.999079,70,177.555155
417.147751,241,177.983458
355.41222,217,179.043825
346.818891,187,179.984395
177.01777,289,180.875121
602.408035,379,182.218101
239.923199,160,183.748755
157.277626,414,184.620424
336.769896,200,186.309201
140.842669,94,187.127319
419.408071,280,187.667583
190.712193,140,188.811734
396.499926,267,189.514392
357.843098,224,190.667538
183.013995,131,191.59591
136.508129,102,192.158105
250.868363,148,192.638725
121.736325,73,193.242912
302.545974,274,193.699019
429.226497,279,194.913227
404.913181,267,196.136921
320.667733,196,197.276558
548.470643,425,198.297132
286.22423,162,199.999099
118.3538,104,200.6761
385.511069,233,201.220783
270.616915,162,202.21074
351.871049,204,203.770631
331.90026,198,204.669098
328.695694,201,205.547692
262.070933,141,206.396934
193.436768,108,207.015452
511.088865,445,207.714543
249.013461,119,209.467723
262.516113,135,210.00777
253.107932,131,210.60523
271.131687,141,211.207042
215.563436,116,211.829683
293.800613,149,212.365548
280.163713,146,213.025091
264.4851,138,213.665921
320.152389,163,214.29291
314.845664,159,215.010623
212.466021,113,215.686054
331.529641,177,216.226935
336.58342,187,217.023266
235.050539,130,217.811516
278.067099,146,218.397045
249.553656,131,219.033661
301.777072,163,219.636315
303.529054,171,220.361864
269.596542,138,221.097411
281.607135,146,221.713709
331.817788,177,222.384336
290.733103,151,223.148791
331.384372,170,223.831662
342.376683,187,224.594733
296.501436,165,225.406693
317.121729,159,226.135311
183.087107,143,226.829485
299.056921,175,227.486233
294.613692,161,228.250081
326.987007,179,228.976587
296.108016,163,229.75644
267.992175,144,230.467196
309.98258,179,231.127841
300.301169,165,231.916566
316.631789,176,232.673523
276.787878,160,233.457364
326.022378,180,234.190231
294.08143,170,234.984676
304.706532,164,235.739172
248.694291,138,236.451457
406.649509,236,237.137444
287.692316,173,238.147326
148.25644,91,238.861691
337.594592,204,239.343686
9.097058,104,240.187013
350.51356,209,240.72085
365.011887,230,241.668673
316.651637,187,242.669966
575.083589,438,243.672906
344.100448,196,245.465528
236.255746,277,246.397028
377.141023,236,248.93914
396.185844,257,250.003069
384.601736,237,251.133636
289.046449,182,252.154226
267.217053,195,252.967966
331.405879,197,253.832266
330.479892,199,254.701282
284.41756,163,255.556668
213.028201,194,256.294401
318.164311,178,257.144533
309.612206,170,257.925035
209.233531,147,258.658983
340.27647,200,259.343611
318.660333,192,260.221773
325.337487,202,261.075308
391.682453,229,261.989746
490.977045,308,263.052334
56.498164,68,264.253109
318.745558,184,264.629363
353.303091,259,265.490292
122.413567,110,266.542285
106.48454,116,267.035664
45.602736,60,267.511115
72.093386,112,267.810119
120.969825,105,268.298895
271.194077,171,268.803804
129.186286,144,269.545285
320.790478,167,270.195632
256.259307,187,270.942312
161.892499,146,271.741662
139.744537,74,272.343153
177.535158,100,272.68593
243.055502,122,273.140385
159.146287,98,273.66264
53.100085,54,274.066255
262.574738,130,274.353249
263.410425,120,274.91876
327.385743,243,275.538269
161.565828,97,276.53609
209.677823,115,276.987589
231.24806,132,277.504137
192.69336,123,278.079471
93.160165,150,278.640126
205.906462,128,279.286312
134.792008,92,279.827358
128.582474,89,280.231284
246.415627,147,280.659477
197.258575,128,281.295619
209.063457,132,281.865098
327.495145,145,282.455432
111.535649,68,283.042568
314.89419,156,283.399875
50.023574,145,284.080033
224.912658,133,284.712549
252.492324,165,285.31776
121.635302,78,285.995483
227.997743,117,286.373807
133.008327,67,286.869273
190.377836,108,287.200855
342.765331,220,287.764746
122.045496,79,288.669318
481.249079,231,289.128738
241.990262,145,290.098489
24.715362,202,290.781347
99.357153,133,291.652663
58.429127,130,292.250394
316.569596,191,292.86681
244.642026,153,294.892411
247.863036,208,295.610191
212.487573,148,296.493343
269.148976,127,297.146374
119.434648,318,297.852723
50.482702,115,299.162235
377.353703,278,299.781472
160.612587,114,300.908243
224.795716,232,301.504485
303.538417,449,302.685973
101.944372,95,304.446881
41.698336,252,304.971864
291.199246,186,306.048987
34.610171,983,307.394526
274.300435,257,311.345893
354.044205,292,312.518964
305.016571,212,313.761715
362.261238,217,314.705034
114.713847,103,315.594121
113.889355,83,316.039524
213.873051,117,316.429507
182.192641,112,316.951528
260.184183,174,317.489965
149.075875,104,318.216608
243.976687,150,318.709612
319.707584,202,319.410609
224.66192,131,320.261443
214.932061,118,320.83435
205.280878,110,321.353497
300.849505,164,321.882317
265.706243,140,322.598749
155.362101,96,323.191354
301.04837,160,323.662034
297.606913,154,324.369763
213.125203,124,325.03442
183.157691,101,325.570427
219.017986,129,326.043679
293.06949,152,326.63101
263.916835,141,327.305071
259.922778,143,327.935279
224.666224,144,328.570803
358.0415,175,329.236804
272.287773,134,329.991223
177.277753,105,330.567195
226.111233,122,331.044128
237.329802,121,331.587173
250.757319,150,332.150822
281.066121,150,332.817664
330.778899,175,333.500877
345.584775,191,334.289486
240.300511,134,335.100984
243.406466,133,335.695499
279.562162,143,336.29011
313.206643,168,336.944924
260.118433,143,337.674729
182.320754,99,338.27825
265.512537,149,338.751646
236.780312,131,340.139107
273.477369,139,340.741439
335.189263,175,341.396442
224.28265,123,342.156076
253.504895,134,342.708127
340.871403,180,343.332036
177.814343,113,344.087142
283.974614,153,344.615881
219.302412,122,345.270759
368.536306,185,345.854145
236.978008,128,346.639527
318.624093,177,347.244414
316.515182,179,348.030352
348.888841,189,348.833932
285.601172,159,349.651072
293.871286,171,350.364468
535.560618,301,351.206889
441.09432,223,352.500742
469.930274,270,353.521396
299.936119,170,354.657205
427.384141,226,355.449396
393.74609,240,356.463707
248.078503,152,357.476855
376.575158,207,358.188919
268.519986,194,359.102353
21.418992,70,359.883674
360.795031,204,360.282569
400.755421,231,361.204525
388.709296,256,362.25491
160.415776,145,363.34565
271.880028,183,364.026682
10.5056,47,364.74854
-3.109531,58,364.966485
-42.818234,220,365.3294
285.426161,163,366.269525
271.537762,165,366.995972
286.392821,166,367.730484
723.982949,341,368.580076
406.550245,240,370.02594
1053.334184,578,371.311381
589.076736,356,373.738322
1191.719358,596,375.47438
428.022774,218,377.875505
270.695171,147,378.795373
-24.056694,85,379.408512
882.103069,692,380.181573
531.95388,296,382.996531
359.334783,229,387.012543
665.70812,383,388.137742
197.894914,109,389.658912
1018.194588,1000,390.736601
1240.848412,752,395.033062
-8.238699,87,397.956462
402.650089,237,398.435656
227.319679,115,399.400504
949.721719,551,400.19222
682.974219,331,402.478982
1497.290707,1000,404.400999
880.216189,581,408.567754
677.340706,555,411.109697
309.817416,206,413.32916
1533.680089,1000,414.754414
662.412791,518,418.870922
632.810699,320,421.025369
535.96607,307,422.432474
446.05564,250,423.748102
345.9626,220,424.829669
339.675051,201,425.785471
1068.975451,586,426.921654
674.476909,411,429.430794
350.220716,738,434.268652
1568.756528,1000,437.695944
413.699715,248,441.604418
277.237945,173,442.653242
932.477397,556,443.662529
600.529455,321,445.956126
683.055744,353,447.399201
508.098392,251,448.885239
587.946677,269,450.006031
1106.352103,546,451.370092
813.678412,587,453.807843
976.963257,573,456.383424
374.19537,235,458.700395
456.53363,185,459.703645
397.35108,223,460.541796
409.142503,165,461.489018
234.330039,144,462.204928
506.853005,263,462.916968
282.072228,148,464.000363
604.346913,319,464.763835
157.824752,118,466.034118
572.264143,233,466.627683
451.249587,263,467.679691
393.771677,217,468.817674
327.681894,170,469.764284
219.104135,161,470.505661
824.995911,275,471.286326
534.541064,275,472.504061
333.095315,216,473.67485
779.37179,332,474.701858
309.955954,157,476.048532
750.451333,353,476.868298
246.467099,164,478.301327
1281.299258,579,481.999569
610.873512,300,484.400166
602.359096,251,485.702168
166.103156,116,486.727174
542.851993,267,487.34609
1254.642219,446,488.650308
842.329521,329,490.555537
1159.059708,475,492.116006
510.679024,262,494.126095
113.214966,84,495.173412
379.131044,209,495.629932
1067.651082,506,496.75009
804.526463,330,498.886206
579.954476,301,500.331278
1108.684889,529,501.816225
683.054725,345,504.056872
585.957355,411,505.634649
456.692212,458,507.500759
553.564103,291,509.433805
724.812388,442,510.828036
437.36161,262,512.681094
454.443341,284,513.862769
