#{"t_start": 1635497649.4241714, "env_id": "Ant-v3"}
r,l,t
-208.806271,383,35.978558
-18.40862,26,35.995355
-27.795484,48,36.025742
-249.236045,1000,36.679162
-289.923399,1000,37.334664
-4.01098,39,37.359493
-11.539588,103,37.424826
-16.367615,30,37.444031
-43.804398,64,37.484959
-4.157229,22,37.499075
-8.441612,14,37.508434
-36.08363,41,37.534794
11.870311,45,37.563682
-55.277689,140,37.652423
-35.006384,122,37.729456
-292.530089,1000,38.384852
-300.001235,1000,39.036961
-1.419848,16,39.047489
-98.536853,210,39.180257
-105.796131,110,39.249951
18.658717,44,39.278031
-4.192872,30,39.297321
-54.920734,102,39.361794
-30.418313,69,39.405437
-107.026005,238,39.556306
-55.640403,103,39.621927
-7.388847,60,39.660318
-28.572076,86,39.715199
3.265142,21,39.728925
-56.210332,101,39.793251
-8.414473,90,39.850692
-265.540813,1000,40.502012
-10.733063,30,40.521146
-63.793003,148,40.615362
-31.596632,239,40.766474
-330.188298,1000,41.419293
-78.609435,128,41.500762
-77.750578,170,41.608768
-38.532066,73,41.655355
-30.831196,72,41.701597
-40.965153,29,41.720541
-17.511199,25,41.736547
15.43401,43,41.764062
-8.13732,119,41.839786
-79.218817,112,41.910616
-18.616414,77,41.959361
-330.591523,1000,62.660358
-61.324004,86,63.44809
-400.416719,1000,72.485289
-116.961602,120,73.574225
-50.627445,133,74.791534
-55.288667,115,75.835207
13.105544,121,76.961176
-42.662659,116,78.02663
0.130858,52,78.506466
-461.233985,1000,87.6271
-5.977936,15,87.764402
-18.133978,50,88.226776
-8.004114,34,88.536046
-6.820856,13,88.653747
30.455391,189,90.351543
-33.760701,52,90.819357
-44.500755,127,91.966002
-14.464483,37,92.302796
-6.190928,42,92.68623
13.746294,29,92.952161
13.062547,76,93.653651
-316.763924,1000,102.733068
-96.970247,304,105.517417
-186.89793,1000,114.65273
56.264811,161,116.120973
1.536151,70,116.761457
-55.547165,444,120.827289
17.163601,46,121.245898
1.492698,29,121.50956
66.858304,270,123.980497
-1.852986,34,124.291233
240.462243,1000,133.462947
467.589955,1000,142.659279
487.520589,1000,163.099167
574.948276,1000,172.294687
674.059944,1000,181.402253
697.334276,1000,190.562039
681.518615,1000,199.613265
728.525549,1000,208.711224
647.828858,1000,217.713073
663.418109,1000,226.787146
752.46258,1000,235.824172
33.843669,21,236.012814
95.895835,103,236.936198
28.783106,69,237.556388
737.961057,1000,246.678198
479.327975,1000,262.684183
98.13565,125,263.828786
66.056262,64,264.411867
109.324795,121,265.49725
489.167061,1000,274.674028
82.036562,170,276.244442
35.973428,49,276.688862
675.12461,1000,285.704373
718.499,1000,294.794492
734.176647,1000,303.804625
24.015026,29,304.064868
254.510622,304,306.826068
2.921947,14,306.951862
93.321369,103,307.878262
105.456737,136,309.103102
896.605539,1000,318.133029
828.009631,1000,327.307817
894.942746,1000,336.509268
10.265413,16,336.658229
67.397054,91,337.505682
62.233041,74,338.192797
718.069029,1000,347.261205
641.00108,1000,365.519981
14.670148,30,365.789549
768.631561,1000,374.854725
55.609413,58,375.3726
808.478008,1000,384.534561
902.706694,1000,393.640502
478.927058,787,400.745944
796.970068,1000,409.874072
923.635401,1000,418.931808
756.633456,1000,428.083534
699.247612,1000,437.206414
677.861851,1000,446.221205
872.686044,1000,466.828811
722.391835,1000,475.863113
763.739649,1000,484.878824
904.526285,1000,493.991121
831.366986,1000,503.154032
79.794515,71,503.79937
739.270412,1000,512.850025
166.068033,168,514.364756
166.318954,157,515.779687
855.341978,1000,524.950105
913.542476,1000,534.05918
885.871481,1000,543.077814
860.75575,1000,559.067638
799.85158,1000,568.251022
41.088811,38,568.610866
34.43561,42,568.992468
923.114072,1000,578.191344
56.062642,53,578.68231
60.714253,65,579.273865
525.019434,1000,588.408283
8.23239,19,588.583761
142.647004,156,590.006225
63.258845,87,590.798046
670.354472,1000,599.992385
36.888115,90,600.812387
697.96729,1000,609.942531
113.472054,120,611.03739
22.296541,21,611.228018
933.029807,1000,620.41771
102.028309,140,621.6824
189.245206,182,623.312127
895.654552,1000,632.443184
337.780933,392,635.995803
762.553933,1000,645.249892
996.299687,1000,665.904922
860.897382,1000,675.040847
891.134952,1000,684.279217
305.168186,342,687.372173
133.672388,127,688.51033
187.026246,161,689.963914
972.275436,1000,699.011063
956.978058,1000,708.070448
952.585539,1000,717.3123
96.295542,95,718.169284
26.618472,25,718.393829
48.550158,49,718.84323
879.739569,1000,727.900461
284.732953,234,730.053942
203.420498,224,732.094836
857.372213,1000,741.257078
909.658865,1000,750.462796
938.732958,1000,768.421169
545.907128,1000,777.440473
107.727893,63,778.017386
54.659813,63,778.597609
983.269764,1000,787.680338
59.189343,53,788.156681
176.151752,168,789.671478
984.318756,1000,798.689028
917.404062,1000,807.721965
10.736013,11,807.820447
80.821645,62,808.376702
906.002806,1000,817.488958
21.635456,22,817.686743
749.29471,604,823.156792
118.370671,108,824.145816
278.945375,261,826.533111
941.083887,1000,835.787803
957.612032,1000,845.085122
138.493509,122,846.196545
300.925971,214,848.145981
914.995745,1000,866.641487
924.903889,1000,875.810989
205.037817,172,877.380333
954.466992,1000,886.500979
53.545787,66,887.097218
73.862934,58,887.618179
876.966599,1000,896.660617
105.692413,61,897.208881
1023.458023,1000,906.361444
14.159131,12,906.473438
120.447051,92,907.32954
678.464114,519,912.113546
266.279198,185,913.774956
38.291553,43,914.169846
26.845257,27,914.412763
941.117826,1000,923.556988
945.771125,1000,932.64546
47.41316,51,933.102673
140.881767,145,934.4209
354.389317,247,936.67355
74.56223,65,937.265515
133.199277,104,938.213916
116.073919,98,939.113907
424.511138,412,942.879616
946.156205,1000,952.078335
44.840963,38,952.433954
492.145801,423,964.114392
855.510466,1000,973.289427
926.661603,1000,982.516686
51.529603,41,982.897506
121.675044,81,983.626666
203.719255,178,985.231402
209.214926,147,986.550042
53.391051,61,987.097462
1056.761101,1000,996.255879
50.863775,44,996.660096
1019.279531,1000,1005.712434
370.543569,240,1007.886376
955.966386,1000,1017.072648
108.212717,63,1017.645277
453.78556,285,1020.220581
132.150091,93,1021.066223
130.506662,94,1021.921209
979.853748,1000,1031.043586
285.550591,231,1033.111571
439.244335,288,1035.712221
926.290036,1000,1044.800724
220.942817,169,1046.362696
1052.288019,835,1063.323859
942.015253,1000,1072.396536
128.315991,94,1073.240579
921.991491,1000,1082.434457
414.684144,233,1084.52547
297.66168,185,1086.2061
346.434222,219,1088.199318
1056.508489,1000,1097.358815
914.413807,1000,1106.543296
47.39056,47,1106.969973
1100.276343,1000,1116.030647
851.482584,1000,1125.151165
172.933306,157,1126.561286
