#{"t_start": 1614621413.0573874, "env_id": "AntBulletEnv-v0"}
r,l,t
372.94266,1000,5.795019
495.269502,1000,7.369856
10.32429,38,7.429307
493.23691,1000,9.008975
511.500173,1000,10.640722
36.611254,90,10.785993
515.269968,1000,12.510538
203.56952,411,13.166432
37.985824,94,13.317783
496.108559,1000,14.959383
55.062794,146,15.194473
514.011764,1000,16.804475
505.332793,1000,18.534578
509.61186,1000,20.19433
511.889948,1000,34.757335
125.271601,503,43.711659
1.521528,20,43.756947
1.616734,20,43.80044
95.627699,266,49.108594
398.625937,1000,65.579699
115.071914,332,71.24396
116.067623,147,74.511286
371.065967,1000,90.948694
178.129007,467,99.367382
63.890898,329,104.833948
394.729608,1000,121.814533
403.043189,1000,139.594267
348.978612,1000,156.693088
88.388888,213,159.997427
474.394523,1000,177.579542
416.795044,1000,215.622042
393.111173,1000,233.360183
496.507666,1000,250.578106
471.350247,1000,268.143825
437.841229,1000,285.729316
535.947133,1000,302.304434
352.599793,1000,320.82901
439.15419,1000,338.737304
565.634917,1000,355.275131
434.437298,1000,373.133446
459.338906,1000,412.967452
408.603589,1000,430.786208
507.803122,1000,447.90874
441.17249,1000,464.864782
539.28217,1000,482.677527
60.428019,199,486.057002
454.91846,1000,504.029831
554.69332,1000,520.16058
426.024692,1000,538.534175
440.979687,1000,557.059984
649.222953,1000,574.760082
594.499754,1000,617.286721
466.565143,1000,634.879621
441.963559,1000,653.081833
548.32215,1000,671.330617
483.173204,1000,688.385579
118.039662,307,694.111474
585.69859,1000,712.052358
557.426781,1000,728.773158
457.130702,1000,747.070866
554.036653,1000,765.405541
570.963051,1000,782.656734
531.449124,1000,822.407593
390.416591,1000,839.652941
581.170438,1000,857.79972
631.7199,1000,876.049627
719.726934,1000,893.141166
567.654289,1000,911.306937
643.733377,1000,929.557001
600.790708,1000,947.029467
700.207137,1000,966.153495
420.471068,1000,983.088726
609.97348,1000,1020.033487
617.918694,1000,1038.688839
697.395728,1000,1055.848729
706.360578,1000,1074.164947
804.152577,1000,1092.301471
592.345381,1000,1109.812109
408.831697,534,1119.890952
614.929597,1000,1136.921444
776.500362,1000,1154.977443
736.196998,1000,1171.868279
381.752771,1000,1212.498372
459.24021,1000,1231.341148
413.90355,1000,1249.755238
746.442445,1000,1268.012676
758.631564,1000,1285.981716
766.029628,1000,1303.170382
747.931817,1000,1322.283577
767.143052,1000,1340.019775
895.988274,1000,1358.363881
663.706512,1000,1376.610101
523.100291,1000,1417.539237
630.710786,1000,1435.97008
768.338869,1000,1454.178327
908.291495,1000,1471.401346
689.238984,1000,1489.295638
820.735529,1000,1506.203087
642.92012,1000,1524.442526
720.79553,1000,1543.022006
831.706815,1000,1561.102382
632.788396,1000,1579.661826
1026.694162,1000,1620.379056
825.365245,1000,1637.856397
359.905056,1000,1656.36536
842.648372,1000,1674.00182
899.378421,1000,1692.495822
855.953334,1000,1710.870203
874.040928,1000,1728.821889
917.64561,1000,1747.780212
892.865467,1000,1766.292655
892.875444,1000,1783.270986
807.461053,1000,1824.361695
578.883193,1000,1841.821591
846.03798,1000,1860.329744
963.837,1000,1878.850067
922.523625,1000,1896.913888
955.878011,1000,1915.558996
773.229512,1000,1933.85745
1002.783843,1000,1951.161005
634.854451,1000,1969.958644
957.653005,1000,1987.450677
801.321283,1000,2029.031255
906.659121,1000,2048.376499
660.543326,1000,2066.000936
951.44843,1000,2084.7024
1011.704552,1000,2103.105151
1151.651432,1000,2120.665285
522.890768,1000,2139.864569
1013.516005,1000,2157.221042
802.397143,1000,2175.71299
1232.824423,1000,2194.54105
1072.659961,1000,2233.073851
660.890424,1000,2251.854038
921.427421,1000,2270.557345
885.852308,1000,2287.650724
981.095548,1000,2306.105792
841.295467,1000,2323.058301
647.045767,1000,2341.412869
799.097686,1000,2359.453667
1257.78314,1000,2376.367434
732.80882,1000,2394.390573
946.761092,1000,2435.98988
698.790954,832,2451.001166
843.738203,1000,2467.943475
1065.930188,1000,2486.267293
1081.399778,1000,2503.63979
1132.069393,1000,2522.399378
1141.24631,1000,2541.083553
961.363938,1000,2558.490339
1172.13656,1000,2576.787002
1150.143594,1000,2594.810728
467.063462,535,2603.81047
1015.300991,1000,2644.780451
938.545282,1000,2661.887788
884.155678,1000,2680.096739
890.971246,1000,2697.655391
1217.854453,1000,2716.252971
1245.024241,1000,2734.432265
1290.982358,1000,2752.19559
1060.056494,1000,2770.394419
1162.1402,1000,2789.179809
1341.863406,1000,2806.553583
1495.640859,1000,2846.178838
1174.260208,1000,2864.112159
1301.778449,1000,2882.216607
1234.637124,1000,2900.261297
1439.802598,1000,2917.640325
1136.067471,1000,2935.576299
1240.726449,1000,2953.491019
1405.610796,1000,2970.664259
1387.889184,1000,2988.16681
1169.033138,1000,3005.38535
1460.543466,1000,3045.676961
1420.523907,1000,3063.608216
1312.873845,1000,3080.837017
1431.293064,1000,3098.269032
1503.9284,1000,3116.320136
1249.203312,1000,3133.13659
1469.63328,1000,3151.685649
1177.335649,1000,3168.479796
1147.52236,1000,3186.629807
1379.56578,1000,3204.30342
878.507719,1000,3243.443186
1415.185743,1000,3261.701452
1342.450033,1000,3279.725997
1502.66999,1000,3296.067774
925.086451,1000,3314.055363
1511.645605,1000,3331.453536
1502.430183,1000,3349.888366
1509.630297,1000,3368.483567
1594.28994,1000,3385.163001
1551.828383,1000,3403.453854
1327.340991,1000,3443.66883
1447.593719,1000,3460.223957
1612.206809,1000,3477.833484
1571.250847,1000,3494.98646
1633.914363,1000,3512.623308
1531.729997,1000,3530.258744
1499.287733,1000,3547.262215
1596.244894,1000,3565.250839
1509.295607,1000,3582.744135
1507.431503,1000,3600.340117
1582.846289,1000,3642.15805
1490.52806,1000,3660.587992
1556.032194,1000,3679.374046
1521.030495,1000,3698.27302
1561.023055,1000,3715.425028
1357.497877,1000,3733.555293
1718.476204,1000,3752.552759
1847.44516,1000,3769.76358
1607.158092,1000,3787.864724
1457.960476,1000,3804.843108
1788.961108,1000,3845.372669
1710.352105,1000,3863.329566
1701.21286,1000,3880.194393
1607.09102,1000,3898.618408
1752.786939,1000,3916.849957
1712.163345,1000,3934.411308
1847.954634,1000,3952.078475
1788.769813,1000,3969.449239
1846.03974,1000,3987.796765
1870.383406,1000,4005.530764
1725.763303,1000,4044.902713
1801.197485,1000,4062.986358
1754.089952,1000,4081.801145
1809.323139,1000,4099.751446
1864.582971,1000,4117.995361
1902.883316,1000,4135.479177
1787.191888,1000,4154.009586
1598.928395,1000,4172.537999
1933.788939,1000,4189.324411
1832.876197,1000,4207.169805
1932.184069,1000,4247.554044
1887.098933,1000,4264.453178
1917.747159,1000,4282.896169
1886.905097,1000,4300.642316
1626.967271,1000,4319.065075
1684.996144,1000,4338.128142
2009.437624,1000,4356.328895
1790.455374,1000,4374.972285
1877.733237,1000,4393.719652
1926.335863,1000,4411.805979
1889.825798,1000,4452.892367
1782.544166,1000,4470.678705
1803.603981,1000,4489.934054
1998.969102,1000,4508.687315
1889.325818,1000,4526.722496
1844.978121,1000,4545.857025
1416.943288,1000,4565.980747
1990.520369,1000,4584.046511
2110.874168,1000,4604.071437
1936.952432,1000,4622.299181
2004.870255,1000,4662.729435
1961.424996,1000,4681.094894
1454.996802,1000,4697.941499
2003.678941,1000,4716.232622
2048.900248,1000,4733.902627
2009.133007,1000,4751.006844
1756.789984,1000,4769.472669
2061.082074,1000,4786.960622
2090.200015,1000,4805.89965
1498.115352,1000,4824.155763
1574.436433,1000,4863.123832
1793.35166,1000,4881.929644
1834.307675,1000,4900.128114
2045.948185,1000,4917.621972
1678.976286,1000,4936.846302
2037.027296,1000,4953.926414
1970.107841,1000,4971.770071
2105.749555,1000,4989.508686
1706.302475,1000,5006.440039
2131.492112,1000,5024.703965
2014.146008,1000,5064.458557
2233.667015,1000,5081.573796
2273.120955,1000,5100.097329
2249.269853,1000,5117.287318
2102.854654,1000,5135.611849
2131.777228,1000,5153.673975
2150.747199,1000,5170.978706
2214.298458,1000,5189.374931
2273.059734,1000,5207.508052
2107.982518,1000,5224.45415
2307.275574,1000,5264.333902
2029.750339,1000,5281.990093
2115.81996,1000,5300.366444
1920.486912,1000,5319.182279
2087.582636,1000,5336.745366
2018.165604,1000,5356.054845
2293.71218,1000,5374.532008
2097.956993,1000,5392.220206
2373.194955,1000,5411.224693
2283.001036,1000,5428.638202
2289.578834,1000,5468.339159
2299.037054,1000,5486.327199
2342.5756,1000,5503.218143
2232.107027,1000,5521.346439
2313.785395,1000,5539.883455
2307.65566,1000,5557.110771
2366.560468,1000,5575.510424
2165.372342,1000,5592.467038
2347.355507,1000,5610.720798
2394.042584,1000,5628.532026
2413.185314,1000,5666.783313
2390.900753,1000,5684.32091
2348.430157,1000,5702.082276
2259.230448,1000,5719.049166
2337.128918,1000,5737.683292
2438.37225,1000,5755.237109
