#{"t_start": 1614710446.7869186, "env_id": "BipedalWalker-v3"}
r,l,t
-107.536329,73,0.438362
-120.946739,108,0.552012
-90.843366,1600,1.811535
-100.54604,67,1.869558
-112.859849,82,1.941049
-108.465633,93,2.022691
-85.506082,1600,3.285305
-101.635182,71,3.345935
-98.355739,89,3.421269
-113.859614,66,3.478269
-102.647903,59,3.52788
-117.774965,87,3.59919
-79.531256,1600,4.868648
-89.257651,1600,6.129957
-90.504975,1600,7.388951
-72.992534,1600,42.173474
-128.342527,367,73.920509
-134.883927,296,95.480208
-103.792951,104,106.13203
-125.483724,161,117.227544
-106.035237,59,122.551479
-124.859514,175,138.297437
-120.933858,43,143.629749
-103.591912,84,148.99074
-100.780466,65,154.460836
-111.930332,51,159.611708
-109.582122,67,164.830661
-135.735647,179,180.919561
-131.440019,189,196.723603
-102.01881,63,202.10553
-103.646835,91,207.572921
-109.481109,56,212.963758
-108.265749,71,218.394854
-113.477797,82,223.702313
-109.657354,56,228.830275
-126.276234,69,234.064689
-102.7616,247,255.736786
-105.93042,65,260.953144
-116.471044,83,266.202095
-129.813609,277,292.721288
-126.81055,49,297.849215
-103.870624,151,308.578826
-78.47072,1600,441.275698
-121.973415,120,451.871248
-105.596293,91,457.046783
-115.90977,108,467.820168
-149.49248,792,531.484757
-98.412337,90,542.262776
-51.612485,1600,674.820266
-101.557263,84,680.205008
-103.770884,82,685.394562
-98.842821,76,690.629933
-125.702351,401,727.5235
-101.898931,100,733.082484
-134.510598,155,749.102329
-99.244485,818,812.99737
-119.152115,58,818.210268
-31.212845,1600,971.03322
-127.821981,139,986.804556
-129.279412,127,997.601367
-120.831656,69,1002.857794
-100.590999,316,1029.6199
10.628326,1600,1163.685674
-123.857487,290,1185.024086
-112.822099,101,1195.827899
-87.162103,187,1211.485172
-108.503785,134,1222.215438
-121.607317,104,1227.686113
-123.508987,195,1243.650942
-100.060763,82,1254.309566
-112.547213,332,1281.013014
-88.115512,394,1313.137027
-106.23306,186,1329.000618
-99.955195,57,1334.370717
