#{"t_start": 1614945892.13132, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-115.199072,89,2.280802
-105.546676,2000,3.091875
-101.467209,62,3.118724
-118.464514,96,3.159788
-102.385516,2000,3.97067
-104.826022,63,3.997717
-98.063736,74,4.029415
-109.620342,45,4.050133
-105.993835,61,4.076461
-101.852582,2000,4.886353
-112.757961,2000,5.698431
-100.912643,73,5.730529
-175.487391,1693,9.532289
-99.901319,68,10.326982
-108.693465,96,11.454101
-117.460303,67,12.24502
-104.80563,2000,35.825835
-99.580724,64,36.563139
-100.274108,70,37.377322
-163.661973,1267,53.643957
-110.311791,83,54.709177
-214.175534,1882,78.859034
-137.933449,451,84.602639
-106.912014,62,85.39409
-105.315803,81,86.429461
-107.245013,47,87.030041
-106.799248,56,87.745338
-101.801309,60,88.511712
-98.771301,66,89.356564
-109.368184,46,89.940578
-105.380167,2000,115.362179
-147.004957,686,123.994501
-95.223287,126,125.606624
-124.108122,297,129.368748
-121.560011,91,130.512488
-119.524841,65,131.339209
-99.368485,119,132.840431
-95.452713,363,137.443247
-119.200702,72,138.356282
-118.71515,70,139.241444
-105.230489,128,140.928487
-112.386769,286,144.736386
-124.515448,75,145.758748
-118.583026,67,146.643189
-115.43051,58,147.402934
-116.088621,56,148.130122
-115.479977,59,148.917043
-117.772776,65,149.891577
-131.418519,100,151.314727
-121.711684,79,152.513543
-115.195402,73,153.564737
-130.806104,86,154.79443
-125.768914,92,156.075191
-111.104771,199,158.829705
-100.574227,95,160.144937
-140.684533,237,163.418033
-101.634865,95,164.723277
-112.514215,2000,193.615927
-101.171339,2000,223.161283
-99.157419,390,228.673881
-122.942759,74,229.753755
-170.888929,688,239.366515
-154.525943,1062,254.925549
-102.200755,57,255.749304
-114.324618,127,257.560827
-110.866921,498,264.93865
-110.307001,436,271.430564
-102.634478,67,272.435312
-98.444327,401,278.428534
-112.523345,579,286.968359
-126.03579,745,298.106763
-121.648875,454,304.49203
-112.503977,84,305.69455
-112.69923,95,307.049453
-104.112943,211,310.079897
-109.231102,124,311.852992
-110.371264,73,312.889887
-140.101809,2000,341.463978
-133.151057,2000,370.513642
-102.543553,2000,398.275239
-142.504496,1052,412.808242
-153.882695,2000,441.20362
-98.522998,83,442.406835
-101.271534,143,444.493129
-112.253974,137,446.484056
-91.63494,124,448.28473
-102.324911,76,449.381758
-117.634242,71,450.418539
-105.490594,112,452.028282
-96.399237,175,454.556008
-106.976656,58,455.398015
-115.495554,40,455.980812
-112.747391,187,458.681902
-104.439325,111,460.286496
-141.371646,505,467.54405
-126.640482,168,469.856027
-142.209834,654,478.53685
-128.528049,316,482.73156
-127.887966,473,489.386063
-91.938463,550,497.426015
-118.810163,67,498.426426
-119.767733,145,500.538712
-110.020579,134,502.498857
-109.582329,207,505.497071
-113.072326,165,507.805773
-101.463724,2000,536.477515
-106.97396,111,538.066646
-81.569907,340,543.021359
-127.290165,967,557.05842
-96.298969,352,577.9556
-155.780856,1558,600.228295
-87.341061,2000,629.264057
-98.945196,179,631.93251
-123.634582,395,637.658544
-98.122666,246,641.183896
-104.106063,83,642.358815
-88.711944,2000,670.56002
-93.613323,279,674.531388
-102.913586,83,675.78278
-79.287831,283,679.998618
-85.398741,268,684.000041
-110.500342,81,685.212599
-109.116252,86,686.5108
-100.34481,275,690.62765
-98.620458,230,694.037478
-106.003128,174,696.556155
-99.83648,102,698.037066
-88.12209,219,701.216199
-54.467672,368,706.538808
-92.888294,278,710.562307
-106.19919,57,711.388062
-101.101963,92,712.746477
-108.658341,386,718.445229
-94.524733,198,721.388978
-102.373784,120,723.170297
-95.661122,263,727.076051
-90.668476,201,730.018014
-105.955807,84,731.19681
-97.398472,295,735.357813
-106.346998,320,739.871927
-102.319208,92,741.204972
-133.919576,1458,762.257734
-103.104119,487,769.179604
-107.362828,391,774.741797
-96.418135,196,777.533879
-79.714285,886,790.828091
-90.125938,225,794.260332
-85.679928,339,799.446656
-89.332538,526,807.097201
-98.399835,316,811.811631
-104.997243,347,817.036892
-105.035235,299,821.553746
-60.776013,2000,849.341163
-74.888663,2000,877.415079
-102.770394,282,881.386295
-71.432734,302,885.591468
-105.950003,66,886.511797
-157.64958,2000,913.300929
-115.801538,56,914.032472
-115.842766,60,914.823874
-115.780621,63,915.651047
-111.291538,80,916.694052
-161.971659,2000,943.338349
-103.467382,256,947.02261
-103.665181,173,949.513091
-96.327395,306,953.974614
-75.995046,372,959.276455
-106.871025,287,963.286313
-77.021408,686,972.600321
-105.782568,95,973.921094
-97.774927,273,977.710846
