#{"t_start": 1624540864.7986722, "env_id": "FetchPickAndPlace-v1"}
r,l,t,is_success
-50.0,50,1.593942,0.0
-50.0,50,1.654208,0.0
-50.0,50,2.865448,0.0
-50.0,50,3.676573,0.0
-50.0,50,4.481899,0.0
-50.0,50,5.287077,0.0
-50.0,50,6.093077,0.0
-50.0,50,6.902839,0.0
-50.0,50,7.710898,0.0
-50.0,50,8.51778,0.0
-50.0,50,9.323197,0.0
-50.0,50,10.129101,0.0
-50.0,50,10.935732,0.0
-50.0,50,11.743086,0.0
-50.0,50,12.547575,0.0
-50.0,50,13.355312,0.0
-50.0,50,14.168923,0.0
-50.0,50,14.98666,0.0
-50.0,50,15.804444,0.0
-50.0,50,16.619389,0.0
-50.0,50,17.435693,0.0
-50.0,50,18.256022,0.0
-50.0,50,19.071712,0.0
-50.0,50,19.886224,0.0
-50.0,50,20.701142,0.0
-50.0,50,21.514495,0.0
0.0,50,22.325138,1.0
-50.0,50,23.132096,0.0
-50.0,50,23.952066,0.0
-50.0,50,24.774246,0.0
-50.0,50,25.595342,0.0
-50.0,50,26.422431,0.0
0.0,50,27.240231,1.0
-50.0,50,28.060743,0.0
-50.0,50,28.885802,0.0
-50.0,50,29.703988,0.0
-50.0,50,30.524081,0.0
-50.0,50,31.337759,0.0
-50.0,50,32.158205,0.0
-50.0,50,32.973815,0.0
-50.0,50,33.793559,0.0
-50.0,50,34.613738,0.0
-50.0,50,35.432816,0.0
-50.0,50,36.246801,0.0
-50.0,50,37.065579,0.0
-50.0,50,37.880737,0.0
-50.0,50,38.700427,0.0
-50.0,50,39.513817,0.0
-50.0,50,40.325315,0.0
-50.0,50,41.140308,0.0
-50.0,50,41.95644,0.0
-50.0,50,42.770044,0.0
-50.0,50,43.58228,0.0
-50.0,50,44.400059,0.0
-50.0,50,45.216854,0.0
-50.0,50,46.0298,0.0
-50.0,50,46.839001,0.0
-50.0,50,47.653198,0.0
0.0,50,48.465172,1.0
-50.0,50,49.277143,0.0
-50.0,50,50.089892,0.0
-50.0,50,50.904129,0.0
-50.0,50,51.724936,0.0
-50.0,50,52.545917,0.0
-50.0,50,53.36521,0.0
-50.0,50,54.184765,0.0
-50.0,50,55.008393,0.0
-50.0,50,55.830675,0.0
-50.0,50,56.64765,0.0
-50.0,50,57.470086,0.0
-50.0,50,58.294358,0.0
-50.0,50,59.11743,0.0
-50.0,50,59.939203,0.0
-50.0,50,60.760091,0.0
-50.0,50,61.578052,0.0
-50.0,50,62.396316,0.0
-50.0,50,63.218854,0.0
-50.0,50,64.038199,0.0
-50.0,50,64.862446,0.0
-50.0,50,65.681659,0.0
-50.0,50,66.506701,0.0
-50.0,50,67.327617,0.0
-50.0,50,68.1522,0.0
-50.0,50,68.973722,0.0
-50.0,50,69.794386,0.0
-50.0,50,70.616737,0.0
-50.0,50,71.433517,0.0
-50.0,50,72.252759,0.0
-50.0,50,73.075453,0.0
-50.0,50,73.896924,0.0
-50.0,50,74.717686,0.0
-50.0,50,75.538752,0.0
-50.0,50,76.363708,0.0
-50.0,50,77.184633,0.0
-50.0,50,78.00377,0.0
-50.0,50,78.823093,0.0
-50.0,50,79.643953,0.0
-50.0,50,80.465126,0.0
-50.0,50,81.285861,0.0
-50.0,50,82.105135,0.0
-50.0,50,82.929828,0.0
-50.0,50,83.755806,0.0
-50.0,50,84.581406,0.0
-50.0,50,85.404802,0.0
-50.0,50,86.225886,0.0
-50.0,50,87.053089,0.0
0.0,50,87.873546,1.0
-50.0,50,88.699027,0.0
-50.0,50,89.521515,0.0
-50.0,50,90.334961,0.0
-50.0,50,91.147333,0.0
-50.0,50,91.96884,0.0
-50.0,50,92.793727,0.0
-50.0,50,93.618203,0.0
-50.0,50,94.442156,0.0
-50.0,50,95.258024,0.0
-50.0,50,96.072333,0.0
-50.0,50,96.888281,0.0
-50.0,50,97.704195,0.0
-50.0,50,98.525046,0.0
-50.0,50,99.344814,0.0
-50.0,50,100.162861,0.0
-50.0,50,100.977342,0.0
-50.0,50,101.794212,0.0
-50.0,50,102.610742,0.0
-50.0,50,103.432628,0.0
-50.0,50,104.251241,0.0
-50.0,50,105.07336,0.0
-50.0,50,105.896033,0.0
-50.0,50,106.719078,0.0
-50.0,50,107.539141,0.0
-50.0,50,108.356046,0.0
-50.0,50,109.156275,0.0
-50.0,50,109.970642,0.0
-50.0,50,110.789932,0.0
-50.0,50,111.603195,0.0
-50.0,50,112.420465,0.0
-50.0,50,113.23734,0.0
-50.0,50,114.055802,0.0
-50.0,50,114.872169,0.0
-50.0,50,115.689172,0.0
-50.0,50,116.501867,0.0
-50.0,50,117.319462,0.0
-50.0,50,118.140866,0.0
-50.0,50,118.953093,0.0
0.0,50,119.774329,1.0
-50.0,50,120.595666,0.0
-50.0,50,121.408822,0.0
-50.0,50,122.224852,0.0
-50.0,50,123.040004,0.0
-50.0,50,123.851413,0.0
-50.0,50,124.668862,0.0
-50.0,50,125.485059,0.0
-50.0,50,126.301583,0.0
-50.0,50,127.119308,0.0
-50.0,50,127.93534,0.0
-50.0,50,128.744787,0.0
-50.0,50,129.553545,0.0
-50.0,50,130.367903,0.0
-50.0,50,131.18564,0.0
-50.0,50,132.001078,0.0
-50.0,50,132.811572,0.0
-50.0,50,133.62828,0.0
-50.0,50,134.442448,0.0
-50.0,50,135.260866,0.0
-50.0,50,136.07988,0.0
-46.0,50,136.95047,0.0
-50.0,50,137.767217,0.0
-50.0,50,138.585648,0.0
-50.0,50,139.399902,0.0
-50.0,50,140.213908,0.0
-50.0,50,141.033859,0.0
-50.0,50,141.851758,0.0
-50.0,50,142.670657,0.0
-50.0,50,143.495182,0.0
-50.0,50,144.311019,0.0
-50.0,50,145.128167,0.0
-4.0,50,145.946772,1.0
-50.0,50,146.765313,0.0
-50.0,50,147.583166,0.0
-50.0,50,148.402274,0.0
-50.0,50,149.222089,0.0
-50.0,50,150.041471,0.0
-50.0,50,150.85955,0.0
-50.0,50,151.677678,0.0
-50.0,50,152.497927,0.0
-50.0,50,153.31547,0.0
-50.0,50,154.135022,0.0
-50.0,50,154.950867,0.0
-50.0,50,155.767159,0.0
-50.0,50,156.584204,0.0
-50.0,50,157.395903,0.0
-50.0,50,158.209483,0.0
-50.0,50,159.028505,0.0
-50.0,50,159.845524,0.0
-50.0,50,160.665374,0.0
-50.0,50,161.479325,0.0
-50.0,50,162.293774,0.0
-50.0,50,163.110702,0.0
-50.0,50,163.926557,0.0
-50.0,50,164.745388,0.0
-50.0,50,165.563907,0.0
-50.0,50,166.379873,0.0
-50.0,50,167.197035,0.0
-50.0,50,168.020564,0.0
-47.0,50,168.836722,0.0
-50.0,50,169.654634,0.0
-50.0,50,170.472067,0.0
-50.0,50,171.291003,0.0
-50.0,50,172.109864,0.0
-50.0,50,172.926704,0.0
-50.0,50,173.7443,0.0
-50.0,50,174.562745,0.0
-50.0,50,175.382061,0.0
-50.0,50,176.20265,0.0
-50.0,50,177.019146,0.0
-50.0,50,177.836177,0.0
-50.0,50,178.655395,0.0
-50.0,50,179.4728,0.0
-50.0,50,180.290438,0.0
-50.0,50,181.109117,0.0
-50.0,50,181.923557,0.0
-50.0,50,182.742952,0.0
-50.0,50,183.563541,0.0
-50.0,50,184.383079,0.0
-50.0,50,185.207296,0.0
-50.0,50,186.022097,0.0
-50.0,50,186.837179,0.0
-50.0,50,187.654652,0.0
-50.0,50,188.474671,0.0
-50.0,50,189.291627,0.0
-50.0,50,190.110952,0.0
-50.0,50,190.931306,0.0
-50.0,50,191.748357,0.0
-50.0,50,192.56451,0.0
-30.0,50,193.383095,0.0
-50.0,50,194.201778,0.0
-50.0,50,195.020203,0.0
-50.0,50,195.837761,0.0
-50.0,50,196.656451,0.0
-50.0,50,197.475814,0.0
-50.0,50,198.294112,0.0
-50.0,50,199.11189,0.0
-45.0,50,199.929009,0.0
-45.0,50,200.745354,0.0
-50.0,50,201.56432,0.0
-50.0,50,202.380685,0.0
-50.0,50,203.197218,0.0
-50.0,50,204.014346,0.0
-50.0,50,204.833364,0.0
-50.0,50,205.651293,0.0
-50.0,50,206.470408,0.0
-50.0,50,207.289563,0.0
-50.0,50,208.106464,0.0
-50.0,50,208.924511,0.0
-50.0,50,209.741832,0.0
-50.0,50,210.561385,0.0
-43.0,50,211.379822,0.0
-50.0,50,212.199368,0.0
-50.0,50,213.015648,0.0
-50.0,50,213.835084,0.0
-50.0,50,214.653211,0.0
-50.0,50,215.46899,0.0
-50.0,50,216.279757,0.0
