#{"t_start": 1624540841.4890654, "env_id": "FetchPush-v1"}
r,l,t,is_success
-50.0,50,2.093911,0.0
-50.0,50,2.157438,0.0
0.0,50,3.306185,1.0
0.0,50,3.867558,1.0
-50.0,50,4.429468,0.0
-4.0,50,4.992023,1.0
-50.0,50,5.557233,0.0
-50.0,50,6.116154,0.0
-50.0,50,6.675796,0.0
0.0,50,7.23806,1.0
-50.0,50,7.803087,0.0
0.0,50,8.363439,1.0
-50.0,50,8.928806,0.0
-50.0,50,9.489985,0.0
-50.0,50,10.052347,0.0
-50.0,50,10.616053,0.0
0.0,50,11.180551,1.0
-50.0,50,11.742725,0.0
-50.0,50,12.302837,0.0
-50.0,50,12.871503,0.0
-50.0,50,13.435197,0.0
-50.0,50,14.002986,0.0
-50.0,50,14.569487,0.0
-50.0,50,15.136752,0.0
-50.0,50,15.697793,0.0
-50.0,50,16.261489,0.0
-50.0,50,16.825739,0.0
-50.0,50,17.391607,0.0
-50.0,50,17.953335,0.0
-50.0,50,18.517642,0.0
-50.0,50,19.078309,0.0
-50.0,50,19.640817,0.0
-50.0,50,20.205151,0.0
-50.0,50,20.77197,0.0
-50.0,50,21.335023,0.0
-50.0,50,21.939938,0.0
-50.0,50,22.530976,0.0
-50.0,50,23.110219,0.0
0.0,50,23.728501,1.0
-50.0,50,24.366564,0.0
-50.0,50,24.989498,0.0
-50.0,50,25.689851,0.0
-50.0,50,26.508119,0.0
-50.0,50,27.317868,0.0
-50.0,50,28.121393,0.0
-50.0,50,28.929909,0.0
-50.0,50,29.73551,0.0
-50.0,50,30.54608,0.0
-50.0,50,31.350782,0.0
-50.0,50,32.159926,0.0
-50.0,50,32.963475,0.0
-50.0,50,33.768228,0.0
-50.0,50,34.575325,0.0
0.0,50,35.38308,1.0
-50.0,50,36.188531,0.0
-50.0,50,36.996018,0.0
-50.0,50,37.818187,0.0
-50.0,50,38.633433,0.0
-50.0,50,39.452466,0.0
-50.0,50,40.263232,0.0
-50.0,50,41.083197,0.0
-50.0,50,41.902299,0.0
-50.0,50,42.714994,0.0
-50.0,50,43.526722,0.0
-50.0,50,44.343714,0.0
-50.0,50,45.160771,0.0
-50.0,50,45.963755,0.0
-50.0,50,46.77356,0.0
-50.0,50,47.597111,0.0
-50.0,50,48.420215,0.0
-50.0,50,49.24677,0.0
-50.0,50,50.067156,0.0
-50.0,50,50.886309,0.0
-50.0,50,51.712057,0.0
-50.0,50,52.530291,0.0
-50.0,50,53.35061,0.0
-50.0,50,54.165982,0.0
-50.0,50,54.985897,0.0
-50.0,50,55.80365,0.0
-50.0,50,56.614338,0.0
-50.0,50,57.440335,0.0
-50.0,50,58.25993,0.0
-50.0,50,59.075509,0.0
-50.0,50,59.894605,0.0
-50.0,50,60.708638,0.0
-50.0,50,61.529484,0.0
-50.0,50,62.343956,0.0
-50.0,50,63.158278,0.0
-50.0,50,63.963741,0.0
-50.0,50,64.788216,0.0
-50.0,50,65.599133,0.0
-50.0,50,66.41533,0.0
-50.0,50,67.226644,0.0
-50.0,50,68.044615,0.0
-50.0,50,68.860912,0.0
-50.0,50,69.670906,0.0
-50.0,50,70.482865,0.0
-50.0,50,71.297314,0.0
-50.0,50,72.107556,0.0
-50.0,50,72.919747,0.0
-50.0,50,73.730401,0.0
-50.0,50,74.549985,0.0
-50.0,50,75.370391,0.0
-50.0,50,76.193931,0.0
-50.0,50,77.009372,0.0
-50.0,50,77.832004,0.0
0.0,50,78.658237,1.0
-50.0,50,79.475394,0.0
-50.0,50,80.294601,0.0
-50.0,50,81.119748,0.0
-50.0,50,81.941789,0.0
-50.0,50,82.765782,0.0
-50.0,50,83.585812,0.0
-50.0,50,84.408127,0.0
-50.0,50,85.221605,0.0
-50.0,50,86.04295,0.0
-50.0,50,86.869334,0.0
-50.0,50,87.68845,0.0
