#{"t_start": 1624569203.5883472, "env_id": "FetchReach-v1"}
r,l,t,is_success
-50.0,50,1.759269,0.0
-46.0,50,1.828996,0.0
-50.0,50,1.901349,0.0
-50.0,50,1.979417,0.0
-48.0,50,2.050932,0.0
-50.0,50,2.127015,0.0
-50.0,50,2.207015,0.0
-50.0,50,2.279534,0.0
-50.0,50,2.352013,0.0
-50.0,50,2.42235,0.0
-50.0,50,2.497693,0.0
-50.0,50,2.569717,0.0
-50.0,50,2.64363,0.0
-48.0,50,2.714293,0.0
-50.0,50,2.786191,0.0
-50.0,50,2.859945,0.0
-50.0,50,2.937044,0.0
-50.0,50,3.008646,0.0
-50.0,50,3.081829,0.0
-50.0,50,3.152099,0.0
-50.0,50,4.359961,0.0
-50.0,50,5.133864,0.0
-50.0,50,5.91418,0.0
-50.0,50,6.708274,0.0
-50.0,50,7.503692,0.0
-50.0,50,8.30275,0.0
-44.0,50,9.092391,0.0
-50.0,50,9.886877,0.0
-50.0,50,10.681922,0.0
-50.0,50,11.465374,0.0
-50.0,50,12.265147,0.0
-50.0,50,13.060223,0.0
-48.0,50,13.855923,0.0
-50.0,50,14.65324,0.0
-39.0,50,15.44838,0.0
-50.0,50,16.243422,0.0
-42.0,50,17.057307,1.0
-50.0,50,17.850074,0.0
-50.0,50,18.642229,0.0
-50.0,50,19.437612,0.0
-50.0,50,20.245568,0.0
-50.0,50,21.060292,0.0
-50.0,50,21.867847,0.0
-50.0,50,22.665595,0.0
-50.0,50,23.436266,0.0
-47.0,50,24.236461,0.0
-49.0,50,25.033917,0.0
-50.0,50,25.807658,0.0
-50.0,50,26.595127,0.0
-50.0,50,27.387454,0.0
-44.0,50,28.194501,0.0
-50.0,50,28.988434,0.0
-50.0,50,29.790594,0.0
-50.0,50,30.589215,0.0
-50.0,50,31.388418,0.0
-50.0,50,32.186055,0.0
-49.0,50,32.969181,0.0
-50.0,50,33.777303,0.0
-50.0,50,34.580176,0.0
-50.0,50,35.380975,0.0
-50.0,50,36.177388,0.0
-45.0,50,36.974954,0.0
-47.0,50,37.766427,0.0
-50.0,50,38.562882,0.0
-50.0,50,39.359762,0.0
-49.0,50,40.158373,0.0
-50.0,50,40.951667,0.0
-50.0,50,41.78895,0.0
-50.0,50,42.599909,0.0
-46.0,50,43.394208,1.0
-48.0,50,44.176547,0.0
-45.0,50,44.974855,0.0
-50.0,50,45.773673,0.0
-50.0,50,46.567386,0.0
-44.0,50,47.360795,0.0
-50.0,50,48.157714,0.0
-48.0,50,48.962616,0.0
-41.0,50,49.760037,0.0
-50.0,50,50.612726,0.0
-41.0,50,51.415684,0.0
-43.0,50,52.21885,0.0
-46.0,50,53.013503,0.0
-40.0,50,53.80312,1.0
-18.0,50,54.605182,0.0
-16.0,50,55.40436,1.0
-45.0,50,56.202495,0.0
-23.0,50,56.997755,1.0
-8.0,50,57.799207,1.0
-30.0,50,58.606861,1.0
-6.0,50,59.402687,1.0
-6.0,50,60.201426,1.0
-7.0,50,61.028058,1.0
-12.0,50,61.832406,0.0
-1.0,50,62.632359,1.0
-5.0,50,63.432478,1.0
-4.0,50,64.231925,1.0
-4.0,50,65.032958,1.0
-3.0,50,65.836129,1.0
-4.0,50,66.631104,1.0
-2.0,50,67.434834,1.0
-3.0,50,69.79513,1.0
0.0,50,70.592498,1.0
0.0,50,71.389738,1.0
-2.0,50,72.187601,1.0
-2.0,50,72.984707,1.0
-1.0,50,73.781706,1.0
-3.0,50,74.584394,1.0
-2.0,50,75.382444,1.0
