#{"t_start": 1624568444.1406372, "env_id": "FetchSlide-v1"}
r,l,t,is_success
-50.0,50,2.135926,0.0
-50.0,50,2.207167,0.0
-50.0,50,3.353434,0.0
-50.0,50,3.926499,0.0
-50.0,50,4.493935,0.0
-50.0,50,5.058017,0.0
-50.0,50,5.630063,0.0
-50.0,50,6.197085,0.0
-50.0,50,6.780363,0.0
-50.0,50,7.347479,0.0
-50.0,50,7.913379,0.0
-50.0,50,8.474435,0.0
-50.0,50,9.046798,0.0
-50.0,50,9.615415,0.0
-50.0,50,10.179859,0.0
-50.0,50,10.748006,0.0
-50.0,50,11.317555,0.0
-50.0,50,11.887783,0.0
-50.0,50,12.457455,0.0
-50.0,50,13.033241,0.0
-50.0,50,13.600964,0.0
-50.0,50,14.178365,0.0
-50.0,50,14.743083,0.0
-50.0,50,15.301093,0.0
-50.0,50,15.86206,0.0
-50.0,50,16.424174,0.0
-50.0,50,16.990928,0.0
-50.0,50,17.556108,0.0
-50.0,50,18.125671,0.0
-50.0,50,18.719244,0.0
-50.0,50,19.309545,0.0
-50.0,50,19.916543,0.0
-50.0,50,20.492224,0.0
-50.0,50,21.050468,0.0
-50.0,50,21.614958,0.0
-50.0,50,22.191322,0.0
-50.0,50,22.794775,0.0
-50.0,50,23.358323,0.0
-50.0,50,23.91823,0.0
-50.0,50,24.48406,0.0
-50.0,50,25.053251,0.0
-50.0,50,25.620369,0.0
-50.0,50,26.19017,0.0
-50.0,50,26.754785,0.0
-50.0,50,27.31403,0.0
-50.0,50,27.878676,0.0
-50.0,50,28.444825,0.0
-50.0,50,29.010254,0.0
-50.0,50,29.572683,0.0
-50.0,50,30.138984,0.0
-50.0,50,30.709944,0.0
-50.0,50,31.278747,0.0
-50.0,50,31.887261,0.0
-50.0,50,32.47397,0.0
-50.0,50,33.086408,0.0
-50.0,50,33.652107,0.0
-50.0,50,34.211089,0.0
-50.0,50,34.778732,0.0
-50.0,50,35.341978,0.0
-50.0,50,35.912887,0.0
-50.0,50,36.481467,0.0
-50.0,50,37.040037,0.0
-50.0,50,37.60591,0.0
-50.0,50,38.167288,0.0
-50.0,50,38.730499,0.0
-50.0,50,39.29415,0.0
-50.0,50,39.861284,0.0
-50.0,50,40.433458,0.0
-50.0,50,40.999616,0.0
-50.0,50,41.560405,0.0
-50.0,50,42.131693,0.0
-50.0,50,42.734577,0.0
-50.0,50,43.299333,0.0
-50.0,50,43.878606,0.0
-50.0,50,44.476296,0.0
-50.0,50,45.052086,0.0
-50.0,50,45.633414,0.0
-50.0,50,46.210405,0.0
-50.0,50,46.865438,0.0
-50.0,50,47.456057,0.0
-50.0,50,48.078713,0.0
-50.0,50,48.677847,0.0
-50.0,50,49.263281,0.0
-50.0,50,49.844689,0.0
-50.0,50,50.439113,0.0
-50.0,50,51.019034,0.0
-50.0,50,51.60953,0.0
-50.0,50,52.199729,0.0
-50.0,50,52.79681,0.0
-50.0,50,53.401654,0.0
-50.0,50,53.989325,0.0
-50.0,50,54.571847,0.0
-50.0,50,55.159759,0.0
-50.0,50,55.726832,0.0
-50.0,50,56.30002,0.0
-50.0,50,56.871907,0.0
-50.0,50,57.442944,0.0
-50.0,50,58.009433,0.0
-50.0,50,58.571241,0.0
-50.0,50,59.13219,0.0
-50.0,50,59.708151,0.0
-50.0,50,60.271208,0.0
-50.0,50,60.845445,0.0
-50.0,50,61.415833,0.0
-50.0,50,61.977742,0.0
-50.0,50,62.545185,0.0
-50.0,50,63.113093,0.0
-50.0,50,63.676348,0.0
-50.0,50,64.269061,0.0
-50.0,50,64.848824,0.0
-50.0,50,65.408062,0.0
-50.0,50,65.949752,0.0
-50.0,50,66.503407,0.0
-50.0,50,67.066995,0.0
-50.0,50,67.62768,0.0
-50.0,50,68.189862,0.0
-50.0,50,68.74219,0.0
-50.0,50,69.300376,0.0
-50.0,50,69.858291,0.0
-50.0,50,70.415294,0.0
-50.0,50,70.978859,0.0
-50.0,50,71.528959,0.0
-50.0,50,72.075926,0.0
-50.0,50,72.63693,0.0
-50.0,50,73.192864,0.0
-50.0,50,73.741089,0.0
-50.0,50,74.305407,0.0
-50.0,50,74.874132,0.0
-50.0,50,75.444949,0.0
-50.0,50,76.011907,0.0
-50.0,50,76.57837,0.0
-50.0,50,77.133491,0.0
-50.0,50,77.706861,0.0
-50.0,50,78.271733,0.0
-50.0,50,78.843872,0.0
-50.0,50,79.411786,0.0
-50.0,50,79.976385,0.0
-50.0,50,80.534458,0.0
-50.0,50,81.090375,0.0
-50.0,50,81.658264,0.0
-50.0,50,82.227997,0.0
-50.0,50,82.805943,0.0
-50.0,50,83.370313,0.0
-50.0,50,83.942161,0.0
-50.0,50,84.514795,0.0
-50.0,50,85.090199,0.0
-50.0,50,85.684356,0.0
-50.0,50,86.260751,0.0
-50.0,50,86.849273,0.0
-50.0,50,87.427744,0.0
-50.0,50,88.038736,0.0
-50.0,50,88.671589,0.0
-50.0,50,89.278786,0.0
-50.0,50,89.945528,0.0
-50.0,50,90.593004,0.0
-50.0,50,91.248966,0.0
-50.0,50,91.872861,0.0
-50.0,50,92.421,0.0
-50.0,50,92.978295,0.0
-50.0,50,93.528214,0.0
-50.0,50,94.091339,0.0
-50.0,50,94.650484,0.0
-50.0,50,95.213236,0.0
-50.0,50,95.786692,0.0
-50.0,50,96.352013,0.0
-50.0,50,96.914436,0.0
-50.0,50,97.467532,0.0
-50.0,50,98.020138,0.0
-50.0,50,98.597434,0.0
-50.0,50,99.153527,0.0
-50.0,50,99.708374,0.0
-50.0,50,100.265245,0.0
-50.0,50,100.828358,0.0
-50.0,50,101.38851,0.0
-50.0,50,101.945034,0.0
-50.0,50,102.505963,0.0
-50.0,50,103.088047,0.0
-50.0,50,103.656935,0.0
-50.0,50,104.215056,0.0
-50.0,50,104.790941,0.0
-50.0,50,105.357499,0.0
-50.0,50,105.921141,0.0
-50.0,50,106.479915,0.0
-50.0,50,107.029762,0.0
-50.0,50,107.589993,0.0
-50.0,50,108.142267,0.0
-50.0,50,108.709789,0.0
-50.0,50,109.278421,0.0
-50.0,50,109.842476,0.0
-50.0,50,110.403449,0.0
-50.0,50,110.958868,0.0
-50.0,50,111.526485,0.0
-50.0,50,112.083576,0.0
-50.0,50,112.639369,0.0
-50.0,50,113.193543,0.0
-50.0,50,113.749913,0.0
-50.0,50,114.314469,0.0
-50.0,50,114.941285,0.0
-50.0,50,115.647923,0.0
-50.0,50,116.319096,0.0
-50.0,50,116.982894,0.0
-50.0,50,117.68985,0.0
-50.0,50,118.337662,0.0
-50.0,50,118.958512,0.0
-50.0,50,119.625248,0.0
-50.0,50,120.263981,0.0
-50.0,50,120.830937,0.0
-50.0,50,121.396623,0.0
-50.0,50,121.971316,0.0
-50.0,50,122.546615,0.0
-50.0,50,123.122813,0.0
-50.0,50,123.733219,0.0
-50.0,50,124.332458,0.0
-50.0,50,124.922402,0.0
-50.0,50,125.519826,0.0
-50.0,50,126.10214,0.0
-50.0,50,126.720646,0.0
-50.0,50,127.353439,0.0
-50.0,50,127.940838,0.0
-50.0,50,128.530635,0.0
-50.0,50,129.111104,0.0
-50.0,50,129.667316,0.0
-50.0,50,130.222166,0.0
-50.0,50,130.777924,0.0
-50.0,50,131.372599,0.0
-50.0,50,132.000032,0.0
-50.0,50,132.612124,0.0
-50.0,50,133.221708,0.0
-50.0,50,133.860865,0.0
-50.0,50,134.493022,0.0
-50.0,50,135.117423,0.0
-50.0,50,135.711098,0.0
-50.0,50,136.290372,0.0
-50.0,50,136.876828,0.0
-50.0,50,137.434952,0.0
-50.0,50,138.000488,0.0
-50.0,50,138.591176,0.0
-50.0,50,139.182429,0.0
-50.0,50,139.780228,0.0
-50.0,50,140.400563,0.0
-50.0,50,140.976969,0.0
-50.0,50,141.552704,0.0
-50.0,50,142.142907,0.0
-50.0,50,142.746926,0.0
-50.0,50,143.332945,0.0
-50.0,50,143.906616,0.0
-50.0,50,144.474335,0.0
-50.0,50,145.044275,0.0
-50.0,50,145.617035,0.0
-50.0,50,146.197595,0.0
-50.0,50,146.775173,0.0
-50.0,50,147.366387,0.0
-50.0,50,147.968682,0.0
-50.0,50,148.548514,0.0
-50.0,50,149.128649,0.0
-50.0,50,149.702466,0.0
-50.0,50,150.297283,0.0
-50.0,50,150.890646,0.0
-50.0,50,151.466924,0.0
-50.0,50,152.100207,0.0
-50.0,50,152.734016,0.0
-50.0,50,153.33928,0.0
-50.0,50,153.953477,0.0
-50.0,50,154.556164,0.0
-50.0,50,155.146472,0.0
-50.0,50,155.73172,0.0
-50.0,50,156.318495,0.0
-50.0,50,156.908259,0.0
-50.0,50,157.524921,0.0
-50.0,50,158.146084,0.0
-50.0,50,158.768764,0.0
-50.0,50,159.429506,0.0
-50.0,50,160.096277,0.0
-50.0,50,160.758161,0.0
-50.0,50,161.40545,0.0
-50.0,50,162.020879,0.0
-50.0,50,162.625312,0.0
-50.0,50,163.248441,0.0
-50.0,50,163.870404,0.0
-50.0,50,164.486677,0.0
