#{"t_start": 1635497679.984099, "env_id": "HalfCheetah-v3"}
r,l,t
-289.556359,1000,14.880456
-300.131795,1000,15.17776
-347.846638,1000,15.473787
-166.433004,1000,15.772403
-253.902374,1000,16.07267
-226.46796,1000,16.371952
-342.791282,1000,16.666779
-291.979544,1000,16.962971
-344.851276,1000,17.258926
-278.687189,1000,17.555301
-365.710528,1000,33.742223
-268.727029,1000,42.395229
-212.980192,1000,50.990398
-181.11767,1000,59.642633
-147.55185,1000,68.443532
-136.21708,1000,77.122428
-166.694433,1000,85.679281
-176.446157,1000,94.254949
-242.73357,1000,102.827588
-140.762665,1000,111.479763
-177.030522,1000,124.57876
-55.174398,1000,133.438043
-106.26601,1000,142.237408
-69.215843,1000,150.980835
426.236343,1000,159.67932
473.733195,1000,168.255961
362.042879,1000,176.834446
254.192335,1000,185.5885
173.162459,1000,194.29293
330.809342,1000,203.026726
318.08081,1000,216.038783
605.034754,1000,224.684044
1282.353389,1000,233.307084
372.746619,1000,241.954273
1088.091311,1000,250.582801
1071.426208,1000,259.247123
1262.339177,1000,267.976246
1295.775991,1000,276.642281
1559.626673,1000,285.311996
1994.119179,1000,293.965105
2154.869002,1000,306.838168
2066.676193,1000,315.363855
1805.886672,1000,323.935047
2209.799773,1000,332.640431
2238.401993,1000,341.263536
2190.317551,1000,349.854215
2020.252347,1000,358.464069
2693.243366,1000,367.075989
2565.335939,1000,375.577701
2979.680976,1000,384.098486
2527.971714,1000,397.089568
2714.355064,1000,405.63594
2722.235617,1000,414.197904
3044.714684,1000,422.789284
2884.407164,1000,431.360297
3186.965709,1000,439.931342
3272.301732,1000,448.440921
3420.202009,1000,457.037916
3271.824619,1000,465.642063
3279.900584,1000,474.176813
3512.257542,1000,487.061893
3426.242308,1000,495.589878
3585.411385,1000,504.19972
3848.261937,1000,512.758697
4001.109953,1000,521.248054
3792.48945,1000,529.93045
3763.79359,1000,538.473908
3289.048985,1000,547.064502
813.353165,1000,555.701039
3931.382121,1000,564.337451
1659.889221,1000,577.188427
3918.877728,1000,585.741266
3914.426121,1000,594.430731
3884.090107,1000,603.00517
2913.911337,1000,611.549624
3754.445283,1000,620.130675
4497.45622,1000,628.687608
3503.210399,1000,637.342146
2457.446034,1000,645.971809
3364.506994,1000,654.692678
3637.39491,1000,667.629421
4352.636696,1000,676.261485
1800.867743,1000,684.849733
4841.988895,1000,693.345011
4819.570136,1000,701.947537
4929.624696,1000,710.483361
4677.319835,1000,719.088843
4859.235667,1000,727.616639
4728.60821,1000,736.177783
4908.274187,1000,744.681154
2478.909033,1000,757.513909
5023.379835,1000,766.154781
4761.030501,1000,774.79329
4953.68598,1000,783.467341
5008.115424,1000,792.052341
4346.772889,1000,800.552031
4518.401327,1000,809.250759
4766.286626,1000,817.773121
4842.294106,1000,826.290555
4556.987298,1000,834.836639
5034.769001,1000,847.533228
4823.51287,1000,856.187188
4943.093387,1000,864.773018
5022.346398,1000,873.245627
4765.249409,1000,881.762581
5062.686923,1000,890.288898
4835.590023,1000,898.835012
4847.354194,1000,907.4398
5197.288251,1000,916.154576
4983.324359,1000,924.709853
5063.376143,1000,937.563477
5112.965611,1000,946.135041
5026.570545,1000,954.639309
4963.003946,1000,963.263414
5148.253923,1000,971.84433
5115.644869,1000,980.562091
5337.838027,1000,989.188684
5100.84656,1000,997.805868
5159.126669,1000,1006.415628
5353.9593,1000,1014.972769
5278.363784,1000,1027.684985
5432.103399,1000,1036.233575
4987.873135,1000,1044.957271
5546.394428,1000,1053.528254
5440.23072,1000,1062.182194
5422.408933,1000,1070.789439
5375.218779,1000,1079.297577
5407.833468,1000,1087.792595
5559.707254,1000,1096.426254
5383.004444,1000,1105.051029
3296.60052,1000,1117.848154
5457.311736,1000,1126.398551
5630.500925,1000,1134.872664
5382.798311,1000,1143.340236
5676.308109,1000,1151.903155
5924.486441,1000,1160.477872
5639.835158,1000,1169.071952
5553.142509,1000,1177.705382
5874.136206,1000,1186.268105
5601.285623,1000,1194.778327
5767.206883,1000,1207.39289
5753.437735,1000,1215.914197
5714.493009,1000,1224.528481
5903.052644,1000,1233.140112
5876.35741,1000,1241.888072
5669.81143,1000,1250.501387
5796.257551,1000,1259.108165
5854.254835,1000,1267.641062
5940.551468,1000,1276.219259
5966.153297,1000,1284.819722
5968.4434,1000,1297.588788
5823.141063,1000,1306.277054
6021.252302,1000,1314.764963
5938.348102,1000,1323.376362
5922.030438,1000,1331.85671
6183.215437,1000,1340.444084
5885.786703,1000,1349.053067
6191.129334,1000,1357.652135
5948.620597,1000,1366.25246
6117.606767,1000,1374.994958
6087.621007,1000,1387.83456
6364.292163,1000,1396.371162
6386.382601,1000,1404.984703
6332.959233,1000,1413.492203
6022.842964,1000,1422.101467
6046.270146,1000,1430.693873
6154.614143,1000,1439.386284
