#{"t_start": 1614621387.172647, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1321.381549,1000,3.80508
-1297.691442,1000,5.079878
-1288.077295,1000,6.35399
-1328.273923,1000,7.653508
-1276.742231,1000,8.951059
-1283.810357,1000,10.260032
-1365.922923,1000,11.546703
-1229.899736,1000,12.858461
-1271.974386,1000,14.150918
-1406.094916,1000,15.432678
-1413.721042,1000,53.017581
-1252.813845,1000,71.726959
-951.567199,1000,90.387883
-1156.32073,1000,108.107911
-925.403131,1000,126.847237
-953.49338,1000,144.384668
-147.278553,1000,162.947814
-351.719845,1000,181.153204
-22.430873,1000,197.695339
-296.060901,1000,215.226736
-429.78292,1000,252.401258
112.459696,1000,269.820676
-32.344528,1000,288.558909
-135.245463,1000,306.239282
-203.094352,1000,324.887085
294.762906,1000,343.490521
-311.22893,1000,361.123197
-34.524716,1000,379.753451
50.246764,1000,397.580301
434.337586,1000,414.417462
397.317844,1000,450.942358
219.739973,1000,467.735478
435.004147,1000,485.402181
427.822338,1000,502.639735
448.16108,1000,518.374629
365.741197,1000,535.098718
593.238495,1000,552.442924
511.582529,1000,569.340059
677.92478,1000,588.999099
673.099416,1000,607.48022
763.040167,1000,647.811157
466.779891,1000,667.417957
517.178441,1000,685.911884
611.012747,1000,705.597918
660.006301,1000,725.206573
767.988533,1000,743.820508
345.010603,1000,763.470885
582.811881,1000,781.954746
449.812397,1000,801.514415
472.593687,1000,821.088055
552.089808,1000,860.179845
568.248321,1000,879.785905
546.152555,1000,899.407402
700.260762,1000,918.061833
569.008357,1000,937.597114
723.647902,1000,956.011808
584.379363,1000,975.637643
730.557564,1000,995.188137
349.369756,1000,1013.828328
675.065536,1000,1033.484374
813.894335,1000,1073.44263
826.006822,1000,1091.84745
720.292749,1000,1111.46736
633.881442,1000,1130.014072
635.064013,1000,1149.649328
817.926372,1000,1169.245643
685.854361,1000,1187.794801
690.569235,1000,1207.51596
792.02627,1000,1227.289701
659.08298,1000,1245.928221
863.136727,1000,1286.153334
790.303773,1000,1304.685902
850.34641,1000,1324.324234
733.409539,1000,1343.962736
894.76069,1000,1362.575848
864.200261,1000,1382.209142
904.750174,1000,1401.87201
940.586921,1000,1420.325934
803.525581,1000,1439.893879
647.31189,1000,1458.504541
783.66917,1000,1498.131437
925.024803,1000,1517.780148
1025.946736,1000,1536.325777
1108.680683,1000,1555.889321
1223.698343,1000,1575.468744
1162.695486,1000,1593.934388
1161.886228,1000,1613.528355
1247.159533,1000,1632.080559
990.316886,1000,1651.737262
1225.490383,1000,1671.355841
1197.838969,1000,1710.008325
1084.228037,1000,1729.65249
1150.397419,1000,1749.24591
1284.337262,1000,1767.754769
1362.944713,1000,1787.330757
909.988742,1000,1805.875675
1582.865993,1000,1825.40971
1625.955977,1000,1845.023244
1495.270839,1000,1863.54987
1375.44626,1000,1883.075657
-638.382765,1000,1922.83141
1698.906852,1000,1941.41747
1732.495063,1000,1960.957583
1660.632903,1000,1979.45312
1799.257131,1000,1999.066374
1602.882439,1000,2018.718967
1343.836962,1000,2037.187227
1351.262899,1000,2056.878721
1637.149081,1000,2076.454288
1754.505792,1000,2094.890955
1716.187496,1000,2134.539069
1967.718036,1000,2153.032047
1687.889707,1000,2172.631711
1797.592862,1000,2192.278082
1935.223417,1000,2210.784751
1907.610865,1000,2230.400006
1909.526948,1000,2249.949967
1873.404955,1000,2268.340997
2009.02986,1000,2287.864628
1924.714236,1000,2306.275951
2046.103431,1000,2345.828651
1943.226047,1000,2365.408246
2004.426222,1000,2384.043622
1585.630226,1000,2403.613988
1875.441234,1000,2423.097987
2096.315554,1000,2441.574547
2132.897316,1000,2461.111092
2183.220412,1000,2479.55545
2252.059874,1000,2499.202593
2081.290251,1000,2518.811879
2256.646925,1000,2557.137461
2223.467643,1000,2576.647952
2292.301887,1000,2596.157462
2131.791836,1000,2614.658185
2281.648347,1000,2634.159461
2332.418839,1000,2652.493552
2298.931109,1000,2672.037304
2289.150828,1000,2691.556834
2051.653086,1000,2710.098028
2310.52821,1000,2729.772988
2396.467212,1000,2769.080886
2370.821641,1000,2787.544483
2301.713034,1000,2807.223527
2328.279212,1000,2825.688297
2395.872685,1000,2845.203201
2384.082876,1000,2864.744934
2372.530676,1000,2883.153637
2342.062569,1000,2902.64656
2329.391964,1000,2922.245452
2405.862463,1000,2940.775469
2346.377619,1000,2980.087743
2372.356796,1000,2998.612457
2432.725452,1000,3018.260275
2349.582455,1000,3037.858822
2424.592252,1000,3056.3786
2371.402234,1000,3075.870597
2447.074974,1000,3095.436315
2411.189105,1000,3113.905339
2445.242793,1000,3133.508918
2299.835554,1000,3151.968708
2399.936286,1000,3191.330148
2455.853525,1000,3210.934372
2095.169568,1000,3229.396626
2483.480031,1000,3249.017953
2419.913222,1000,3268.610783
2528.154575,1000,3287.023041
2450.168509,1000,3306.675364
2452.792786,1000,3325.18616
2478.102613,1000,3344.843697
2447.717101,1000,3364.520054
2455.656579,1000,3402.883291
2497.189097,1000,3422.469387
2512.809439,1000,3442.050365
2481.499664,1000,3460.533304
2424.313965,1000,3480.081794
2418.172193,1000,3498.634818
2563.512296,1000,3518.149434
2546.18206,1000,3537.728515
2513.43576,1000,3556.13174
2563.142103,1000,3575.598499
2527.252267,1000,3614.845878
2409.225016,1000,3633.353631
2527.632582,1000,3652.96347
2491.361442,1000,3671.330811
2555.75639,1000,3690.566449
2515.048973,1000,3709.790631
2446.583534,1000,3727.772992
2535.369642,1000,3746.894344
2576.357485,1000,3766.061823
2625.783923,1000,3784.168353
2576.077126,1000,3822.92468
2535.29675,1000,3841.155498
2552.032581,1000,3860.385413
2589.761237,1000,3879.648812
2619.948835,1000,3897.746029
2567.220569,1000,3916.882774
2536.077357,1000,3936.05317
2547.158701,1000,3954.210365
2465.518732,1000,3973.470081
2503.228002,1000,3991.629411
2619.478096,1000,4030.300408
2595.644592,1000,4049.457249
2568.863677,1000,4067.557473
2484.02245,1000,4086.781221
2602.417692,1000,4105.95156
2613.215176,1000,4124.058645
2649.719191,1000,4143.284843
2595.65804,1000,4161.418385
2649.615933,1000,4180.479044
2649.250927,1000,4199.595278
2644.407969,1000,4237.112028
2346.092259,1000,4256.303174
2662.777036,1000,4275.417968
2732.656574,1000,4293.58351
2586.316534,1000,4312.761561
2542.738319,1000,4330.907557
2700.837482,1000,4350.004053
2693.882804,1000,4369.285611
2745.536868,1000,4387.392997
2720.301644,1000,4406.624987
2706.169685,1000,4445.415647
2594.391108,1000,4463.562986
2797.993294,1000,4482.832859
2657.481942,1000,4500.933044
2752.1875,1000,4520.09193
2702.381604,1000,4539.281001
2742.219723,1000,4557.355048
2592.583815,1000,4576.531154
2740.690777,1000,4595.615368
2798.686906,1000,4613.61481
2748.524872,1000,4652.306663
2771.606902,1000,4670.486678
2755.348163,1000,4689.631584
2799.215862,1000,4708.814511
2767.536334,1000,4726.846473
2825.42532,1000,4745.945096
2751.674559,1000,4765.129567
2783.446927,1000,4783.144154
2573.77676,1000,4802.249529
2767.035884,1000,4820.236964
2788.569976,1000,4858.512258
2867.36293,1000,4877.573035
2787.613438,1000,4895.52572
2836.246046,1000,4914.559309
2803.440043,1000,4933.631182
2748.71284,1000,4951.605024
2827.3865,1000,4970.481495
2823.27036,1000,4988.414034
2837.418225,1000,5007.445697
2771.136061,1000,5026.472842
2885.935374,1000,5063.797613
2799.295418,1000,5082.791858
2831.588104,1000,5101.808013
2811.796572,1000,5119.724498
2793.16415,1000,5138.77912
2693.108629,1000,5156.883882
2893.966767,1000,5175.987353
2797.634655,1000,5195.002004
2811.189394,1000,5212.974017
2821.215994,1000,5232.015203
2878.694007,1000,5270.779979
2870.848399,1000,5288.779418
2839.179147,1000,5307.734483
2696.704477,1000,5325.657597
2906.582545,1000,5344.78685
