#{"t_start": 1635497696.7941942, "env_id": "Hopper-v3"}
r,l,t
14.586174,19,6.201597
13.09917,27,6.21615
10.281308,16,6.225087
9.24557,14,6.231903
8.693514,12,6.23782
11.095033,28,6.252265
12.498593,16,6.261139
21.091004,27,6.275904
22.217933,22,6.288048
4.590485,11,6.294321
10.616914,16,6.303106
39.457788,45,6.327059
24.245813,22,6.338929
16.273613,18,6.348867
6.983625,9,6.353885
12.668751,19,6.364089
11.554824,14,6.371752
8.607936,16,6.380279
17.957508,19,6.390698
7.457851,20,6.401579
6.341827,9,6.406366
16.010167,22,6.416743
10.145253,19,6.426217
10.248229,14,6.432812
11.24871,21,6.443211
6.42682,10,6.447987
11.354634,14,6.454546
10.156314,18,6.463188
8.878585,20,6.473736
12.35081,17,6.48325
10.655037,14,6.491049
8.282092,21,6.502776
22.218895,21,6.514151
8.139237,10,6.519777
10.883182,17,6.529179
8.532652,18,6.53923
10.022555,15,6.547672
14.198345,15,6.55586
37.374183,29,6.571492
13.876155,28,6.586617
92.556623,97,6.638069
24.820364,22,6.650074
8.388387,23,6.662566
7.580761,11,6.668229
24.757062,44,6.690909
14.817573,40,6.713037
9.235073,20,6.723343
16.432927,16,6.732103
11.049758,16,6.741042
11.950983,15,6.749249
11.608607,15,6.75758
12.256134,15,6.765676
28.439148,45,6.790322
14.005666,15,6.798603
17.541713,20,6.808385
18.391806,20,6.81873
11.339025,19,6.828957
10.654717,14,6.836103
15.099261,18,6.844742
9.544897,12,6.850463
15.021959,17,6.859622
17.95425,26,6.873422
37.185385,31,6.889814
15.947568,23,6.901426
9.274325,13,6.908175
14.679906,17,6.91629
21.266777,32,6.932394
10.749747,14,6.939289
7.685326,10,6.944285
37.753943,35,6.961974
13.156502,17,6.970656
22.098246,24,6.983152
28.388014,40,7.002545
10.776439,14,7.009601
53.938824,49,7.034525
19.897368,34,7.050323
10.973158,29,7.063678
8.312684,24,7.0754
39.680816,35,7.091752
9.32345,11,7.096557
6.733229,12,7.102238
21.136206,24,7.114782
16.888051,19,7.125189
6.317731,9,7.130046
23.183387,26,7.144049
24.507366,22,7.155903
4.745057,25,7.171875
10.421447,12,7.178607
10.867298,13,7.185724
5.913788,8,7.190122
7.595722,11,7.195723
24.649887,25,7.207453
8.203788,13,7.213922
17.633463,20,7.224005
10.041611,13,7.230662
8.034396,19,7.240246
15.647006,17,7.248842
10.570334,13,7.255706
70.021493,63,7.288095
7.581993,15,7.296217
10.865122,19,7.30685
46.187283,32,7.3241
8.372613,16,7.332971
18.415242,20,7.343791
15.606453,16,7.35257
15.42009,21,7.363904
17.230387,17,7.372138
8.783684,12,7.378216
13.761145,20,7.387977
58.207879,38,7.406158
14.136138,17,7.415722
11.094964,17,7.425045
16.036923,17,7.434286
16.10358,21,7.445106
9.514956,14,7.452079
25.643139,34,7.468198
14.460495,20,7.477612
7.016528,10,7.482819
6.035471,12,7.488636
16.002618,19,7.498519
16.006138,18,7.506889
13.995586,16,7.514061
8.645229,11,7.518936
18.939611,20,7.528057
14.680038,16,7.535131
15.745821,24,7.546283
25.597946,34,7.561964
14.61219,21,7.571932
41.716996,34,7.588812
7.784497,10,7.594432
16.439696,19,7.605072
6.645863,11,7.611199
21.150595,22,7.622368
10.955868,13,7.628167
6.069938,8,7.631818
17.198195,22,7.643496
8.899878,11,7.64839
37.343045,30,7.662108
10.763528,13,7.667766
23.220925,21,7.677491
20.737004,21,7.688042
30.014137,31,7.703385
9.228919,17,7.711982
41.121658,34,7.727961
9.993383,11,7.733179
9.954553,17,7.741484
14.503163,22,7.752121
5.690619,8,7.756434
14.821214,26,7.770591
10.977211,17,7.779875
48.875375,39,7.800744
13.307865,18,7.810816
30.526223,43,7.833042
8.668418,18,7.8427
7.628022,12,7.849074
4.923293,8,7.853544
7.105466,10,7.859067
4.79675,8,7.863345
28.703444,34,7.880223
11.394794,20,7.890553
7.760164,11,7.896622
12.680077,29,7.911663
10.991032,13,7.918463
8.834286,26,7.931606
13.427676,16,7.939122
11.038164,30,7.952997
9.061036,14,7.959805
84.914352,85,8.000703
15.105954,27,8.015234
16.666085,18,8.024815
7.482603,14,8.031854
24.813969,39,8.052234
13.127838,19,8.06282
13.326639,29,8.077667
20.0583,21,8.088776
21.864859,24,8.101544
38.591224,30,8.117771
9.939174,14,8.125503
20.370081,22,8.137251
13.055121,17,8.146656
7.83661,10,8.152396
8.956969,11,8.158135
16.568456,27,8.171334
9.470155,22,8.182647
9.137317,31,8.199104
21.812728,20,8.21017
15.839286,26,8.224806
13.863388,20,8.235889
13.133617,15,8.244065
20.37195,20,8.254946
5.614271,10,8.260751
6.644513,10,8.266316
20.678636,25,8.279966
9.019782,13,8.287012
14.547078,23,8.29943
7.835079,11,8.305414
7.860792,10,8.310987
18.458186,18,8.320006
11.745487,13,8.326859
141.175071,74,8.361924
7.573942,15,8.369766
15.017474,17,8.378112
6.909745,9,8.382764
10.536102,14,8.389765
15.189899,28,8.403436
10.071544,12,8.409317
13.6328,20,8.419186
9.304844,12,8.425256
7.658535,12,8.431641
13.042335,14,8.438722
10.903084,14,8.446092
17.166258,27,8.459169
10.497792,13,8.465921
9.404906,12,8.471655
15.319923,26,8.484134
11.428755,14,8.491124
32.771444,31,8.506003
61.143092,50,8.529642
10.368368,14,8.536437
41.489749,34,8.552327
9.329038,19,8.561468
6.433507,15,8.568624
12.023964,18,8.576941
29.625286,24,8.588651
