#{"t_start": 1614621420.2334077, "env_id": "HopperBulletEnv-v0"}
r,l,t
19.047274,10,3.960454
17.550834,12,3.972276
31.327561,21,3.99219
18.799502,12,4.003661
19.622994,13,4.017051
17.304084,8,4.024748
16.692088,16,4.040104
23.170042,18,4.057122
21.46842,14,4.071001
20.882918,12,4.083392
41.61005,35,4.116677
12.582595,12,4.12843
16.174727,23,4.151061
20.075829,11,4.161805
24.84239,16,4.177469
16.672881,10,4.187551
19.195212,8,4.195877
23.253834,14,4.209925
19.378621,14,4.223385
19.689746,11,4.233929
20.291651,8,4.242422
21.957615,10,4.252318
19.732849,6,4.258415
16.14898,12,4.270345
19.340971,16,4.285956
20.537596,12,4.29758
18.686252,8,4.305751
24.051715,11,4.317103
21.473775,9,4.326634
20.611747,9,4.336402
21.963622,10,4.34639
21.662733,13,4.359045
22.700877,12,4.371281
18.579887,13,4.38365
19.077498,6,4.389764
19.126592,15,4.405557
13.046132,6,4.412037
21.273603,10,4.421575
20.149891,8,4.429582
19.283308,8,4.437474
18.991787,6,4.443924
19.95162,10,4.453474
14.955683,12,4.46531
17.170952,14,4.478699
23.275554,14,4.492414
18.208389,11,4.503315
21.859675,13,4.51647
21.541553,11,4.52892
17.804056,13,4.542187
20.089324,12,4.553888
21.839101,16,4.569324
18.222615,8,4.577262
18.453592,7,4.584866
14.432429,14,4.598502
19.391573,15,4.612913
19.276819,8,4.620802
19.08771,18,4.638645
17.899967,8,4.646825
19.878117,16,4.663055
15.984182,12,4.674571
13.382783,9,4.683818
16.562231,15,4.698071
18.469229,8,4.705981
17.783647,7,4.71351
21.539679,12,4.725516
18.142404,16,4.74239
18.813281,11,4.753146
17.509382,12,4.764482
19.72306,9,4.77366
19.55864,7,4.781147
18.379854,25,4.804468
23.878366,16,4.819487
16.959912,6,4.826019
15.402842,12,4.83763
19.707434,9,4.847119
17.943948,11,4.857694
18.267055,7,4.865362
17.990257,8,4.873395
29.401126,19,4.891593
18.427546,9,4.900362
17.594134,13,4.91417
20.761836,17,4.931012
21.08787,10,4.940906
17.737112,7,4.948124
18.219952,7,4.955729
20.530686,17,4.972397
26.468081,21,4.992514
21.859197,9,5.00145
9.841156,10,5.011309
17.919423,18,5.028551
21.54523,14,5.042637
17.052721,6,5.048946
18.255756,10,5.059369
20.317937,18,5.07662
20.884287,10,5.086483
21.072948,19,5.104699
21.914892,16,5.120345
19.083683,11,5.131097
25.970192,16,5.146265
22.422838,16,5.162037
20.243998,7,5.170179
17.765125,9,5.180099
18.283794,12,5.191736
18.12085,10,5.20135
17.66382,7,5.20873
18.876683,9,5.217425
17.651497,13,5.230304
18.71866,7,5.237242
25.864849,23,5.259239
18.310123,9,5.268288
20.753915,8,5.276384
17.835426,21,5.296987
23.424366,14,5.311252
17.405848,10,5.321616
17.114701,9,5.33082
23.731012,16,5.346696
17.554654,10,5.357651
19.186654,8,5.365674
14.994544,7,5.372706
22.358638,16,5.387829
24.631729,15,5.402916
19.490337,9,5.412176
24.8769,23,5.434545
19.863777,10,5.444456
17.903622,8,5.453018
17.754356,8,5.460887
18.108696,6,5.46701
15.320784,7,5.47394
17.563646,6,5.480988
20.958035,8,5.488911
19.890677,8,5.496934
21.897697,11,5.507815
21.655676,10,5.518187
19.826597,11,5.528976
19.344764,16,5.544607
21.14909,11,5.555372
17.012432,10,5.566518
20.741041,9,5.576121
18.136391,9,5.585727
23.573377,25,5.609693
21.042156,9,5.619157
21.449234,7,5.626165
27.821142,19,5.644791
16.381823,7,5.651989
17.245861,7,5.659452
19.713435,9,5.668386
20.147894,12,5.681415
20.584344,17,5.698349
17.775272,9,5.707861
20.218015,8,5.716165
22.745957,14,5.729403
21.159897,8,5.737795
27.330853,23,5.760021
