#{"t_start": 1635497901.2895594, "env_id": "Humanoid-v3"}
r,l,t
115.783956,23,2.908766
219.830929,44,2.955976
106.744885,21,2.976719
113.149211,23,2.999056
115.76151,24,3.022053
117.873894,25,3.046139
160.879392,31,3.077446
146.882754,28,3.105782
163.282741,31,3.13963
88.845019,18,3.157448
185.021152,35,3.193529
135.003807,26,3.220057
89.052024,18,3.237082
157.722498,32,3.269661
101.009103,20,3.289277
100.612899,20,3.308201
83.675674,17,3.323725
157.543323,31,3.354179
112.504185,22,3.375018
195.6297,39,3.414346
108.53719,22,3.435575
96.228709,19,3.453738
110.704379,22,3.475384
141.398543,28,3.504876
88.804179,18,3.522198
90.014971,18,3.5397
88.8763,18,3.5601
143.533099,28,3.588093
118.374032,23,3.610134
88.74414,18,3.627558
113.05574,22,3.649459
83.93363,17,3.665736
106.81804,21,3.686517
118.959364,23,3.709937
175.715973,36,3.746707
116.841029,23,3.76958
133.154832,27,3.796057
107.101616,21,3.817461
201.521013,40,3.85952
117.378808,23,3.881692
107.452025,22,3.904648
83.389472,17,3.921127
149.016484,29,3.94964
78.588118,16,3.964852
145.098311,28,3.99289
83.782879,17,4.008522
109.814856,23,4.031438
107.349241,21,4.051933
95.158064,19,4.070254
106.637883,21,4.09034
88.356716,18,4.107717
100.533515,20,4.127398
95.880248,19,4.145775
161.42189,32,4.178724
88.366815,18,4.195835
101.802483,20,4.215519
181.630434,36,4.25158
134.224882,27,4.278283
94.464637,19,4.296438
121.930936,24,4.31999
101.784923,20,4.339888
100.835929,20,4.35961
116.028797,23,4.381778
98.858195,20,4.40061
95.778159,19,4.418406
110.132957,22,4.439384
95.551963,19,4.457983
132.285947,26,4.48412
83.474268,17,4.501379
95.03995,19,4.520771
157.416868,30,4.553782
101.217567,20,4.574291
101.606736,20,4.594153
144.034827,28,4.62192
88.555544,18,4.638889
116.05307,23,4.662625
88.976433,18,4.679408
116.625101,25,4.705904
210.326532,43,4.751816
88.432794,18,4.769069
100.784244,20,4.789575
137.023831,27,4.817562
175.232523,36,4.857169
121.77336,24,4.88178
183.604118,35,4.918152
122.644127,24,4.94238
146.66733,31,4.975852
88.948732,18,4.993057
116.726796,24,5.01686
100.17617,20,5.037074
99.738914,20,5.056123
177.980384,35,5.09222
146.114028,30,5.123427
101.662293,20,5.14307
95.864571,19,5.161359
83.551313,17,5.177444
158.08071,31,5.208438
83.637973,17,5.224808
131.07756,26,5.249897
159.479876,31,5.281096
94.348075,19,5.299678
99.963552,20,5.319331
122.380717,24,5.34251
136.357479,27,5.369252
88.799807,18,5.386186
105.298495,21,5.406358
115.115956,23,5.428946
111.943274,22,5.452381
105.923757,21,5.47418
95.793754,19,5.492961
180.021767,37,5.534973
133.76563,26,5.561554
136.066735,27,5.58844
112.564099,22,5.611242
109.217534,22,5.634675
83.477494,17,5.651639
135.819475,26,5.679337
196.459145,38,5.72091
111.803873,22,5.744619
145.599039,29,5.776821
113.401835,24,5.804417
122.566634,24,5.829436
99.708286,20,5.8508
95.202307,19,5.870087
105.326983,21,5.892613
101.028135,20,5.913589
154.786873,30,5.946205
212.548576,41,5.988854
133.210901,27,6.016936
139.538091,27,6.044136
113.683394,23,6.067553
112.513528,22,6.089909
114.24083,22,6.110779
88.666804,18,6.127409
88.763488,18,6.144232
111.357613,22,6.166315
98.231951,20,6.185286
88.89128,18,6.20199
100.336067,20,6.220888
83.419886,17,6.23682
140.470329,30,6.269367
118.888222,24,6.293241
89.234091,18,6.310508
121.623932,24,6.335023
89.319521,18,6.352599
175.825964,34,6.387305
88.891874,18,6.405324
114.150676,22,6.427129
137.261031,27,6.453762
113.590673,22,6.475617
113.750998,22,6.497532
102.70135,20,6.517047
141.28365,27,6.545034
90.158855,18,6.562077
88.677823,18,6.579299
248.593497,46,6.628177
100.461858,20,6.647848
216.910775,41,6.689683
149.475523,28,6.719629
88.651851,18,6.73674
94.924981,19,6.755584
136.019332,26,6.78139
106.143582,21,6.801985
88.661894,18,6.819241
89.566781,18,6.836494
117.331192,23,6.859602
107.070438,21,6.880614
214.941715,43,6.928561
114.324821,23,6.955924
103.20669,20,6.976604
170.145445,33,7.010169
95.185808,19,7.028459
100.702337,20,7.047641
88.855392,18,7.064383
145.163926,29,7.095065
205.576999,41,7.137864
153.274318,29,7.166582
130.114198,27,7.197044
113.041069,22,7.223047
89.619343,18,7.240571
116.764481,23,7.262742
88.454442,18,7.279799
83.857881,17,7.296194
209.761885,40,7.336596
203.153924,41,7.380232
131.499457,26,7.408752
150.153147,31,7.440551
94.729556,19,7.459029
158.191365,31,7.490563
89.104213,18,7.508113
83.542374,17,7.524796
136.411671,27,7.555425
160.423241,35,7.592914
114.704302,23,7.615879
89.233347,18,7.63416
119.933714,24,7.658628
100.212455,20,7.678122
105.289054,21,7.699822
129.411105,25,7.725897
101.234008,20,7.746213
99.583567,20,7.767431
88.39495,18,7.785605
113.636415,22,7.807921
132.838103,26,7.835477
113.791577,22,7.858225
96.667715,19,7.877526
111.466161,22,7.900725
105.551802,21,7.922627
106.776593,21,7.943529
95.892541,19,7.962547
159.461514,31,7.995002
88.131228,18,8.012265
135.543113,26,8.039041
104.101275,21,8.059283
88.317746,18,8.076744
107.019818,22,8.09789
90.114095,18,8.115047
110.332636,22,8.136198
140.425737,28,8.163652
88.960469,18,8.18093
141.151817,27,8.208401
117.908032,23,8.231348
178.955846,35,8.266155
140.93556,28,8.295473
88.049249,18,8.312613
83.173389,17,8.328526
83.233817,17,8.344178
95.031829,19,8.364973
130.05346,25,8.389561
83.308306,17,8.405417
175.737193,35,8.44213
102.502031,20,8.462374
88.668432,18,8.479384
94.944855,19,8.4985
95.849666,19,8.516638
123.225539,24,8.540734
83.521604,17,8.557215
182.498523,39,8.599121
215.842308,43,8.647764
98.077383,20,8.667985
83.372226,17,8.684637
136.905869,26,8.71161
94.526464,19,8.730916
148.592177,29,8.761784
165.170955,32,8.794604
111.144221,23,8.818142
83.356629,17,8.834656
100.393251,20,8.855181
111.900462,22,8.8778
156.816328,30,8.909186
