#{"t_start": 1614859725.263714, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-160.860462,127,2.161272
-306.824151,98,2.187987
-438.695334,90,2.213677
-157.669265,74,2.233227
-254.324334,107,2.263149
-90.752722,175,2.321846
-246.954338,97,2.350296
-341.727246,97,2.378742
-335.302049,90,2.404174
-49.347792,67,2.422378
-430.569798,175,2.481901
-413.189881,96,2.508513
-40.987408,110,2.541393
-51.11702,78,2.563111
-27.301393,88,2.587234
-291.194892,93,2.614737
-308.543931,107,2.645648
-418.964076,106,2.676612
-187.565327,79,2.69855
-343.357583,169,2.757613
-260.473997,121,2.793082
-513.044495,134,2.832739
-314.133301,89,2.857574
-103.022459,73,2.877137
-24.175744,106,2.909339
-320.632769,87,2.935058
-437.863712,91,2.960231
-153.874038,79,2.983098
-278.354107,85,3.007549
-114.901773,112,3.042159
-333.396174,95,3.068683
-192.165905,86,3.09367
-462.930565,111,3.126604
-187.456514,90,3.151267
-118.759291,98,3.178025
-109.040338,105,3.209633
-225.83992,147,3.255195
-239.526405,76,3.275876
-200.476028,84,3.299926
-176.898547,191,3.368673
-407.822694,85,3.392501
-337.973463,86,3.415966
-183.153632,122,3.452306
-307.378256,80,3.476231
-400.30217,83,3.500202
-341.959126,103,3.530097
-343.937054,72,3.550986
-222.616015,142,3.597381
-146.919965,67,3.616201
-75.23142,79,3.639044
-201.511819,105,3.670148
-68.84143,75,3.691266
-81.342632,101,3.721141
-286.600656,109,3.75305
-52.236011,87,3.777476
-116.208423,90,3.80239
-69.511435,92,3.82868
-335.269627,100,3.858437
-119.434148,115,3.893477
-273.521265,104,3.925952
-107.953237,125,3.962301
-80.359396,86,3.985955
-57.443072,72,4.005275
-251.432273,112,4.038363
-52.905502,112,4.071997
-174.357365,113,4.104802
-66.238316,86,4.129729
-135.99712,113,4.16358
-107.565538,152,4.21139
-229.741159,85,4.235477
-46.428671,93,4.264035
-274.824449,138,4.307303
-123.11921,103,4.337927
-82.308478,114,4.370593
-102.876293,86,4.39468
-83.366703,83,4.417692
-395.533211,139,4.462252
-6.507251,67,4.480771
-530.103486,130,4.519921
-302.831452,130,4.560504
-66.246487,97,4.589388
-45.229135,189,4.656104
-221.704216,84,4.678985
-131.923103,107,4.709298
-74.522313,81,4.731746
-214.932803,89,4.75801
-313.73583,126,4.795763
-207.135684,88,4.821953
-128.297135,74,4.842852
-553.710687,131,4.882973
-207.089668,116,4.919986
-445.731075,103,4.950148
-232.401196,112,4.984429
-355.91305,84,5.008562
-131.862378,161,5.061282
-201.448406,103,5.091029
-323.497941,241,8.841995
-13.875052,150,10.498048
-38.630474,195,12.602723
-73.925223,1000,24.768454
-86.485213,1000,36.493203
-47.75607,1000,47.762267
8.006163,1000,59.339366
-61.22768,1000,71.671915
-192.281158,577,78.197165
-66.38045,1000,89.57051
-57.281681,1000,101.108191
-20.471465,1000,113.561811
9.357051,1000,145.425617
-20.185439,1000,157.726622
-13.659591,1000,170.279657
-14.290955,1000,183.162538
-62.426175,1000,194.592151
-40.026279,1000,206.259312
-73.044485,1000,217.53433
-23.084189,1000,230.130801
-11.547409,1000,241.216311
-29.649013,1000,252.406486
-6.448732,1000,288.414539
-31.299404,1000,300.345134
-51.945215,1000,312.150926
-22.638983,1000,323.514966
-32.003006,1000,335.583318
-2.706824,1000,347.393148
-14.052887,1000,359.622317
10.825561,1000,371.766553
-7.327445,1000,383.512169
-26.099174,1000,395.157297
-5.056374,1000,426.833546
8.079724,1000,439.353728
-6.204763,1000,452.052021
8.739108,1000,464.71109
-31.711034,1000,477.415432
-153.638599,634,484.455835
10.937005,1000,497.077827
-1.159243,1000,508.904545
-9.814038,1000,520.90106
-8.954502,1000,533.559661
-5.230913,1000,545.651416
26.787722,1000,578.981427
-10.729557,1000,590.87186
11.161668,1000,603.389383
-3.256773,1000,615.542455
-22.55643,1000,627.946624
-0.105614,228,630.470107
-7.300904,1000,642.797133
-10.365707,1000,655.050282
265.7674,206,657.317853
11.162397,1000,668.904282
62.933241,1000,681.576739
5.149734,1000,717.812766
30.913719,1000,729.844722
30.181249,1000,741.888803
9.473261,1000,754.801597
1.130591,1000,767.555515
-18.111601,1000,780.000899
90.138755,1000,792.108541
56.945481,1000,803.824351
6.406933,1000,816.527652
52.69518,1000,828.355885
-19.069026,1000,866.802213
-20.810884,1000,878.653179
53.193983,1000,891.561021
-9.792565,1000,903.977731
11.250352,1000,915.757546
2.457317,1000,928.055978
35.921286,1000,939.979626
-19.646356,1000,952.411818
5.780225,1000,964.35778
38.139955,1000,976.635382
114.986615,1000,1011.158812
-19.943831,1000,1023.208195
45.358676,1000,1034.679327
22.141159,1000,1046.623728
291.1696,199,1048.802519
44.438665,1000,1060.316851
-27.590679,1000,1072.772115
4.237397,1000,1084.717448
-26.261095,1000,1097.205585
-48.497217,1000,1109.730578
-32.349771,1000,1122.871405
127.365044,1000,1155.001152
-0.018816,1000,1167.799949
