#{"t_start": 1614621348.6919875, "env_id": "MountainCarContinuous-v0"}
r,l,t
-0.999766,999,52.226738
-5.094298,999,104.619963
-17.666634,999,157.688551
93.61916,334,176.264666
92.118564,449,200.020049
92.710938,293,215.317919
89.479964,350,233.953737
-24.590777,999,286.679386
93.118536,234,298.622559
83.383338,636,332.670491
88.479153,482,358.193635
88.869828,482,383.607589
80.473325,596,415.848053
92.888166,182,426.051044
88.974299,286,439.698594
93.061579,126,446.619218
81.211813,571,477.423054
88.411985,584,509.734364
91.338902,236,521.56765
93.53061,218,537.580255
91.302596,280,551.248117
89.958172,235,564.931987
89.672854,221,576.914474
89.000541,359,595.629521
94.564861,183,605.856358
83.11985,576,637.139176
71.285756,840,681.637353
81.748468,459,705.482667
94.626922,126,712.275388
93.413286,397,734.518548
81.75512,445,756.449782
95.398737,173,765.654609
80.636121,460,787.458601
93.7855,390,805.997075
93.95241,116,812.17569
87.229971,248,824.521595
84.580825,386,843.051108
92.524113,181,852.261144
94.19125,167,859.997624
91.523376,198,869.3592
94.490898,123,875.494129
95.05751,127,881.62002
90.616495,191,890.918437
95.033705,111,895.604395
89.815014,241,907.978962
90.998151,122,914.166364
87.462915,229,925.01798
94.159369,113,929.732589
92.856403,132,936.036825
92.749479,181,945.32138
92.551512,130,951.491951
95.212804,104,956.108896
88.138052,196,965.393517
92.246471,169,974.667979
93.821351,89,979.27063
93.313367,114,983.885285
95.121473,73,987.004966
94.111834,90,991.605152
95.47834,103,996.238117
94.586852,137,1003.957979
95.784566,80,1007.064219
92.336271,117,1013.251705
94.383636,87,1017.857692
94.286718,70,1020.979207
94.054877,91,1025.643973
93.960137,69,1028.75467
95.087525,71,1031.847935
95.420908,76,1034.963477
93.192373,137,1043.056602
94.449605,104,1047.716309
94.622018,77,1050.830711
94.292052,75,1055.484822
94.648225,78,1058.599946
94.793305,75,1061.705536
94.37798,83,1066.31756
94.119267,91,1070.942586
92.924869,90,1075.562459
94.214696,85,1078.680027
95.004207,81,1083.331152
94.576945,71,1086.485795
95.215543,78,1089.632974
90.936193,150,1097.461527
90.855883,149,1105.195285
94.396419,75,1108.300483
93.591791,80,1112.911982
93.126344,95,1117.507688
94.511249,80,1120.620448
92.891867,94,1125.221702
78.558151,312,1140.72281
94.515202,78,1143.829774
93.819726,94,1148.474829
93.221659,76,1153.084876
94.18818,72,1156.182644
94.087698,72,1159.305934
94.140488,75,1162.378822
93.360284,72,1166.961328
93.424624,82,1170.081781
93.323661,93,1174.72884
93.238285,78,1179.344836
94.087451,76,1182.443769
93.43791,91,1187.075869
93.755807,75,1190.1652
93.463383,82,1194.774845
93.592668,82,1197.866033
94.144157,75,1202.490415
93.622306,79,1205.617791
93.58624,75,1208.742808
93.475053,77,1213.387613
93.57021,76,1216.503629
93.720059,75,1221.095217
93.397572,90,1224.211023
93.094999,84,1228.852157
93.323715,80,1231.963637
93.512712,79,1236.628965
93.820563,76,1239.750932
94.752384,76,1244.39415
94.01979,79,1247.551395
93.169641,81,1252.283285
93.501009,75,1255.417809
93.049612,78,1258.515806
94.241203,75,1263.141099
93.97415,76,1266.256099
94.138698,73,1269.335681
93.349742,77,1273.96296
93.372143,81,1277.02926
93.22403,82,1281.665637
93.724353,74,1284.772871
93.491638,75,1289.415085
93.445524,77,1292.507648
93.757736,74,1295.630702
93.853244,73,1300.245496
93.584064,99,1304.903684
93.791704,76,1308.008975
93.932633,71,1311.128614
94.227281,74,1315.784478
93.867384,71,1318.906609
93.87577,72,1322.009366
94.22825,73,1325.12438
93.969325,72,1329.738808
94.16901,72,1332.839547
94.091529,69,1335.961175
94.149873,72,1339.060478
94.063167,77,1343.729158
94.029862,70,1346.794319
92.325909,95,1351.435704
94.591599,76,1354.519201
94.332243,73,1359.131045
94.460004,72,1362.226211
94.117172,70,1365.309226
94.034681,77,1368.399194
95.046722,74,1373.041745
94.150318,75,1376.124424
93.818836,74,1379.268325
94.528244,80,1383.896756
93.993697,79,1386.988752
94.465003,73,1391.631465
93.807076,71,1394.754401
91.671718,96,1399.45542
91.541036,96,1404.162398
91.893878,102,1408.819262
93.888081,81,1413.429709
91.008884,98,1418.06918
91.311056,99,1422.734339
91.850766,101,1427.373951
91.61836,97,1432.020658
91.165604,99,1436.645859
91.441403,98,1441.259427
90.789487,109,1445.915388
91.111199,100,1452.04945
91.187605,99,1456.694412
91.424853,99,1461.299087
91.941705,101,1465.933033
91.745711,112,1470.598487
90.980088,100,1476.780446
91.974529,100,1481.47
91.229387,100,1486.137529
92.190836,102,1490.75125
91.839924,100,1495.359123
91.377805,100,1500.029201
90.937517,103,1504.625549
91.363787,97,1509.28133
90.905885,98,1515.400745
91.386286,99,1520.068139
91.06717,96,1525.13792
91.075164,96,1529.748781
93.125076,81,1532.895357
91.436497,99,1537.532327
91.504181,97,1542.1707
91.412837,100,1546.845478
91.642147,96,1551.481592
91.760681,95,1556.161272
93.025809,86,1560.790266
91.836852,94,1565.438231
91.719592,94,1570.065486
91.579629,92,1574.678844
92.755308,101,1579.321513
93.118743,79,1582.4417
92.005331,97,1587.108811
93.067508,78,1591.711622
91.785439,94,1596.358345
91.836485,94,1601.00175
92.183221,98,1605.635277
91.733796,95,1610.258374
94.009493,79,1613.358424
93.547103,75,1617.998492
93.648205,76,1621.12085
93.792612,79,1624.23522
93.043348,85,1628.838793
93.508046,78,1633.46039
92.76981,102,1638.128083
93.012748,85,1641.213654
93.016511,81,1645.857674
93.012692,82,1648.957976
93.047213,86,1653.580888
92.926714,80,1658.177474
92.327079,96,1662.788244
92.841273,98,1667.411651
91.799682,95,1672.059869
92.820795,104,1676.732705
92.073356,97,1681.400526
93.263879,79,1684.541953
93.781791,81,1689.158312
91.673341,96,1693.851563
92.086146,97,1698.457763
91.725985,96,1703.062268
91.42374,102,1707.670162
91.782795,98,1712.330569
91.783432,97,1716.952447
92.060864,97,1721.661268
91.499672,99,1726.271992
91.280755,100,1732.474938
91.736148,98,1737.152443
91.923953,109,1741.771784
92.258189,98,1746.399628
91.598333,98,1751.054501
91.472866,100,1755.680159
91.43777,98,1760.323573
91.838311,101,1764.949667
84.730899,182,1774.229577
91.915,102,1778.875962
91.05219,99,1783.469326
90.924336,102,1789.659102
90.931276,114,1794.297649
91.330202,100,1798.926783
91.230578,99,1803.557875
86.647575,173,1812.77611
88.94656,118,1818.926563
70.711311,354,1835.910619
85.535052,175,1843.681465
