#{"t_start": 1624983751.9954011, "env_id": "PandaPickAndPlace-v1"}
r,l,t
-50.0,50,7.179132
-50.0,50,7.278486
-50.0,50,9.293137
-50.0,50,10.552993
-50.0,50,11.809344
-50.0,50,13.069266
-50.0,50,14.340498
-50.0,50,15.597243
-50.0,50,16.861949
-50.0,50,18.116571
-50.0,50,19.385795
-50.0,50,20.641466
-50.0,50,21.893527
-50.0,50,23.158309
-50.0,50,24.418656
-50.0,50,25.676209
0.0,50,26.933453
-50.0,50,28.197683
-50.0,50,29.480656
-50.0,50,30.743793
-50.0,50,32.005974
-50.0,50,33.268317
-50.0,50,34.532225
-50.0,50,35.790195
-50.0,50,37.040305
-50.0,50,38.316384
-50.0,50,39.591262
-50.0,50,40.857751
-50.0,50,42.124408
-50.0,50,43.392337
-50.0,50,44.654049
0.0,50,45.922162
-50.0,50,47.187503
-50.0,50,48.472675
-50.0,50,49.741468
-50.0,50,51.017537
-50.0,50,52.299083
0.0,50,53.567411
-50.0,50,54.85172
-50.0,50,56.141587
-50.0,50,57.401241
-50.0,50,58.663502
-50.0,50,59.960681
-50.0,50,61.270993
-50.0,50,62.578697
-50.0,50,63.85339
-50.0,50,65.12208
-50.0,50,66.434815
-50.0,50,67.716255
-50.0,50,69.010645
-50.0,50,70.282789
-50.0,50,71.546709
-50.0,50,72.807869
-50.0,50,74.081883
-50.0,50,75.357694
-50.0,50,76.655521
-50.0,50,77.949834
-50.0,50,79.249671
-50.0,50,80.55902
-50.0,50,81.826209
-50.0,50,83.086195
-50.0,50,84.354881
-50.0,50,85.644517
-50.0,50,86.923717
-50.0,50,88.193251
-50.0,50,89.472062
-49.0,50,90.753661
-50.0,50,92.024304
-50.0,50,93.298094
-50.0,50,94.568319
-50.0,50,95.832384
-50.0,50,97.107979
-50.0,50,98.437985
-50.0,50,99.704238
-50.0,50,100.961576
-50.0,50,102.23104
-50.0,50,103.514243
-50.0,50,104.799171
-50.0,50,106.070323
-50.0,50,107.383924
-50.0,50,108.654171
-50.0,50,109.946713
-50.0,50,111.24337
-50.0,50,112.541632
-50.0,50,113.853034
-50.0,50,115.140312
-50.0,50,116.418179
-50.0,50,117.679698
-50.0,50,118.960608
-50.0,50,120.243656
-50.0,50,121.526901
-50.0,50,122.819011
-50.0,50,124.092115
