#{"t_start": 1652178236.9545915, "env_id": "PandaPickAndPlace-v2"}
r,l,t,is_success
-50.0,50,1.538613,0.0
-50.0,50,1.621355,0.0
-50.0,50,3.073737,0.0
-50.0,50,4.54371,0.0
-50.0,50,6.025287,0.0
-50.0,50,7.49735,0.0
-50.0,50,8.966851,0.0
-50.0,50,10.43442,0.0
-50.0,50,11.911114,0.0
-50.0,50,13.36374,0.0
-50.0,50,14.833079,0.0
-50.0,50,16.301068,0.0
-50.0,50,17.774682,0.0
-50.0,50,19.247776,0.0
-50.0,50,20.715388,0.0
-50.0,50,22.184119,0.0
-50.0,50,23.662329,0.0
-50.0,50,25.127533,0.0
-50.0,50,26.595252,0.0
-50.0,50,28.068312,0.0
-50.0,50,29.530471,0.0
-50.0,50,30.999161,0.0
-50.0,50,32.479394,0.0
-50.0,50,33.967392,0.0
-50.0,50,35.42524,0.0
-50.0,50,36.895316,0.0
-50.0,50,38.369415,0.0
-50.0,50,39.873305,0.0
-50.0,50,41.344697,0.0
-50.0,50,42.813707,0.0
-50.0,50,44.303291,0.0
-50.0,50,45.775708,0.0
-50.0,50,47.239908,0.0
-50.0,50,48.71169,0.0
-50.0,50,50.188039,0.0
-50.0,50,51.664355,0.0
-50.0,50,53.139603,0.0
-50.0,50,54.605895,0.0
-50.0,50,56.082433,0.0
-50.0,50,57.556247,0.0
-50.0,50,59.029198,0.0
-50.0,50,60.518088,0.0
-50.0,50,61.99132,0.0
-50.0,50,63.473235,0.0
-30.0,50,64.950299,0.0
-50.0,50,66.432295,0.0
-50.0,50,67.938016,0.0
-50.0,50,69.43927,0.0
-50.0,50,70.932089,0.0
-50.0,50,72.432094,0.0
-50.0,50,73.91547,0.0
-50.0,50,75.392297,0.0
-50.0,50,76.880831,0.0
0.0,50,78.356721,1.0
-50.0,50,79.831623,0.0
-50.0,50,81.351229,0.0
-50.0,50,82.831319,0.0
-50.0,50,84.310505,0.0
-50.0,50,85.802586,0.0
-50.0,50,87.287641,0.0
-50.0,50,88.785398,0.0
-50.0,50,90.286191,0.0
-50.0,50,91.75885,0.0
-50.0,50,93.248526,0.0
-50.0,50,94.737311,0.0
-50.0,50,96.213494,0.0
-50.0,50,97.713992,0.0
-50.0,50,99.196373,0.0
-50.0,50,100.692058,0.0
-50.0,50,102.171763,0.0
-50.0,50,103.658777,0.0
-50.0,50,105.130317,0.0
-50.0,50,106.603934,0.0
-50.0,50,108.101387,0.0
-50.0,50,109.588154,0.0
-50.0,50,111.072634,0.0
-50.0,50,112.55812,0.0
-50.0,50,114.048675,0.0
-50.0,50,115.611555,0.0
-48.0,50,117.117208,0.0
-50.0,50,118.606014,0.0
-50.0,50,120.100049,0.0
-50.0,50,121.61034,0.0
-50.0,50,123.110513,0.0
-50.0,50,124.605408,0.0
-50.0,50,126.088315,0.0
-50.0,50,127.578417,0.0
-50.0,50,129.095299,0.0
-50.0,50,130.577375,0.0
-50.0,50,132.089068,0.0
-50.0,50,133.640988,0.0
-50.0,50,135.154008,0.0
-50.0,50,136.652013,0.0
-50.0,50,138.126382,0.0
-50.0,50,139.655251,0.0
-50.0,50,141.136655,0.0
-50.0,50,142.630187,0.0
-50.0,50,144.164993,0.0
-50.0,50,145.658662,0.0
-50.0,50,147.14079,0.0
-50.0,50,148.635533,0.0
-50.0,50,150.218445,0.0
-50.0,50,151.736382,0.0
-50.0,50,153.224312,0.0
-50.0,50,154.739973,0.0
-50.0,50,156.240177,0.0
-50.0,50,157.760829,0.0
-50.0,50,159.250741,0.0
-50.0,50,160.764705,0.0
-50.0,50,162.252591,0.0
-50.0,50,163.769616,0.0
-50.0,50,165.253862,0.0
-50.0,50,166.742329,0.0
-50.0,50,168.252276,0.0
-50.0,50,169.751102,0.0
-50.0,50,171.312408,0.0
-50.0,50,172.820158,0.0
-50.0,50,174.315358,0.0
-50.0,50,175.806959,0.0
-50.0,50,177.311405,0.0
-50.0,50,178.799824,0.0
-50.0,50,180.368371,0.0
-50.0,50,181.838701,0.0
-50.0,50,183.410759,0.0
-8.0,50,184.911846,1.0
-50.0,50,186.40377,0.0
-50.0,50,187.914429,0.0
-50.0,50,189.397972,0.0
-50.0,50,190.930499,0.0
-50.0,50,192.519178,0.0
-50.0,50,194.043099,0.0
-50.0,50,195.538795,0.0
-50.0,50,197.027924,0.0
-50.0,50,198.567587,0.0
-50.0,50,200.084981,0.0
-50.0,50,201.608493,0.0
-50.0,50,203.11728,0.0
-50.0,50,204.627439,0.0
-50.0,50,206.118104,0.0
-50.0,50,207.632526,0.0
-50.0,50,209.210787,0.0
-50.0,50,210.723441,0.0
-50.0,50,212.230874,0.0
-50.0,50,213.783412,0.0
