#{"t_start": 1624983736.6475923, "env_id": "PandaPush-v1"}
r,l,t
-50.0,50,15.663299
-50.0,50,15.752776
-50.0,50,18.632047
-47.0,50,19.857754
-50.0,50,21.078878
-50.0,50,22.306654
-50.0,50,23.523215
-50.0,50,24.748788
-50.0,50,25.970674
-50.0,50,27.195711
-50.0,50,28.420503
-50.0,50,29.647968
-50.0,50,30.870028
-50.0,50,32.090082
-50.0,50,33.309346
0.0,50,34.531675
-50.0,50,35.763226
-50.0,50,36.984823
-50.0,50,38.218186
-50.0,50,39.437207
-50.0,50,40.66439
-50.0,50,41.892803
-50.0,50,43.114245
-50.0,50,44.345339
-50.0,50,45.571553
-50.0,50,46.792692
-50.0,50,48.015849
-50.0,50,49.24408
-50.0,50,50.47173
-50.0,50,51.705243
0.0,50,52.931997
0.0,50,54.156666
-50.0,50,55.377027
-50.0,50,56.607904
-50.0,50,57.830065
-50.0,50,59.072455
-50.0,50,60.306882
-50.0,50,61.547722
-50.0,50,62.790119
-50.0,50,64.032853
-50.0,50,65.276705
-50.0,50,66.504871
-50.0,50,67.740418
0.0,50,68.972611
-50.0,50,70.205448
-50.0,50,71.432402
-50.0,50,72.674747
-50.0,50,73.924728
-50.0,50,75.173161
-50.0,50,76.421481
0.0,50,77.651009
-50.0,50,78.882133
-50.0,50,80.12371
-50.0,50,81.35786
-50.0,50,82.613777
-50.0,50,83.863449
0.0,50,85.095221
-50.0,50,86.325718
-50.0,50,87.580732
-50.0,50,88.823267
-50.0,50,90.066695
-50.0,50,91.305611
-50.0,50,92.577772
-50.0,50,93.827257
-50.0,50,95.07839
-50.0,50,96.31221
-50.0,50,97.555613
-50.0,50,98.811425
-50.0,50,100.060164
-50.0,50,101.301068
-50.0,50,102.538705
-50.0,50,103.772982
-50.0,50,105.006968
-50.0,50,106.241235
-50.0,50,107.478128
-50.0,50,108.723631
-50.0,50,109.967419
-50.0,50,111.239088
-50.0,50,112.482695
-50.0,50,113.750391
-50.0,50,114.996638
0.0,50,116.25312
-50.0,50,117.478296
-50.0,50,118.724374
-50.0,50,119.966596
0.0,50,121.210832
-50.0,50,122.454458
-50.0,50,123.701029
0.0,50,124.939972
-50.0,50,126.22143
0.0,50,127.477154
-50.0,50,128.741059
-50.0,50,129.981353
-50.0,50,131.227553
-50.0,50,132.487612
-50.0,50,133.732371
-50.0,50,134.96478
-50.0,50,136.21055
-50.0,50,137.460138
-50.0,50,138.704283
-50.0,50,139.940903
-50.0,50,141.191971
-50.0,50,142.431515
0.0,50,143.677577
-50.0,50,144.973543
-50.0,50,146.243367
-50.0,50,147.483831
-50.0,50,148.739993
-50.0,50,149.995804
-50.0,50,151.262875
-50.0,50,152.518763
-50.0,50,153.779242
-50.0,50,155.041456
-50.0,50,156.324487
-50.0,50,157.601875
-50.0,50,158.851953
-50.0,50,160.088122
-50.0,50,161.335741
-50.0,50,162.585532
-50.0,50,163.826691
-50.0,50,165.060318
-50.0,50,166.317961
-50.0,50,167.60475
-50.0,50,168.84453
-50.0,50,170.136041
-50.0,50,171.390196
-50.0,50,172.639899
-50.0,50,173.897854
-50.0,50,175.140682
-50.0,50,176.381588
-50.0,50,177.628665
-50.0,50,178.872899
-50.0,50,180.124261
0.0,50,181.375664
-50.0,50,182.634931
-50.0,50,183.920138
-50.0,50,185.174761
-50.0,50,186.426844
-50.0,50,187.677665
-50.0,50,188.935194
-50.0,50,190.181555
-50.0,50,191.428649
0.0,50,192.683082
-50.0,50,193.983594
-50.0,50,195.229409
-50.0,50,196.47996
0.0,50,197.751369
-50.0,50,199.004135
-50.0,50,200.26266
-50.0,50,201.508749
-50.0,50,202.771441
-50.0,50,204.019964
-50.0,50,205.284065
-50.0,50,206.578107
-50.0,50,207.83285
-50.0,50,209.08867
-50.0,50,210.355088
0.0,50,211.613858
-50.0,50,212.863778
-50.0,50,214.111704
-50.0,50,215.366217
-50.0,50,216.629756
-50.0,50,217.890126
-50.0,50,219.146735
-50.0,50,220.412829
-50.0,50,221.710956
-50.0,50,222.964734
-50.0,50,224.226559
-50.0,50,225.474516
-50.0,50,226.730174
-50.0,50,228.006138
-50.0,50,229.263504
-50.0,50,230.5201
-50.0,50,231.805759
-50.0,50,233.065034
-50.0,50,234.318606
-50.0,50,235.572668
-45.0,50,236.834104
-50.0,50,238.083845
-50.0,50,239.355386
-50.0,50,240.657587
