#{"t_start": 1652176963.4924037, "env_id": "PandaPush-v2"}
r,l,t,is_success
-50.0,50,1.708682,0.0
-50.0,50,1.786317,0.0
-50.0,50,3.711369,0.0
-50.0,50,5.64482,0.0
-50.0,50,7.57449,0.0
-50.0,50,9.506238,0.0
-50.0,50,11.43391,0.0
-50.0,50,13.388072,0.0
-50.0,50,15.353931,0.0
-50.0,50,17.299037,0.0
-50.0,50,19.241094,0.0
-50.0,50,21.1794,0.0
-50.0,50,23.119425,0.0
-50.0,50,25.059167,0.0
-50.0,50,27.0013,0.0
-50.0,50,28.941271,0.0
-50.0,50,30.881933,0.0
-50.0,50,32.823073,0.0
-50.0,50,34.749439,0.0
-50.0,50,36.692517,0.0
-50.0,50,38.636934,0.0
-50.0,50,40.581564,0.0
-50.0,50,42.525465,0.0
-50.0,50,44.447726,0.0
-16.0,50,46.39227,0.0
0.0,50,48.324613,1.0
-50.0,50,50.258116,0.0
-50.0,50,52.199521,0.0
-50.0,50,54.167407,0.0
-50.0,50,56.130286,0.0
-50.0,50,58.033171,0.0
-50.0,50,59.969259,0.0
-50.0,50,61.917724,0.0
-50.0,50,63.862664,0.0
-50.0,50,65.799105,0.0
-50.0,50,67.74402,0.0
-50.0,50,69.692052,0.0
-50.0,50,71.622585,0.0
-50.0,50,73.577971,0.0
-50.0,50,75.512249,0.0
-50.0,50,77.447528,0.0
0.0,50,79.391722,1.0
-50.0,50,81.3325,0.0
-50.0,50,83.274642,0.0
-50.0,50,85.214799,0.0
-50.0,50,87.179509,0.0
-50.0,50,89.121011,0.0
-50.0,50,91.047305,0.0
-50.0,50,92.99194,0.0
-50.0,50,94.925067,0.0
-50.0,50,96.847448,0.0
-50.0,50,98.790653,0.0
-50.0,50,100.731316,0.0
-50.0,50,102.672499,0.0
-50.0,50,104.608857,0.0
-50.0,50,106.53732,0.0
0.0,50,108.489177,1.0
-50.0,50,110.462781,0.0
-50.0,50,112.433006,0.0
-50.0,50,114.362756,0.0
-50.0,50,116.304708,0.0
-50.0,50,118.258599,0.0
-50.0,50,120.246265,0.0
-50.0,50,122.194108,0.0
-50.0,50,124.134308,0.0
-50.0,50,126.060822,0.0
-50.0,50,127.982149,0.0
-50.0,50,129.915364,0.0
-50.0,50,131.881726,0.0
-50.0,50,133.848112,0.0
-50.0,50,135.799087,0.0
-50.0,50,137.754528,0.0
-50.0,50,139.712042,0.0
0.0,50,141.65443,1.0
-50.0,50,143.595814,0.0
-50.0,50,145.540709,0.0
-50.0,50,147.484313,0.0
-50.0,50,149.426496,0.0
-50.0,50,151.387566,0.0
-50.0,50,153.322408,0.0
-50.0,50,155.248225,0.0
-50.0,50,157.191476,0.0
-50.0,50,159.134195,0.0
-50.0,50,161.074737,0.0
0.0,50,163.016206,1.0
-50.0,50,164.963577,0.0
-50.0,50,166.910268,0.0
-50.0,50,168.855081,0.0
-50.0,50,170.811785,0.0
-50.0,50,172.759073,0.0
0.0,50,174.721099,1.0
-50.0,50,176.66287,0.0
-50.0,50,178.606923,0.0
-50.0,50,180.542658,0.0
-50.0,50,182.528502,0.0
-50.0,50,184.459223,0.0
-50.0,50,186.400075,0.0
-50.0,50,188.33893,0.0
-50.0,50,190.296265,0.0
-50.0,50,192.256514,0.0
-50.0,50,194.200562,0.0
-50.0,50,196.143512,0.0
-50.0,50,198.085814,0.0
-50.0,50,200.017795,0.0
-50.0,50,201.962028,0.0
-50.0,50,203.898101,0.0
-50.0,50,205.846763,0.0
-50.0,50,207.785467,0.0
-50.0,50,209.747512,0.0
-50.0,50,211.723062,0.0
-50.0,50,213.659041,0.0
-50.0,50,215.600482,0.0
-50.0,50,217.525731,0.0
-50.0,50,219.484535,0.0
-50.0,50,221.44883,0.0
-50.0,50,223.417801,0.0
-50.0,50,225.378587,0.0
-50.0,50,227.320498,0.0
0.0,50,229.262475,1.0
-41.0,50,231.232172,0.0
-50.0,50,233.153322,0.0
-50.0,50,235.090642,0.0
-50.0,50,237.04246,0.0
-50.0,50,238.987968,0.0
-50.0,50,240.930402,0.0
0.0,50,242.889382,1.0
-50.0,50,244.853204,0.0
-50.0,50,246.82701,0.0
-50.0,50,248.837198,0.0
-50.0,50,250.785815,0.0
-50.0,50,252.730293,0.0
-50.0,50,254.686783,0.0
-50.0,50,256.676983,0.0
-50.0,50,258.657803,0.0
-50.0,50,260.600797,0.0
-50.0,50,262.552417,0.0
-50.0,50,264.497703,0.0
-50.0,50,266.461283,0.0
