#{"t_start": 1652173927.119313, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,0.331063,0.0
-50.0,50,0.454262,0.0
-50.0,50,0.567159,0.0
-49.0,50,0.685036,0.0
-50.0,50,0.80651,0.0
-50.0,50,0.916218,0.0
-50.0,50,1.017037,0.0
-50.0,50,1.13029,0.0
-50.0,50,1.247594,0.0
-50.0,50,1.354858,0.0
-46.0,50,1.456961,0.0
-50.0,50,1.574479,0.0
-50.0,50,1.698206,0.0
-50.0,50,1.797355,0.0
-50.0,50,1.906227,0.0
-41.0,50,2.00421,0.0
-50.0,50,2.116418,0.0
-50.0,50,2.222924,0.0
-50.0,50,2.333423,0.0
-50.0,50,2.439668,0.0
-45.0,50,3.098118,0.0
-50.0,50,3.68614,0.0
-50.0,50,4.257399,0.0
-48.0,50,4.864964,0.0
-50.0,50,5.451997,0.0
-50.0,50,6.01852,0.0
-50.0,50,6.600189,0.0
-50.0,50,7.176682,0.0
-45.0,50,7.738304,0.0
-49.0,50,8.295774,0.0
-50.0,50,8.861068,0.0
-48.0,50,9.41575,0.0
-50.0,50,9.989672,0.0
-50.0,50,10.549736,0.0
-50.0,50,11.118977,0.0
-49.0,50,11.680984,0.0
-50.0,50,12.239688,0.0
-50.0,50,12.796649,0.0
-50.0,50,13.366019,0.0
-50.0,50,13.919442,0.0
-33.0,50,14.482054,0.0
-50.0,50,15.053785,0.0
-50.0,50,15.623571,0.0
-50.0,50,16.202225,0.0
-35.0,50,16.792933,0.0
-50.0,50,17.392353,0.0
-47.0,50,18.020948,0.0
-50.0,50,18.613368,0.0
-47.0,50,19.204906,0.0
-50.0,50,19.844902,0.0
-50.0,50,20.4145,0.0
-50.0,50,20.976423,0.0
-50.0,50,21.535022,0.0
-50.0,50,22.111783,0.0
-50.0,50,22.67887,0.0
-50.0,50,23.251982,0.0
-50.0,50,23.830153,0.0
-50.0,50,24.397345,0.0
-50.0,50,24.976864,0.0
-50.0,50,25.532927,0.0
-50.0,50,26.09804,0.0
-48.0,50,26.668977,0.0
-50.0,50,27.238232,0.0
-50.0,50,27.805783,0.0
-50.0,50,28.375589,0.0
-50.0,50,28.94018,0.0
-50.0,50,29.535293,0.0
-34.0,50,30.251438,0.0
-50.0,50,30.839757,0.0
-50.0,50,31.42361,0.0
-50.0,50,31.997457,0.0
-50.0,50,32.591206,0.0
-50.0,50,33.158487,0.0
-49.0,50,33.72733,0.0
-50.0,50,34.293985,0.0
-50.0,50,34.864778,0.0
-50.0,50,35.419677,0.0
-50.0,50,36.005432,0.0
-40.0,50,36.589312,1.0
-49.0,50,37.177832,0.0
-44.0,50,37.760845,0.0
-50.0,50,38.311497,0.0
-50.0,50,38.868437,0.0
-48.0,50,39.440672,0.0
-6.0,50,40.054911,1.0
-5.0,50,40.656505,1.0
-50.0,50,41.23205,0.0
-45.0,50,41.804248,0.0
-9.0,50,42.375807,1.0
-46.0,50,43.036272,0.0
-37.0,50,43.673089,0.0
