#{"t_start": 1625039702.5761435, "env_id": "PandaSlide-v1"}
r,l,t
-50.0,50,2.762693
-50.0,50,2.843143
-50.0,50,3.965201
-50.0,50,4.902281
-50.0,50,5.838966
-50.0,50,6.769636
-50.0,50,7.707643
-50.0,50,8.641804
-50.0,50,9.574408
-50.0,50,10.512477
-50.0,50,11.444651
-50.0,50,12.37857
-50.0,50,13.309188
-50.0,50,14.237675
-50.0,50,15.176587
-50.0,50,16.104402
-50.0,50,17.042524
-50.0,50,17.979519
-50.0,50,18.909158
-50.0,50,19.849716
-50.0,50,20.787806
-50.0,50,21.717707
-50.0,50,22.655757
-50.0,50,23.587981
-50.0,50,24.521533
-50.0,50,25.463427
-50.0,50,26.407535
-50.0,50,27.338916
-50.0,50,28.277293
-50.0,50,29.206226
-50.0,50,30.145929
-50.0,50,31.079237
-50.0,50,32.004864
-50.0,50,32.935498
-50.0,50,33.874129
-50.0,50,34.816607
-50.0,50,35.761909
-50.0,50,36.70065
-50.0,50,37.639983
-50.0,50,38.582281
-50.0,50,39.517238
-50.0,50,40.456347
-50.0,50,41.393528
-50.0,50,42.327998
-50.0,50,43.279248
-50.0,50,44.214927
-50.0,50,45.154576
-50.0,50,46.091615
-50.0,50,47.029121
-50.0,50,47.967795
-50.0,50,48.906074
-50.0,50,49.845202
-50.0,50,50.786549
-50.0,50,51.712987
-50.0,50,52.656038
-50.0,50,53.598235
-48.0,50,54.536275
-50.0,50,55.48937
-50.0,50,56.432601
-50.0,50,57.373057
-50.0,50,58.314828
-50.0,50,59.255584
-50.0,50,60.19772
-50.0,50,61.140867
-50.0,50,62.079037
-50.0,50,63.025288
-50.0,50,63.987432
-50.0,50,64.937667
-50.0,50,65.883599
-50.0,50,66.823107
-50.0,50,67.78028
-50.0,50,68.720731
-50.0,50,69.67672
-50.0,50,70.625878
-50.0,50,71.582052
-50.0,50,72.527473
-50.0,50,73.475994
-50.0,50,74.419492
-50.0,50,75.359821
-50.0,50,76.306191
-50.0,50,77.248843
-50.0,50,78.185713
-50.0,50,79.145166
-50.0,50,80.099268
-50.0,50,81.041869
-50.0,50,81.978258
-50.0,50,82.914098
-50.0,50,83.855941
-50.0,50,84.80502
-50.0,50,85.750733
-50.0,50,86.686473
-50.0,50,87.619767
-50.0,50,88.552091
-50.0,50,89.486615
-50.0,50,90.439504
-50.0,50,91.372935
-50.0,50,92.336215
-50.0,50,93.284168
-50.0,50,94.239467
-50.0,50,95.194731
-50.0,50,96.141808
-50.0,50,97.110651
-50.0,50,98.049077
-50.0,50,99.008706
-50.0,50,99.952069
-50.0,50,100.905113
-50.0,50,101.86522
-50.0,50,102.808722
-50.0,50,103.774091
-50.0,50,104.719039
-50.0,50,105.650351
-50.0,50,106.615185
-50.0,50,107.567607
-50.0,50,108.512184
-50.0,50,109.472672
-50.0,50,110.415387
-50.0,50,111.386117
-50.0,50,112.337761
-50.0,50,113.287254
-50.0,50,114.244128
-50.0,50,115.211258
-50.0,50,116.168784
-50.0,50,117.128635
-50.0,50,118.099429
-50.0,50,119.07674
-50.0,50,120.008206
-50.0,50,120.954607
-50.0,50,121.904742
-50.0,50,122.876528
-50.0,50,123.815182
-50.0,50,124.753331
-50.0,50,125.71648
-50.0,50,126.653328
-50.0,50,127.607763
-50.0,50,128.569211
-50.0,50,129.524123
-50.0,50,130.479281
-50.0,50,131.461414
-50.0,50,132.414568
-50.0,50,133.381411
-50.0,50,134.319756
-50.0,50,135.257172
-50.0,50,136.195365
-50.0,50,137.145955
-50.0,50,138.108257
-50.0,50,139.065272
-50.0,50,140.002019
-50.0,50,140.963445
-50.0,50,141.919929
-50.0,50,142.86411
-50.0,50,143.817237
-50.0,50,144.754774
-50.0,50,145.710026
-50.0,50,146.666743
-50.0,50,147.627542
-50.0,50,148.571228
-50.0,50,149.534512
-50.0,50,150.47343
-50.0,50,151.420716
-50.0,50,152.359159
-50.0,50,153.30896
-50.0,50,154.275714
-50.0,50,155.21731
-50.0,50,156.164914
-50.0,50,157.149031
-43.0,50,158.101753
-50.0,50,159.049292
-49.0,50,159.991507
-50.0,50,160.937712
-50.0,50,161.886742
-50.0,50,162.824646
-50.0,50,163.769915
-50.0,50,164.729834
-50.0,50,165.692664
