#{"t_start": 1652199170.5267377, "env_id": "PandaSlide-v2"}
r,l,t,is_success
-50.0,50,1.763858,0.0
-50.0,50,1.843159,0.0
-50.0,50,3.886254,0.0
-50.0,50,5.947366,0.0
-50.0,50,7.949143,0.0
-50.0,50,10.017483,0.0
-50.0,50,12.105519,0.0
-50.0,50,14.158376,0.0
-50.0,50,16.165903,0.0
-50.0,50,18.219443,0.0
-50.0,50,20.303491,0.0
-50.0,50,22.319842,0.0
-50.0,50,24.394837,0.0
-50.0,50,26.431061,0.0
-50.0,50,28.446023,0.0
-50.0,50,30.480657,0.0
-50.0,50,32.539001,0.0
-50.0,50,34.578862,0.0
-50.0,50,36.610343,0.0
-50.0,50,38.66721,0.0
-50.0,50,40.733654,0.0
-50.0,50,42.831361,0.0
-50.0,50,44.92425,0.0
-50.0,50,46.921928,0.0
-50.0,50,48.970632,0.0
-50.0,50,51.0382,0.0
-50.0,50,53.113173,0.0
-50.0,50,55.15762,0.0
-50.0,50,57.19061,0.0
-50.0,50,59.256983,0.0
-50.0,50,61.331488,0.0
-50.0,50,63.368597,0.0
-50.0,50,65.464503,0.0
-50.0,50,67.545934,0.0
-50.0,50,69.58802,0.0
-50.0,50,71.703304,0.0
-50.0,50,73.749887,0.0
-50.0,50,75.816431,0.0
-50.0,50,77.86812,0.0
-50.0,50,79.895401,0.0
-50.0,50,81.957778,0.0
-50.0,50,84.059892,0.0
-50.0,50,86.123404,0.0
-50.0,50,88.175878,0.0
-50.0,50,90.235273,0.0
-50.0,50,92.271074,0.0
-50.0,50,94.361336,0.0
-50.0,50,96.421724,0.0
-50.0,50,98.482963,0.0
-50.0,50,100.556811,0.0
-50.0,50,102.594232,0.0
-50.0,50,104.602544,0.0
-50.0,50,106.643599,0.0
-50.0,50,108.741347,0.0
-50.0,50,110.811665,0.0
-50.0,50,112.934141,0.0
-50.0,50,114.972032,0.0
-50.0,50,117.026026,0.0
-50.0,50,119.066848,0.0
-47.0,50,121.088456,0.0
-50.0,50,123.135741,0.0
-50.0,50,125.212106,0.0
-50.0,50,127.305431,0.0
-50.0,50,129.373795,0.0
-50.0,50,131.479194,0.0
-50.0,50,133.572581,0.0
-50.0,50,135.662903,0.0
-50.0,50,137.725554,0.0
-50.0,50,139.839428,0.0
-50.0,50,141.901575,0.0
-50.0,50,143.972537,0.0
-50.0,50,146.055433,0.0
-50.0,50,148.219934,0.0
-50.0,50,150.295641,0.0
-50.0,50,152.379245,0.0
-50.0,50,154.46142,0.0
-50.0,50,156.60218,0.0
-50.0,50,158.605875,0.0
-50.0,50,160.687864,0.0
-50.0,50,162.742527,0.0
-50.0,50,164.893571,0.0
-50.0,50,167.014984,0.0
-50.0,50,169.119276,0.0
-50.0,50,171.216784,0.0
-50.0,50,173.379869,0.0
-50.0,50,175.409425,0.0
-50.0,50,177.49678,0.0
-50.0,50,179.55808,0.0
-50.0,50,181.587992,0.0
-50.0,50,183.649414,0.0
-50.0,50,185.770166,0.0
-50.0,50,187.905657,0.0
-50.0,50,189.966152,0.0
-50.0,50,192.045965,0.0
-50.0,50,194.125441,0.0
-50.0,50,196.208017,0.0
-50.0,50,198.311356,0.0
-50.0,50,200.413071,0.0
