#{"t_start": 1624983787.5997083, "env_id": "PandaStack-v1"}
r,l,t
-100.0,100,3.624664
-100.0,100,6.826659
-100.0,100,9.775215
-100.0,100,12.745155
-100.0,100,15.706656
-100.0,100,18.734587
-100.0,100,21.70186
-100.0,100,24.66353
-100.0,100,27.585241
-100.0,100,30.55062
-100.0,100,33.521288
-100.0,100,36.471927
-100.0,100,39.459631
-100.0,100,42.462219
-100.0,100,45.472633
-100.0,100,48.673628
-100.0,100,51.920436
-100.0,100,55.183381
-100.0,100,58.437079
-100.0,100,61.701643
-100.0,100,64.989883
-100.0,100,68.317255
-100.0,100,71.596205
-100.0,100,74.880858
-100.0,100,78.112833
-100.0,100,81.378558
-100.0,100,84.673437
-100.0,100,87.961607
-100.0,100,91.248027
-100.0,100,94.516559
-100.0,100,97.817881
-100.0,100,101.080281
-100.0,100,104.322158
-100.0,100,107.659043
-100.0,100,110.950773
-100.0,100,114.24104
-100.0,100,117.502534
-100.0,100,120.788216
-100.0,100,124.094641
-100.0,100,127.355164
-100.0,100,130.648606
-100.0,100,133.985915
-100.0,100,137.337516
-100.0,100,140.578758
-100.0,100,143.90432
-100.0,100,147.160994
-100.0,100,150.444981
-100.0,100,153.725378
-100.0,100,156.987908
-100.0,100,160.322066
-100.0,100,163.589155
-100.0,100,166.890921
-18.0,100,170.229516
-100.0,100,173.466141
-100.0,100,176.720906
-100.0,100,179.974317
-100.0,100,183.222796
-100.0,100,186.600219
-100.0,100,189.855639
-100.0,100,193.110023
-100.0,100,196.386471
-100.0,100,199.646557
-100.0,100,202.898731
-100.0,100,206.161399
-100.0,100,209.427452
-100.0,100,212.687179
-100.0,100,215.991559
-100.0,100,219.262846
0.0,100,222.522272
-100.0,100,225.833658
-100.0,100,229.098202
-100.0,100,232.403479
-100.0,100,235.721483
-100.0,100,238.997271
-100.0,100,242.282022
-100.0,100,245.624982
-100.0,100,248.910872
-100.0,100,252.194283
-100.0,100,255.519917
-100.0,100,258.869336
-100.0,100,262.138543
-100.0,100,265.424886
-100.0,100,268.699515
-100.0,100,271.959684
-100.0,100,275.30083
-100.0,100,278.63433
-100.0,100,281.901848
0.0,100,285.154646
-100.0,100,288.439157
-100.0,100,291.717384
-100.0,100,294.967732
-100.0,100,298.259815
-100.0,100,301.583028
-100.0,100,304.886129
-100.0,100,308.14833
-100.0,100,311.433041
-99.0,100,314.669562
-100.0,100,317.921181
-100.0,100,321.161896
-100.0,100,324.398824
-100.0,100,327.632147
-100.0,100,330.902186
-100.0,100,334.163392
-100.0,100,337.410263
-100.0,100,340.685174
-100.0,100,344.029166
-100.0,100,347.329643
-100.0,100,350.70541
-100.0,100,353.993538
-100.0,100,357.26343
-100.0,100,360.507356
-100.0,100,363.857827
-100.0,100,367.207615
-100.0,100,370.521602
-100.0,100,373.78054
-100.0,100,377.110614
-100.0,100,380.38244
-100.0,100,383.645251
-100.0,100,387.241992
-100.0,100,390.498446
-100.0,100,393.771729
-100.0,100,397.208078
-100.0,100,400.472544
-100.0,100,403.848889
-100.0,100,407.271364
-100.0,100,410.68588
-100.0,100,414.035239
-100.0,100,417.347354
-100.0,100,420.639896
-100.0,100,423.934767
-100.0,100,427.218468
-100.0,100,430.507832
-100.0,100,433.827121
-1.0,100,437.09575
-100.0,100,440.425272
-100.0,100,443.648951
-100.0,100,446.908977
-100.0,100,450.241611
0.0,100,453.505429
-100.0,100,456.77979
-100.0,100,460.121338
-100.0,100,463.407558
-100.0,100,466.668862
0.0,100,469.974149
-100.0,100,473.29774
-100.0,100,476.592923
-100.0,100,479.962639
-100.0,100,483.254218
-100.0,100,486.599283
-100.0,100,489.86626
-91.0,100,493.173241
-100.0,100,496.553528
-100.0,100,499.821007
-100.0,100,503.223061
-100.0,100,506.532287
-100.0,100,509.841324
-100.0,100,513.132256
-100.0,100,516.397908
-100.0,100,519.733633
-100.0,100,523.151098
-100.0,100,526.45726
-100.0,100,529.804414
-100.0,100,533.163979
-100.0,100,536.523126
-100.0,100,539.786452
-100.0,100,543.061985
-100.0,100,546.339609
-100.0,100,549.616386
-100.0,100,552.973205
-100.0,100,556.243438
-100.0,100,559.595927
-100.0,100,563.102025
-100.0,100,566.427703
-100.0,100,569.719234
-100.0,100,573.157415
-100.0,100,576.538388
-100.0,100,579.953047
-100.0,100,583.28598
-100.0,100,586.617385
-100.0,100,589.954481
-100.0,100,593.242832
-100.0,100,596.517645
-100.0,100,599.919259
-100.0,100,603.287761
-100.0,100,606.640517
-100.0,100,609.902178
-100.0,100,613.175841
-100.0,100,616.526682
-100.0,100,619.805379
-100.0,100,623.059004
-100.0,100,626.41841
-100.0,100,629.740322
-100.0,100,633.016836
-100.0,100,636.329588
-100.0,100,639.714927
-100.0,100,643.051408
-100.0,100,646.361547
-100.0,100,649.662116
-100.0,100,652.97514
-82.0,100,656.25965
-100.0,100,659.648193
-100.0,100,662.95382
-100.0,100,666.212687
-100.0,100,669.536623
-100.0,100,672.804653
-100.0,100,676.09125
-100.0,100,679.373804
-100.0,100,682.616875
-100.0,100,685.917845
-100.0,100,689.204651
-100.0,100,692.478988
-100.0,100,695.803859
-100.0,100,699.050107
-100.0,100,702.38255
-100.0,100,705.680693
-100.0,100,709.027813
-100.0,100,712.440795
-100.0,100,715.824383
-98.0,100,719.097397
-100.0,100,722.376035
-100.0,100,725.734781
-100.0,100,729.055854
-100.0,100,732.335132
-100.0,100,735.613039
-100.0,100,738.869799
-100.0,100,742.20275
-100.0,100,745.548719
-100.0,100,748.826532
-100.0,100,752.172162
-100.0,100,755.457686
-100.0,100,758.775883
-100.0,100,762.128347
-100.0,100,765.477691
-100.0,100,768.866678
-100.0,100,772.160044
-100.0,100,775.46133
-100.0,100,778.729414
-100.0,100,782.050137
-100.0,100,785.401169
-100.0,100,788.703107
-100.0,100,792.014603
-100.0,100,795.339684
-100.0,100,798.671613
-100.0,100,802.004255
-100.0,100,805.351429
-100.0,100,808.648109
-100.0,100,812.00619
-100.0,100,815.416817
-100.0,100,818.699864
-100.0,100,821.99263
-100.0,100,825.391637
-100.0,100,828.769088
-100.0,100,832.220835
-100.0,100,835.536282
-100.0,100,838.843553
-100.0,100,842.152668
-100.0,100,845.44452
-90.0,100,848.828787
-100.0,100,852.149462
-99.0,100,855.458857
-100.0,100,858.780627
