#{"t_start": 1652248608.3954132, "env_id": "PandaStack-v2"}
r,l,t,is_success
-100.0,100,1.603489,0.0
-100.0,100,4.479819,0.0
-100.0,100,7.433137,0.0
-100.0,100,10.380296,0.0
-100.0,100,13.314065,0.0
-100.0,100,16.231454,0.0
-100.0,100,19.146918,0.0
-100.0,100,21.978809,0.0
-100.0,100,24.894769,0.0
-100.0,100,27.76071,0.0
-100.0,100,30.605733,0.0
-100.0,100,33.490321,0.0
-100.0,100,36.444426,0.0
-70.0,100,39.486403,0.0
-100.0,100,42.49024,0.0
-100.0,100,45.389856,0.0
-100.0,100,48.30606,0.0
-100.0,100,51.232146,0.0
-100.0,100,54.131269,0.0
-100.0,100,57.027582,0.0
-100.0,100,59.932737,0.0
-100.0,100,62.809525,0.0
-100.0,100,65.771969,0.0
-100.0,100,68.706123,0.0
-100.0,100,71.597675,0.0
-100.0,100,74.455367,0.0
-100.0,100,77.390916,0.0
-100.0,100,80.343716,0.0
-100.0,100,83.288691,0.0
-100.0,100,86.195808,0.0
-100.0,100,89.122356,0.0
-100.0,100,92.061884,0.0
-100.0,100,95.01335,0.0
-100.0,100,97.925849,0.0
-100.0,100,100.747236,0.0
-100.0,100,103.625677,0.0
-100.0,100,106.522145,0.0
-100.0,100,109.464168,0.0
-100.0,100,112.431536,0.0
-100.0,100,115.395007,0.0
-100.0,100,118.31778,0.0
-100.0,100,121.335768,0.0
-100.0,100,124.24207,0.0
-89.0,100,127.189422,0.0
-100.0,100,130.124551,0.0
-100.0,100,133.024552,0.0
-100.0,100,135.956255,0.0
-100.0,100,139.002312,0.0
-100.0,100,142.008054,0.0
-100.0,100,144.89698,0.0
-100.0,100,147.837085,0.0
-100.0,100,150.899589,0.0
-100.0,100,153.905474,0.0
-100.0,100,156.868683,0.0
-99.0,100,159.776646,0.0
-100.0,100,162.670107,0.0
-100.0,100,165.657097,0.0
-100.0,100,168.637581,0.0
-100.0,100,171.606455,0.0
-100.0,100,174.696892,0.0
-100.0,100,177.794228,0.0
-100.0,100,180.810444,0.0
-100.0,100,183.788264,0.0
-100.0,100,186.799031,0.0
-100.0,100,189.822006,0.0
-100.0,100,192.758296,0.0
-100.0,100,195.721573,0.0
-100.0,100,198.678674,0.0
-100.0,100,201.666688,0.0
-100.0,100,204.661998,0.0
-100.0,100,207.627323,0.0
-100.0,100,210.671272,0.0
-100.0,100,213.715969,0.0
-100.0,100,216.836945,0.0
-100.0,100,219.749063,0.0
-100.0,100,222.735368,0.0
-100.0,100,225.743781,0.0
-100.0,100,228.710895,0.0
-100.0,100,231.730556,0.0
-100.0,100,234.715708,0.0
-100.0,100,237.736532,0.0
-100.0,100,240.774254,0.0
-100.0,100,243.772535,0.0
-100.0,100,246.780767,0.0
-100.0,100,249.720792,0.0
-100.0,100,252.709036,0.0
-100.0,100,255.713341,0.0
-100.0,100,258.733312,0.0
-100.0,100,261.761126,0.0
-100.0,100,264.753806,0.0
-100.0,100,267.736443,0.0
-100.0,100,270.745042,0.0
-100.0,100,273.650098,0.0
-100.0,100,276.531922,0.0
-100.0,100,279.511023,0.0
-100.0,100,282.587345,0.0
-100.0,100,285.608616,0.0
-100.0,100,288.685597,0.0
-100.0,100,291.71986,0.0
-100.0,100,294.751173,0.0
-100.0,100,297.744846,0.0
-100.0,100,300.775406,0.0
-100.0,100,303.821637,0.0
-100.0,100,306.837194,0.0
-86.0,100,309.89874,0.0
-100.0,100,312.965192,0.0
-100.0,100,316.133198,0.0
-100.0,100,319.161293,0.0
-100.0,100,322.273931,0.0
-100.0,100,325.314767,0.0
-100.0,100,328.337672,0.0
-100.0,100,331.368596,0.0
-100.0,100,334.353585,0.0
0.0,100,337.446826,1.0
-100.0,100,340.458075,0.0
-100.0,100,343.458632,0.0
-100.0,100,346.488468,0.0
-100.0,100,349.526816,0.0
-100.0,100,352.583895,0.0
-100.0,100,355.726879,0.0
-100.0,100,358.729258,0.0
-100.0,100,361.741545,0.0
-100.0,100,364.835668,0.0
-100.0,100,367.870593,0.0
-100.0,100,370.89902,0.0
-100.0,100,373.948167,0.0
-100.0,100,376.939184,0.0
-100.0,100,379.9448,0.0
-100.0,100,383.00646,0.0
-100.0,100,386.143277,0.0
-100.0,100,389.225968,0.0
-100.0,100,392.32478,0.0
-100.0,100,395.425475,0.0
-100.0,100,398.462425,0.0
-100.0,100,401.603249,0.0
-100.0,100,404.665023,0.0
-100.0,100,407.654295,0.0
-100.0,100,410.717348,0.0
-100.0,100,413.831161,0.0
-100.0,100,416.960479,0.0
-100.0,100,420.002984,0.0
-100.0,100,423.095161,0.0
-100.0,100,426.152621,0.0
-100.0,100,429.225899,0.0
-100.0,100,432.274079,0.0
-100.0,100,435.306942,0.0
-100.0,100,438.369263,0.0
-100.0,100,441.396779,0.0
-100.0,100,444.45529,0.0
-100.0,100,447.54627,0.0
-100.0,100,450.664831,0.0
-100.0,100,453.780488,0.0
-100.0,100,456.846722,0.0
-100.0,100,459.88633,0.0
-100.0,100,462.912589,0.0
-100.0,100,465.976568,0.0
-100.0,100,469.039429,0.0
-100.0,100,472.156397,0.0
-100.0,100,475.21247,0.0
-100.0,100,478.261361,0.0
-100.0,100,481.342326,0.0
-100.0,100,484.449893,0.0
-100.0,100,487.535293,0.0
-100.0,100,490.669043,0.0
-100.0,100,493.724822,0.0
-100.0,100,496.756798,0.0
-100.0,100,499.841621,0.0
-100.0,100,502.920539,0.0
-100.0,100,505.98598,0.0
-98.0,100,509.130778,0.0
-100.0,100,512.179624,0.0
-100.0,100,515.248694,0.0
-100.0,100,518.396304,0.0
-100.0,100,521.472414,0.0
-100.0,100,524.570468,0.0
-100.0,100,527.724402,0.0
-94.0,100,530.792302,0.0
-100.0,100,533.858424,0.0
-100.0,100,536.972167,0.0
-100.0,100,540.054335,0.0
-100.0,100,543.08799,0.0
-100.0,100,546.223829,0.0
-100.0,100,549.292975,0.0
-100.0,100,552.388561,0.0
-100.0,100,555.56547,0.0
-100.0,100,558.643964,0.0
-100.0,100,561.88827,0.0
-100.0,100,564.966691,0.0
-100.0,100,568.053478,0.0
-100.0,100,571.164522,0.0
-100.0,100,574.29681,0.0
-100.0,100,577.398764,0.0
-100.0,100,580.529615,0.0
-100.0,100,583.685023,0.0
-100.0,100,586.849224,0.0
-100.0,100,589.975609,0.0
-100.0,100,593.106042,0.0
-100.0,100,596.211929,0.0
-100.0,100,599.320971,0.0
-100.0,100,602.425455,0.0
-100.0,100,605.563599,0.0
-100.0,100,608.654793,0.0
-100.0,100,611.815406,0.0
-100.0,100,615.079798,0.0
-100.0,100,618.178182,0.0
-100.0,100,621.295073,0.0
-100.0,100,624.396592,0.0
-100.0,100,627.482562,0.0
-100.0,100,630.672538,0.0
-100.0,100,633.76806,0.0
-100.0,100,636.917889,0.0
-14.0,100,640.108222,1.0
-100.0,100,643.192083,0.0
-100.0,100,646.281674,0.0
-100.0,100,649.3993,0.0
-100.0,100,652.491406,0.0
-100.0,100,655.579495,0.0
-100.0,100,658.7076,0.0
-100.0,100,661.823925,0.0
-100.0,100,664.865042,0.0
-100.0,100,667.914164,0.0
-100.0,100,671.02454,0.0
-100.0,100,674.103675,0.0
-100.0,100,677.18695,0.0
-100.0,100,680.273547,0.0
-100.0,100,683.353494,0.0
-100.0,100,686.439327,0.0
-100.0,100,689.517715,0.0
-100.0,100,692.615139,0.0
-100.0,100,695.734977,0.0
-100.0,100,698.817382,0.0
-100.0,100,701.951883,0.0
-100.0,100,705.055192,0.0
-100.0,100,708.236237,0.0
-100.0,100,711.380432,0.0
-100.0,100,714.480989,0.0
-100.0,100,717.592366,0.0
-100.0,100,720.729839,0.0
-100.0,100,723.810093,0.0
-100.0,100,726.913082,0.0
-100.0,100,730.005134,0.0
-100.0,100,733.151195,0.0
-100.0,100,736.283017,0.0
-100.0,100,739.392959,0.0
-100.0,100,742.480168,0.0
-100.0,100,745.556177,0.0
-100.0,100,748.647227,0.0
-96.0,100,751.820715,0.0
-100.0,100,755.040732,0.0
-100.0,100,758.174129,0.0
-100.0,100,761.339305,0.0
-100.0,100,764.444205,0.0
-100.0,100,767.543699,0.0
-100.0,100,770.664393,0.0
-100.0,100,773.775503,0.0
-8.0,100,776.936466,1.0
-100.0,100,780.036749,0.0
-100.0,100,783.153646,0.0
-100.0,100,786.314064,0.0
-100.0,100,789.426228,0.0
-100.0,100,792.486913,0.0
-100.0,100,795.608875,0.0
-100.0,100,798.698868,0.0
-100.0,100,801.846648,0.0
-100.0,100,804.956693,0.0
-100.0,100,808.072335,0.0
-100.0,100,811.277938,0.0
-100.0,100,814.382926,0.0
-100.0,100,817.477756,0.0
-100.0,100,820.615804,0.0
-100.0,100,823.727051,0.0
-100.0,100,826.834679,0.0
-100.0,100,830.067326,0.0
-100.0,100,833.196745,0.0
-100.0,100,836.270935,0.0
-100.0,100,839.383434,0.0
-100.0,100,842.486853,0.0
-100.0,100,845.690299,0.0
-100.0,100,848.885318,0.0
-100.0,100,851.993393,0.0
-100.0,100,855.101604,0.0
-100.0,100,858.237603,0.0
-100.0,100,861.322721,0.0
-100.0,100,864.48472,0.0
-100.0,100,867.67397,0.0
-100.0,100,870.843418,0.0
-100.0,100,874.028602,0.0
-100.0,100,876.946056,0.0
-100.0,100,878.890092,0.0
-100.0,100,882.010282,0.0
-100.0,100,885.13046,0.0
-100.0,100,888.210311,0.0
-100.0,100,891.321269,0.0
-100.0,100,894.46731,0.0
-100.0,100,897.627554,0.0
-100.0,100,900.784835,0.0
-100.0,100,903.9491,0.0
-100.0,100,907.079844,0.0
-100.0,100,910.204238,0.0
-100.0,100,913.317347,0.0
-100.0,100,916.423988,0.0
-100.0,100,919.535737,0.0
-100.0,100,922.655516,0.0
-100.0,100,925.76505,0.0
-100.0,100,928.882422,0.0
-100.0,100,931.994605,0.0
-100.0,100,935.109929,0.0
-100.0,100,938.238871,0.0
-100.0,100,941.387094,0.0
-100.0,100,944.539618,0.0
-100.0,100,947.653661,0.0
-100.0,100,950.764197,0.0
-100.0,100,953.91189,0.0
-100.0,100,957.043062,0.0
-95.0,100,960.144373,0.0
-100.0,100,963.250486,0.0
-100.0,100,966.445746,0.0
-100.0,100,969.546725,0.0
-100.0,100,972.654314,0.0
-100.0,100,975.905291,0.0
-100.0,100,979.013468,0.0
-100.0,100,982.141472,0.0
-100.0,100,985.338984,0.0
-100.0,100,988.447459,0.0
-100.0,100,991.554216,0.0
-100.0,100,994.682703,0.0
