#{"t_start": 1614621348.6917634, "env_id": "Pendulum-v0"}
r,l,t
-1334.313626,200,4.755287
-1673.304752,200,11.918502
-1596.43486,200,19.119012
-1261.703087,200,26.240394
-1027.96626,200,33.413722
-1222.525723,200,40.55695
-1298.868233,200,47.737406
-1200.173492,200,54.920059
-1272.270565,200,64.480411
-1274.359179,200,71.662465
-1037.988114,200,78.833599
-1081.420175,200,86.053367
-561.245737,200,93.274509
-701.776081,200,100.552241
-599.419719,200,107.772913
-253.096978,200,115.016776
-505.040498,200,124.934525
-270.371919,200,132.249759
-427.143662,200,139.440649
-370.468178,200,146.614635
-374.907849,200,153.87313
-3.233592,200,161.161755
-360.79222,200,168.385057
-123.517124,200,175.629901
-125.625625,200,185.246211
-256.110756,200,192.484297
-3.533187,200,199.733782
-131.115703,200,206.945789
-6.694336,200,214.175498
-246.429186,200,221.380193
-124.989457,200,228.620574
-127.810262,200,235.863802
-237.375721,200,245.516942
-249.564031,200,252.798903
-237.02105,200,260.033493
-315.843565,200,267.313425
-124.458566,200,274.552258
-373.11381,200,281.741775
-117.663706,200,289.118953
-9.315667,200,296.327387
-124.582999,200,305.858968
-125.556075,200,313.025006
-124.457884,200,320.260986
-230.72641,200,327.494015
-339.062974,200,334.695526
-125.807136,200,341.90318
-381.122316,200,349.130066
-121.569093,200,356.337583
-120.134359,200,365.929507
-122.253501,200,373.152328
-2.237682,200,381.47099
-122.106417,200,388.695815
-122.858107,200,395.921229
-237.208512,200,403.198459
-244.936706,200,410.48774
-119.756454,200,417.754949
-119.114536,200,427.379729
-117.148152,200,434.654519
-117.307243,200,441.898325
-0.915618,200,449.36585
-121.837329,200,456.659238
-2.004264,200,463.815251
-119.129068,200,471.086895
-353.9947,200,478.348288
-371.693246,200,487.923808
-3.82497,200,495.169099
-118.742804,200,502.409602
-1.620831,200,509.680226
-121.276395,200,516.868369
-117.620467,200,524.14824
-239.403964,200,531.215324
-129.907769,200,538.134675
-120.187681,200,547.695285
-121.478424,200,554.927272
-122.597875,200,562.151022
-128.204328,200,569.398108
-119.378683,200,576.597555
-1.063333,200,583.815173
-250.48559,200,591.052533
-120.286296,200,598.287749
-231.92799,200,607.889048
-348.009538,200,615.655348
-237.119127,200,622.929052
-125.814301,200,630.171911
-121.56678,200,637.419692
-123.304115,200,644.610051
-128.119025,200,651.820087
-120.493376,200,659.014835
-124.760817,200,668.585125
-224.012917,200,675.766308
-122.635936,200,683.019684
-120.872731,200,690.243967
-118.797062,200,697.4438
-363.31811,200,704.664043
-125.453473,200,711.936372
-226.24233,200,719.189084
-118.848998,200,728.754805
-122.58833,200,735.987216
-228.662465,200,743.242367
-1.390222,200,750.437721
