#{"t_start": 1614940598.0258574, "env_id": "ReacherBulletEnv-v0"}
r,l,t
-1.045388,150,2.341536
-13.638148,150,2.381025
-26.288542,150,2.420565
7.791625,150,2.459622
-22.970819,150,2.499229
-17.879272,150,2.538532
-3.844477,150,2.577822
-2.457302,150,2.617021
-7.916189,150,2.656807
-16.642304,150,2.696001
-7.724812,150,2.735159
-6.535845,150,2.774414
-3.876538,150,2.814084
-27.972257,150,2.853424
0.001735,150,2.892981
-17.673145,150,2.932394
-20.119208,150,2.972196
22.380391,150,3.01173
-15.689081,150,3.051124
4.767799,150,3.090521
-17.051511,150,3.13021
-5.413656,150,3.169676
-1.429591,150,3.208888
-7.823079,150,3.248515
3.294911,150,3.288234
-10.736512,150,3.327503
-18.070815,150,3.367038
-1.571713,150,3.406422
-28.943588,150,3.446132
-16.650183,150,3.48565
-22.649651,150,3.524924
-12.863249,150,3.564188
15.283075,150,3.604338
-9.43143,150,3.643708
-15.826218,150,3.683229
-2.028137,150,3.722449
-12.975754,150,3.762218
-17.556587,150,3.80176
-32.562397,150,3.841039
-26.163315,150,3.880237
-23.236236,150,3.920372
-0.353692,150,3.959605
-19.395751,150,3.998809
-30.898908,150,4.038308
8.085638,150,4.078111
-6.771052,150,4.117384
-37.706159,150,4.156706
-19.35069,150,4.196213
-7.187684,150,4.236105
-2.158837,150,4.275645
-23.527137,150,4.315088
-5.009562,150,4.354328
-7.014165,150,4.39414
3.298962,150,4.433595
-35.220011,150,4.472807
-17.502566,150,4.512318
-8.515966,150,4.551977
-7.599957,150,4.591185
-7.295373,150,4.630806
-13.902004,150,4.670026
4.128431,150,4.709609
-5.467807,150,4.749255
-8.504226,150,4.788489
6.499112,150,4.827838
-18.89087,150,4.867843
-3.740736,150,4.907242
-38.57185,150,7.464061
-25.779367,150,9.081506
-6.888702,150,10.67115
-160.542677,150,12.947289
-10.534631,150,14.54337
-24.621194,150,16.152407
-9.135231,150,18.49377
-22.771456,150,20.099879
4.013313,150,21.703755
-97.268885,150,23.986686
14.309187,150,25.568419
-5.939859,150,27.166512
4.557828,150,29.492842
-1.498021,150,31.098054
0.632332,150,32.705293
7.017045,150,34.995336
9.08814,150,36.52419
-22.959551,150,38.098688
9.864763,150,40.424977
-17.663692,150,42.024079
-0.626748,150,43.623532
8.06017,150,45.952092
9.831951,150,47.528021
6.747757,150,49.089465
-9.692884,150,51.40399
-17.068006,150,52.993593
-5.62575,150,54.581578
-11.679963,150,56.903285
-18.969067,150,58.484343
14.383643,150,60.016319
10.62997,150,62.287976
-5.82168,150,63.891005
14.049059,150,66.20225
-6.626862,150,67.807412
-22.9651,150,69.391887
4.244103,150,71.650885
17.073229,150,73.166893
7.092353,150,74.750741
-28.272829,150,77.063675
1.51539,150,78.653732
10.527593,150,80.232466
2.490339,150,82.51664
9.624538,150,84.053531
2.055339,150,85.633166
-30.396561,150,87.922477
6.227177,150,89.501752
-5.105877,150,91.094858
-13.636819,150,93.39263
11.139838,150,94.899571
-17.92981,150,96.399862
12.945469,150,98.69403
2.968423,150,100.279367
10.533412,150,101.860178
-19.418798,150,104.181948
9.373185,150,105.787422
4.367996,150,107.329205
32.004582,150,109.652828
5.683354,150,111.264058
0.300304,150,112.923227
19.212978,150,115.261143
14.894414,150,116.86563
8.057292,150,118.412688
-0.08906,150,120.651684
4.035779,150,122.243441
2.302934,150,124.574561
12.925484,150,126.182982
7.584997,150,127.78809
7.997596,150,131.493905
17.498655,150,133.103868
12.097126,150,134.711874
13.677177,150,137.05002
11.043973,150,138.726998
5.344163,150,140.440737
7.080534,150,142.782246
29.049615,150,144.406943
-1.784455,150,146.014746
12.691595,150,148.392905
-16.608764,150,150.011607
-10.190714,150,151.629548
28.41514,150,153.915471
7.385307,150,155.505279
-1.24497,150,157.181548
14.061395,150,159.691708
-0.623195,150,161.351213
9.268049,150,163.050141
18.657469,150,165.445127
7.533646,150,167.007568
-9.350072,150,168.689616
5.407484,150,171.178323
-19.916762,150,172.975104
-14.291963,150,174.738468
4.902041,150,177.391215
-6.272538,150,179.146115
11.222655,150,180.829664
33.723694,150,183.32634
1.18484,150,185.116389
-0.58228,150,187.822206
2.230819,150,189.665873
-7.665007,150,191.481157
10.403152,150,194.115347
4.022734,150,195.877311
-8.901837,150,197.654743
-17.743957,150,200.3618
24.767464,150,202.206712
-7.321832,150,204.048738
-3.077691,150,206.775822
2.119798,150,208.761356
3.1156,150,210.567832
13.342261,150,213.296302
-5.925203,150,215.120912
6.355913,150,216.954965
5.460425,150,219.684495
6.087914,150,221.661072
5.848885,150,223.616019
25.287194,150,226.351614
3.977707,150,228.100517
-2.650987,150,229.879598
2.030567,150,232.602521
20.726006,150,234.549487
-4.404702,150,236.490813
3.942616,150,239.235854
17.517791,150,241.208149
12.777135,150,243.112363
6.658122,150,246.024619
-20.151816,150,248.074809
1.730936,150,250.012823
-0.116823,150,253.005963
19.796077,150,255.063171
1.794761,150,258.064155
14.095215,150,260.04005
-1.367611,150,262.025247
0.30024,150,264.912619
9.554804,150,266.941989
4.040166,150,268.997869
-3.961801,150,273.930299
16.722648,150,275.963791
13.575709,150,278.001081
27.924671,150,280.874521
-19.62674,150,282.897692
-16.644304,150,284.950873
3.40145,150,287.970584
-2.738683,150,290.070981
15.598822,150,292.081533
9.977265,150,295.030763
11.792188,150,297.065445
8.19762,150,299.0983
7.325646,150,302.167304
16.444251,150,304.20808
-5.124217,150,306.211209
14.06074,150,309.168458
1.179518,150,311.203216
1.167957,150,313.267485
-1.158592,150,316.090319
6.737574,150,318.00519
13.422787,150,319.949331
10.11878,150,322.795682
20.920069,150,324.751944
21.892139,150,326.707769
5.732063,150,329.580693
6.735224,150,331.569625
-3.054111,150,334.431577
30.38778,150,336.38155
1.416729,150,338.348611
-6.839996,150,341.247953
21.546713,150,343.223765
9.042732,150,345.18611
10.649179,150,347.968004
14.771055,150,349.912422
5.290191,150,351.889229
6.792578,150,354.735709
17.204253,150,356.681663
16.987742,150,358.65713
9.643322,150,361.492545
32.655162,150,363.447454
29.439891,150,365.404097
19.20711,150,368.170546
-5.951339,150,370.116651
0.04787,150,372.069834
14.750959,150,374.905482
31.118081,150,376.879299
25.781278,150,378.835743
17.234232,150,381.737365
16.782196,150,383.750549
25.707216,150,385.727652
10.043219,150,388.626444
18.290221,150,390.549757
5.876344,150,392.509814
15.518757,150,395.40743
16.55201,150,397.401608
5.13585,150,399.387332
25.545613,150,402.27045
17.054315,150,404.227511
25.136488,150,407.100275
21.896729,150,409.035137
-0.296058,150,410.9588
27.256694,150,413.867133
19.000481,150,415.863082
11.671673,150,417.857285
5.638054,150,420.733213
28.336053,150,422.714855
24.261517,150,426.614472
30.196672,150,429.451052
13.100842,150,431.457101
7.464156,150,433.461512
3.976419,150,436.367176
