#{"t_start": 1635497700.6994236, "env_id": "Swimmer-v3"}
r,l,t
6.423397,1000,3.402635
16.550444,1000,3.817638
1.17668,1000,4.228372
-9.634415,1000,4.6392
2.316402,1000,5.057776
-0.753214,1000,5.474413
-6.334279,1000,5.891937
-8.388759,1000,6.308778
15.373257,1000,6.72697
-27.765112,1000,7.142592
17.906144,1000,26.545814
30.472812,1000,39.101883
23.013575,1000,51.785537
24.599505,1000,64.322743
18.899917,1000,76.63238
26.969899,1000,89.109002
23.600331,1000,101.648747
13.050302,1000,114.051841
14.20886,1000,126.933749
12.612947,1000,139.545416
27.768967,1000,158.737895
31.265177,1000,171.573191
1.506737,1000,183.734276
22.123535,1000,196.227439
22.220046,1000,208.558294
-3.399629,1000,221.026542
12.028622,1000,233.785244
22.695327,1000,246.641918
4.799397,1000,259.415092
31.768535,1000,272.137299
1.712763,1000,291.647899
30.401496,1000,304.330149
34.277939,1000,317.242352
-4.021327,1000,329.984895
10.620571,1000,343.047781
0.994639,1000,356.056135
5.460485,1000,368.878087
8.098854,1000,381.797663
3.313823,1000,394.586672
42.220789,1000,407.550979
25.020353,1000,426.628632
35.375641,1000,439.476029
39.264526,1000,452.054108
31.928237,1000,464.88884
28.81578,1000,477.364023
22.123446,1000,489.932627
3.558247,1000,502.299385
25.317629,1000,514.920418
31.949329,1000,527.427918
23.09727,1000,540.414826
-13.806679,1000,559.475656
19.095471,1000,572.46895
31.789386,1000,585.126713
15.873687,1000,597.909999
52.041521,1000,610.676692
27.965595,1000,623.434191
-29.407066,1000,635.953129
-23.127583,1000,648.857105
6.870114,1000,661.637049
29.228456,1000,674.353208
21.033008,1000,693.516371
6.182732,1000,706.214419
27.487315,1000,718.524413
32.149696,1000,731.37854
22.526283,1000,743.946711
37.277438,1000,756.754365
74.551199,1000,769.563251
39.328534,1000,782.210878
33.959737,1000,795.051449
43.302442,1000,807.818565
32.245463,1000,827.410696
32.29017,1000,840.265485
21.625421,1000,853.097975
16.664093,1000,866.198713
25.742904,1000,879.097691
25.312414,1000,891.895705
31.256489,1000,904.854899
24.969986,1000,917.74916
36.697955,1000,930.501129
10.099775,1000,943.426191
-16.347198,1000,962.100509
28.516869,1000,974.853185
21.640028,1000,987.473158
6.677942,1000,1000.12607
12.854768,1000,1013.083811
10.895838,1000,1025.810786
11.197016,1000,1038.706024
20.029216,1000,1051.609
20.895857,1000,1064.619507
15.708368,1000,1077.624947
8.118454,1000,1097.395254
12.39144,1000,1110.299448
-4.302832,1000,1123.229689
-10.770325,1000,1136.150069
-7.720194,1000,1148.743209
-21.727356,1000,1161.46337
2.195319,1000,1174.154662
9.033435,1000,1187.107657
19.790185,1000,1200.09012
-4.645353,1000,1213.023086
8.792422,1000,1232.420169
21.581549,1000,1245.464204
21.472808,1000,1258.177332
5.730233,1000,1271.116702
27.656472,1000,1284.184519
2.931703,1000,1296.955347
0.149775,1000,1309.802577
33.343532,1000,1322.552839
34.993924,1000,1335.270941
35.544485,1000,1347.957526
43.675142,1000,1367.245566
40.55559,1000,1380.075376
41.188358,1000,1393.004374
25.273047,1000,1405.850748
31.571319,1000,1418.631464
31.792592,1000,1431.639818
31.85302,1000,1444.388931
35.207939,1000,1457.241012
44.293071,1000,1470.249339
45.530915,1000,1483.041188
50.031475,1000,1502.088912
48.006453,1000,1514.978205
43.883951,1000,1527.656418
29.804736,1000,1540.376341
26.61947,1000,1553.091943
-1.135515,1000,1565.689083
9.757741,1000,1578.538163
16.277615,1000,1591.565381
44.035351,1000,1604.42848
18.181559,1000,1617.408111
39.379941,1000,1636.387221
47.212148,1000,1649.179632
3.775071,1000,1662.114478
8.930571,1000,1674.734462
11.964436,1000,1687.609787
11.048479,1000,1700.487869
16.327356,1000,1712.871745
16.616094,1000,1725.502496
27.13425,1000,1738.148679
140.64129,1000,1750.797725
95.232362,1000,1769.71253
25.867722,1000,1782.399784
51.020081,1000,1794.984423
34.709301,1000,1807.47648
27.370735,1000,1820.114075
5.79709,1000,1832.922904
35.801089,1000,1845.733119
11.505876,1000,1858.310595
12.981201,1000,1870.942101
44.417488,1000,1883.57332
28.73806,1000,1902.35207
43.570117,1000,1915.243083
-8.821467,1000,1927.94858
