#{"t_start": 1614621438.0520134, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
22.008035,21,3.971449
16.556252,12,3.987104
16.434354,14,4.004941
14.585763,11,4.01931
11.127433,7,4.029767
15.796809,11,4.044056
16.732795,16,4.064586
17.60679,16,4.084634
13.403941,9,4.097361
17.334997,16,4.11845
12.550452,8,4.129022
17.336536,15,4.148476
16.666136,14,4.167262
13.254785,9,4.179283
13.917603,9,4.191243
15.316269,14,4.21
19.17441,17,4.232059
25.666651,27,4.266637
13.606572,10,4.281482
18.799713,19,4.30584
20.002117,14,4.324327
20.877846,20,4.35208
18.200786,18,4.377184
15.534849,10,4.39114
17.277146,13,4.408367
13.147876,7,4.417779
13.516318,7,4.426981
15.718942,14,4.445305
15.141154,12,4.461894
14.550193,13,4.478768
15.188222,11,4.493273
15.999815,12,4.509002
18.148169,16,4.530309
16.0062,13,4.548446
23.61554,24,4.580836
18.717714,17,4.6024
17.156949,14,4.620864
14.774397,10,4.634291
20.472484,21,4.661401
13.641035,8,4.672121
21.292938,19,4.696646
15.099368,13,4.714426
14.819865,10,4.727693
17.625611,16,4.748192
17.235916,15,4.768009
14.244734,10,4.781042
16.922143,16,4.801494
15.663498,14,4.819614
12.238484,8,4.830688
13.199768,9,4.842579
17.757982,15,4.862067
18.000746,16,4.883648
13.568096,10,4.897978
14.304476,10,4.911305
16.084042,13,4.928211
16.563321,17,4.950099
16.863421,13,4.968086
14.726646,18,4.990817
19.348037,16,5.011243
13.191634,9,5.02315
16.21875,11,5.038099
12.564546,10,5.05176
16.114607,13,5.068652
14.647856,10,5.081956
18.309875,18,5.107182
22.490392,26,5.143251
15.410261,15,5.163986
13.183226,11,5.178177
15.385794,11,5.192773
16.360199,14,5.210578
13.271217,7,5.220622
19.928071,28,5.256252
16.979658,12,5.272333
17.095165,17,5.293723
16.232819,13,5.311641
13.300187,10,5.3246
13.978932,14,5.342998
16.398359,16,5.363391
20.710077,16,5.384322
14.477188,10,5.398052
14.373602,10,5.411508
17.822074,15,5.431017
13.750432,9,5.442853
15.3419,10,5.455998
16.435291,12,5.473968
18.880398,19,5.49764
15.185863,12,5.512931
20.442698,19,5.537418
17.091117,13,5.555466
12.651615,8,5.566182
14.497684,17,5.587757
17.051467,17,5.609351
18.165872,20,5.635621
17.58532,14,5.65571
17.704262,16,5.677119
15.113295,12,5.692352
25.753786,30,5.731347
13.079298,9,5.74299
17.708025,20,5.768316
17.936195,17,5.790218
28.090208,44,5.850556
18.756127,16,5.873034
18.828136,19,5.898895
13.188227,7,5.908224
16.663984,14,5.926195
22.562884,24,5.956641
18.601118,14,5.974764
14.960329,14,5.993151
11.9281,15,6.012241
14.939744,12,6.027961
12.419728,8,6.038574
15.903433,11,6.052997
17.97241,12,6.069512
10.335057,7,6.078752
23.105495,24,6.110131
14.043906,9,6.121901
17.923669,18,6.145596
23.4484,22,6.173739
13.991548,13,6.192318
15.413299,11,6.206529
16.451216,14,6.225965
16.687427,16,6.24694
16.687505,14,6.265606
15.984732,12,6.281387
23.681085,21,6.308704
16.709708,11,6.323954
14.536908,13,6.340615
17.328079,14,6.3587
15.37241,12,6.374557
18.958996,15,6.393885
19.507656,18,6.417536
14.908488,12,6.434662
18.171431,19,6.460177
16.908179,20,6.486365
22.161717,21,6.514752
16.172162,14,6.532682
24.964227,25,6.565255
14.051596,9,6.577459
17.155227,12,6.593302
20.675174,20,6.620763
16.294669,16,6.641438
16.747571,15,6.660948
14.718967,10,6.673698
13.626835,11,6.688237
12.783668,8,6.699438
18.215944,14,6.719707
23.317828,21,6.746419
15.856933,11,6.761471
13.923907,9,6.774148
17.698873,19,6.79821
14.097146,9,6.810172
13.357857,9,6.822375
13.098728,8,6.834272
28.003407,31,6.873888
15.570509,13,6.890523
13.188665,9,6.902624
12.158858,12,6.918715
13.859416,13,6.935406
14.955033,11,6.949636
17.952949,17,6.971644
12.184496,9,6.98378
17.51085,13,7.001522
13.138194,9,7.013408
15.153037,11,7.027655
18.005899,15,7.04763
19.226508,19,7.071501
13.079849,11,7.086424
13.627944,9,7.098425
17.5969,15,7.117879
12.954192,7,7.127446
20.029612,17,7.149789
14.881593,10,7.163566
16.507876,11,7.1794
15.929581,13,7.196932
11.676093,8,7.208566
15.263084,12,7.224089
13.81453,9,7.237357
16.709355,12,7.25416
14.501288,10,7.267533
15.212544,11,7.282044
16.400225,16,7.302589
19.52128,19,7.326859
16.421788,10,7.34151
23.415317,20,7.367208
17.667234,16,7.389679
15.813834,12,7.405237
14.22065,13,7.422858
22.371937,20,7.44854
22.878596,32,7.490261
15.709437,13,7.50689
12.65185,9,7.518929
18.047063,14,7.537323
13.573139,11,7.552665
20.059378,17,7.574491
17.5588,16,7.597228
13.414121,9,7.609056
16.401495,14,7.627574
13.244401,9,7.640305
17.642405,16,7.660972
14.501039,12,7.676929
14.039188,15,7.696152
14.130733,10,7.709126
15.166254,12,7.724863
17.338037,16,7.747647
19.819052,18,7.772461
15.547798,12,7.788146
18.289181,16,7.808214
13.259679,9,7.820024
18.660578,14,7.838695
17.072129,13,7.856114
16.524052,16,7.876667
14.23069,10,7.889922
22.53847,21,7.91742
12.94958,8,7.931081
13.256707,8,7.942216
21.846537,22,7.972047
20.321123,21,8.001506
16.29431,12,8.017012
17.775678,17,8.039255
19.23759,19,8.063351
18.840969,16,8.084663
11.826271,8,8.095166
11.049712,6,8.103849
16.664329,15,8.123693
14.446264,14,8.143313
14.288424,9,8.155646
18.941894,19,8.180131
17.77826,16,8.201272
16.418929,13,8.219098
16.490179,15,8.238043
15.598523,11,8.252139
14.252521,11,8.266518
17.804204,21,8.294157
15.341305,12,8.310062
16.234526,14,8.328179
14.812092,11,8.342702
16.946905,18,8.366732
12.646557,9,8.37856
23.360323,33,8.420585
16.830436,13,8.437979
16.371404,17,8.4602
15.485499,13,8.477289
22.206994,20,8.50521
23.410109,23,8.535858
24.261895,22,8.564793
12.232705,8,8.576001
14.933774,11,8.59087
18.042005,15,8.610626
12.374739,9,8.625048
16.76654,12,8.642076
15.367598,12,8.658467
24.032943,28,8.697908
25.858096,23,8.73019
23.018639,20,8.75779
21.115439,18,8.781348
19.658746,18,8.804692
13.203811,7,8.814306
14.535269,10,8.828022
14.027739,10,8.841824
11.007972,6,8.849933
15.592324,11,8.864353
13.792033,10,8.879256
13.527266,9,8.891584
15.375891,10,8.904928
19.229991,18,8.930055
16.597933,12,8.945807
15.254027,13,8.962739
17.016935,14,8.980735
18.497074,16,9.00178
12.699439,8,9.012294
14.437554,9,9.02425
18.034162,14,9.042095
17.677156,16,9.063522
20.30005,17,9.085643
16.007338,10,9.098895
14.584386,10,9.112035
13.071266,8,9.122994
22.153884,22,9.155028
19.623055,18,9.179126
22.160803,18,9.202029
12.921349,9,9.214172
14.123776,13,9.230972
12.996002,9,9.242899
12.971729,8,9.253353
19.539278,16,9.27464
18.346503,16,9.295286
16.152875,16,9.316362
17.291227,13,9.333457
18.103872,14,9.352394
14.402124,11,9.366429
15.613839,11,9.380745
14.469171,10,9.394461
20.695238,18,9.417819
16.963339,16,9.438286
14.977413,12,9.453555
13.404328,9,9.465442
16.701824,13,9.483124
17.135992,18,9.505978
14.459679,14,9.523671
16.010449,15,9.543031
33.781481,44,9.601076
13.231809,8,9.614088
17.789011,20,9.639733
19.042353,21,9.668042
