#{"t_start": 1635497702.7246068, "env_id": "Walker2d-v3"}
r,l,t
-0.136914,23,12.099597
-5.566363,19,12.110346
2.19348,19,12.120911
1.28643,29,12.136378
-8.625656,15,12.144523
4.599455,32,12.16131
0.69642,13,12.16828
-1.593231,12,12.174576
1.8756,20,12.184889
-3.398172,21,12.19564
1.586426,15,12.203642
-1.484095,14,12.2106
-1.675547,10,12.215779
-8.83757,23,12.227069
-0.064606,18,12.236153
0.73045,26,12.248919
-2.341462,19,12.258217
-0.283553,13,12.264768
3.134007,15,12.272261
-0.63089,34,12.288631
8.996574,31,12.303856
4.197105,27,12.317116
-0.719988,54,12.343701
3.274733,17,12.352131
3.504897,16,12.359833
22.730015,32,12.375377
0.967599,14,12.382287
1.270146,23,12.3934
2.602637,14,12.40049
1.435647,15,12.407953
4.734591,18,12.41714
0.011236,9,12.421638
3.478014,20,12.431794
2.394337,21,12.442315
-2.621059,12,12.448266
3.061874,15,12.455604
-0.992616,24,12.467242
7.34657,24,12.479172
7.329936,28,12.492839
-5.22492,21,12.503086
7.590011,41,12.522838
-7.041701,18,12.531746
-1.777451,12,12.537682
6.389128,17,12.546168
3.862381,16,12.554106
1.372579,13,12.560749
-1.573318,10,12.565867
-4.013199,11,12.571414
0.481211,12,12.577296
-3.204927,18,12.586084
-0.432241,14,12.593262
-2.040276,13,12.599823
12.857828,43,12.620814
-1.807363,17,12.629193
-4.88048,19,12.638524
2.362081,12,12.644499
1.715036,18,12.653292
-0.07941,22,12.664107
2.833916,19,12.673387
-2.487386,13,12.679844
-2.355926,22,12.690666
7.459147,24,12.702489
-4.421408,11,12.708119
-1.767348,22,12.718771
-1.058785,10,12.723767
0.242059,15,12.731162
4.363605,20,12.740903
2.175993,25,12.752908
7.942023,19,12.762222
0.489311,14,12.769213
-5.667532,22,12.779933
-5.685162,11,12.785395
-0.110822,12,12.791333
4.37889,16,12.799326
5.156406,19,12.808727
5.058732,23,12.820009
-1.248817,14,12.826907
0.501344,16,12.834858
6.346005,21,12.845173
-1.95302,20,12.85498
11.671624,31,12.870419
5.194144,25,12.882804
-5.18042,15,12.890038
-3.032548,8,12.894137
-2.207799,22,12.904899
2.288418,14,12.911703
4.838094,21,12.921978
-2.81218,20,12.931869
-3.254375,33,12.947952
20.091361,32,12.963403
4.852037,26,12.976153
0.353377,28,12.990001
-5.851595,27,13.003155
3.911796,16,13.011109
2.651414,15,13.018677
0.067918,12,13.024487
0.862635,14,13.031486
-3.19201,10,13.036675
7.274913,38,13.055267
12.56962,32,13.070771
2.339803,15,13.078495
-3.861065,12,13.084242
0.23176,23,13.095252
4.466781,17,13.103695
2.208562,14,13.110583
3.848521,17,13.118911
8.229748,22,13.129566
-5.259874,17,13.137962
-3.010829,8,13.141987
0.442143,14,13.148965
-1.204406,17,13.157426
-3.980128,17,13.165696
-1.226954,14,13.172469
2.759979,17,13.180867
0.708265,15,13.188282
0.940424,13,13.194617
4.040292,18,13.203483
8.15855,23,13.214718
1.688016,15,13.222115
-4.532016,20,13.231876
-3.524137,20,13.241896
-0.336293,14,13.248981
2.090574,24,13.260655
6.198701,15,13.268125
-2.132295,19,13.277388
8.527179,28,13.290845
3.01374,23,13.302284
3.823538,14,13.309312
1.035335,15,13.316777
15.903623,27,13.329955
-7.385858,16,13.337788
-3.056929,15,13.345152
3.683104,25,13.357507
-7.493576,15,13.365077
16.783217,46,13.387713
-1.777427,12,13.393821
1.241502,15,13.401343
4.071918,23,13.412632
-0.951644,10,13.417753
15.622499,41,13.437963
4.798125,16,13.445947
-5.446985,20,13.455689
6.057304,18,13.46462
4.724179,18,13.473532
-2.617475,13,13.479983
-2.805059,10,13.48508
-4.995767,15,13.492401
-1.208668,17,13.500808
2.065974,16,13.508714
-3.546386,15,13.515938
0.526211,23,13.527291
8.274519,29,13.541542
