#{"t_start": 1624608654.8856442, "env_id": "parking-v0"}
r,l,t,is_success
-53.721283,100,2.043745,False
-50.576481,100,3.959956,False
-77.515088,100,5.516759,False
-49.224352,100,7.104567,False
-53.815852,100,8.66084,False
-60.964267,100,10.222045,False
-55.120041,100,11.816123,False
-59.394997,100,13.38126,False
-57.520971,100,14.930237,False
-45.612715,100,16.487061,False
-70.197481,100,18.04509,False
-66.868459,100,19.581111,False
-52.259887,100,21.147718,False
-41.514446,100,22.673641,False
-56.799331,100,24.195857,False
-53.923817,100,25.722303,False
-47.805552,100,27.271152,False
-63.618245,100,28.803313,False
-56.803514,100,30.364178,False
-31.092281,100,31.89064,False
-41.186517,100,33.412588,False
-42.800257,100,34.974289,False
-37.778231,100,36.511716,False
-50.799424,100,38.073699,False
-29.605775,100,39.60406,False
-44.05277,100,41.145648,False
-24.515649,100,42.72379,False
-47.432204,100,44.270121,False
-30.086221,100,45.839006,False
-24.267353,100,47.427752,False
-50.349922,100,48.987751,False
-29.046568,100,50.526407,False
-39.576205,100,52.10649,False
-45.422153,100,53.666739,False
-35.445071,100,55.24629,False
-51.797544,100,56.777472,False
-39.85856,100,58.307194,False
-71.770098,100,59.841414,False
-23.415153,100,61.405842,False
-28.848963,100,63.027564,False
-34.834277,100,64.629617,False
-36.88881,100,66.220908,False
-24.55524,100,67.843827,False
-42.353567,100,69.502039,False
-40.691625,100,71.112699,False
-27.013743,100,72.766365,False
-39.448694,100,74.395592,False
-20.452359,100,76.028475,False
-15.959571,100,77.684602,False
-21.86791,68,78.746876,True
-52.486335,100,80.319741,False
-27.90432,100,81.871979,False
-34.202251,100,83.530473,False
-20.061527,100,85.174098,False
-58.753788,100,86.742104,False
-26.619053,100,88.399168,False
-63.598369,100,89.994539,False
-50.105396,100,91.521868,False
-19.133371,100,93.119336,False
-14.174748,47,93.871942,True
-17.878655,100,95.642296,False
-22.393309,100,97.401867,False
-16.82396,100,99.201266,False
-35.569295,100,100.789801,False
-11.595539,43,101.486158,True
-17.628709,100,103.217542,False
-18.830065,100,105.091566,False
-27.478403,100,106.714931,False
-51.897417,100,108.282285,False
-40.248276,100,109.864201,False
-10.006711,59,110.826557,True
-48.511847,100,112.422014,False
-13.250901,50,113.207906,True
-13.146063,51,114.06354,True
-21.174869,100,115.827898,False
-8.079741,29,116.324955,True
-22.567453,100,118.083117,False
