#{"t_start": 1640769474.5847237, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,1.048452
-500.0,500,2.051014
-406.0,407,3.260069
-500.0,500,4.194473
-291.0,292,5.20466
-325.0,326,5.778684
-500.0,500,6.669687
-296.0,297,7.703372
-413.0,414,8.434107
-387.0,388,9.630412
-251.0,252,10.089694
-214.0,215,10.474609
-236.0,237,10.882032
-217.0,218,14.59641
-258.0,259,15.599931
-186.0,187,15.938858
-247.0,248,16.388027
-233.0,234,16.794381
-198.0,199,17.662643
-237.0,238,18.120702
-159.0,160,18.413177
-204.0,205,18.777244
-334.0,335,19.366342
-162.0,163,20.158834
-221.0,222,20.538976
-172.0,173,20.873232
-226.0,227,21.292441
-166.0,167,21.595054
-134.0,135,22.320922
-238.0,239,22.744199
-178.0,179,23.059434
-156.0,157,23.353137
-140.0,141,23.628843
-111.0,112,23.835538
-165.0,166,24.127215
-150.0,151,24.910337
-125.0,126,25.134313
-117.0,118,25.338227
-135.0,136,25.583336
-158.0,159,25.862663
-150.0,151,26.894574
-187.0,188,27.257007
-131.0,132,28.032203
-101.0,102,28.217003
-133.0,134,28.45926
-133.0,134,28.699439
-162.0,163,28.997348
-148.0,149,29.279845
-124.0,125,29.508013
-131.0,132,30.250585
-116.0,117,30.452873
-127.0,128,30.672139
-149.0,150,30.943292
-106.0,107,31.133035
-156.0,157,31.406791
-105.0,106,31.597336
-155.0,156,31.864724
-93.0,94,32.531278
-145.0,146,32.809358
-178.0,179,33.139506
-128.0,129,33.374234
-107.0,108,33.574228
-94.0,95,33.7459
-138.0,139,33.991851
-108.0,109,34.184516
-94.0,95,34.35622
-82.0,83,35.051782
-104.0,105,35.245043
-276.0,277,35.746172
-115.0,116,35.955889
-108.0,109,36.144388
-156.0,157,36.428607
-87.0,88,36.582642
-120.0,121,37.302752
-95.0,96,37.476637
-135.0,136,37.748433
-117.0,118,37.995986
-136.0,137,38.257735
-94.0,95,38.444408
-178.0,179,39.559869
-122.0,123,39.784242
-122.0,123,40.612415
-95.0,96,40.797794
-119.0,120,41.02822
-112.0,113,41.246836
-106.0,107,41.442345
-87.0,88,41.615019
-82.0,83,41.766691
-102.0,103,41.957141
-86.0,87,42.132472
-81.0,82,42.281079
-100.0,101,42.464608
-118.0,119,43.269682
-94.0,95,43.44927
-76.0,77,43.594184
-109.0,110,43.812899
-101.0,102,44.011997
-83.0,84,44.171325
-92.0,93,44.342714
-99.0,100,44.550496
-97.0,98,44.741683
-90.0,91,44.918169
-90.0,91,45.687264
-87.0,88,45.86141
-156.0,157,46.187916
-182.0,183,46.544466
-94.0,95,46.71612
-82.0,83,46.870332
-117.0,118,47.096006
-239.0,240,47.536122
-112.0,113,48.285764
-169.0,170,48.613066
-96.0,97,48.805072
-107.0,108,49.012842
-110.0,111,49.221348
