#{"t_start": 1640694203.5821447, "env_id": "Ant-v3"}
r,l,t
-25.844461,15,0.058826
-55.744023,62,0.153268
-106.465261,102,0.306309
-34.888377,17,0.333483
0.354231,25,0.371115
-41.524996,42,0.435526
-15.177293,37,0.490502
-11.18852,16,0.513782
-75.464376,47,0.58428
-70.001379,77,0.697591
-50.903403,42,0.759413
-223.678848,153,0.985093
-1078.040027,1000,2.827309
-32.340232,22,2.861034
-17.294867,34,2.912675
-1063.047546,1000,4.853294
-175.110156,156,5.142886
-49.974251,54,5.223466
-41.88687,22,5.258266
-1041.026696,1000,7.118474
-4.528766,26,7.157557
-991.244711,1000,9.020738
-27.946842,33,9.08237
-74.975618,66,9.209728
-188.237724,159,9.94666
-70.043507,64,10.075999
-36.58196,27,10.130179
-24.733451,29,10.188558
-35.9722,40,10.269253
-31.350516,18,10.305932
-25.446405,20,10.346385
-12.919733,31,10.408994
-12.477232,21,10.45039
-194.673942,160,10.757867
38.73638,50,10.854141
-14.19086,17,10.886558
-83.564291,58,10.996739
-53.119961,62,11.119919
-156.51535,103,11.320416
-30.012833,46,11.41126
-10.873905,12,11.434516
-18.234713,15,11.463776
-73.669194,41,11.543753
-20.647114,22,11.586993
-23.487803,29,11.643793
-66.309661,49,11.739514
-1068.763077,1000,14.208602
-27.422702,20,14.248283
-12.384308,21,14.288558
-1122.412773,1000,16.60096
-63.552254,48,17.102782
-169.681728,114,17.3136
-77.641792,76,17.456841
-52.068017,70,17.589158
-22.637522,11,17.610746
-0.555886,61,17.728312
-165.133842,97,17.909924
-25.951186,31,17.967543
-23.268559,18,18.001304
-99.518687,86,18.162148
-52.898633,31,18.220253
-16.909514,13,18.245004
-27.112779,24,18.289795
-65.395513,55,18.393134
-69.466127,47,18.480179
-105.72916,61,18.594862
-90.757038,68,18.726276
-18.886887,13,18.751578
-5.415013,15,18.780883
-108.530922,83,18.937535
-32.639706,70,19.51207
-25.616581,46,19.603931
-30.770038,42,19.685611
-31.932698,23,19.729832
-22.656712,29,19.785674
-7.81771,21,19.82721
-19.031415,41,19.906426
-34.594625,44,19.990759
-32.556284,15,20.019884
-11.474466,20,20.058222
-238.03077,197,20.422198
