#{"t_start": 1640770552.0766168, "env_id": "AntBulletEnv-v0"}
r,l,t
410.103069,1000,5.30047
424.432833,1000,11.263709
394.983901,1000,17.102211
341.544359,1000,22.757053
429.396552,1000,28.379115
475.594489,1000,33.901552
569.313343,1000,39.140352
611.339044,1000,44.429932
492.134254,1000,49.662169
488.843576,1000,54.932019
522.711452,1000,60.295002
519.309317,1000,65.686691
495.309413,1000,71.133387
542.881211,1000,76.451552
508.583219,1000,81.89108
526.008767,1000,87.362352
499.352745,1000,92.825937
511.998532,1000,98.250763
591.957952,1000,103.535073
452.59852,1000,108.88782
526.126554,1000,114.212224
614.384767,1000,119.550992
582.664916,1000,124.988063
523.757303,1000,130.693183
613.458784,1000,136.41721
615.005002,1000,187.52332
590.190778,1000,193.50575
603.520969,1000,199.591964
672.753013,1000,205.754827
641.758074,1000,211.787735
677.733403,1000,217.233808
562.585214,1000,222.893474
622.515525,1000,228.565139
490.991704,1000,234.584614
650.333729,1000,240.949931
693.036658,1000,246.760931
534.310841,1000,252.577363
658.726644,1000,258.315443
663.104239,1000,264.093582
673.566652,1000,270.336972
679.711041,1000,275.960454
707.589416,1000,281.555648
687.908681,1000,286.721352
703.386971,1000,292.373652
698.909702,1000,298.240139
702.095933,1000,303.821706
715.631149,1000,309.412571
709.156901,1000,315.144215
747.727117,1000,321.001204
741.143259,1000,326.936796
799.818942,1000,373.982723
809.854016,1000,379.461591
708.202707,1000,385.280632
681.054875,1000,391.062044
727.194092,1000,397.195608
709.298502,1000,402.889573
718.406297,1000,408.534708
636.971441,1000,414.173084
785.755008,1000,420.132869
765.654413,1000,426.034952
807.765696,1000,431.988467
861.996517,1000,437.965852
765.651543,1000,443.806444
724.295626,1000,449.770055
732.672019,1000,455.36378
827.529476,1000,460.89023
828.35696,1000,466.384872
709.851866,1000,472.174375
772.57748,1000,477.74843
846.632149,1000,483.572398
753.586232,1000,489.654747
872.476225,1000,495.215605
839.938729,1000,501.154893
774.089162,1000,507.115659
810.10426,1000,512.909157
952.937846,1000,561.79784
914.513455,1000,569.459867
1008.199845,1000,577.846927
1040.219923,1000,585.90942
940.731211,1000,593.841663
