#{"t_start": 1640769785.8497682, "env_id": "BipedalWalker-v3"}
r,l,t
-118.964829,142,0.415917
-102.710443,90,0.651852
-106.820827,78,0.847701
-102.285335,1600,5.343137
-127.35943,70,5.521885
-109.709483,46,5.638147
-122.817067,95,6.51885
-123.069528,90,6.740802
-143.397943,411,7.900848
-101.56033,59,8.05469
-98.522502,85,8.277837
-104.755193,64,8.445188
-101.316822,64,8.611102
-110.430507,1600,14.014796
-102.770737,1600,18.603677
-114.11643,78,19.419585
-107.79493,1600,24.010751
-117.420117,95,24.23932
-118.204747,76,24.437056
-102.824676,1600,29.821786
-117.621525,60,29.989511
-99.199106,1600,34.635027
-85.647821,1600,42.05199
-113.263211,86,42.258542
-71.95626,1600,47.464078
-72.556755,1600,52.040469
-62.187462,1600,57.243691
-60.103032,1600,61.842392
-47.353651,1600,67.307369
-30.067233,1600,72.058808
-30.132918,1600,77.440218
-23.626271,1600,106.242969
0.212294,1600,110.910075
10.54277,1600,116.425181
-104.605784,71,116.61766
11.151031,1600,121.455824
19.539691,1600,126.990335
34.671603,1600,131.934384
59.838763,1600,137.426442
60.421005,1600,142.981039
81.385972,1600,172.306814
72.679747,1600,178.307752
76.855255,1600,183.693863
96.441062,1600,189.604344
-67.88098,670,191.558631
91.814993,1600,197.105982
94.171383,1600,202.682181
85.910272,1600,207.534683
102.934202,1600,237.242266
-98.31272,115,237.542099
107.036798,1600,242.319026
-75.386007,281,243.756211
-35.049249,793,245.856671
111.777409,1600,251.636971
117.252245,1600,257.417333
-25.403199,900,260.116388
110.812737,1600,266.203757
8.401172,1330,270.878232
137.463564,1600,276.741338
113.635058,1600,305.477957
0.082055,1325,310.704861
109.61349,1600,315.849613
135.942832,1600,321.480895
149.88471,1600,326.197882
151.822699,1600,331.492462
162.909942,1600,337.317712
31.944764,1355,341.66414
196.458037,1600,369.490325
184.013515,1600,375.0343
2.595206,1032,378.34685
198.706441,1600,383.952009
209.396234,1600,388.83401
-44.300936,448,390.703298
176.361752,1600,395.42252
-112.004846,43,395.528012
178.704501,1600,400.832989
191.203474,1600,405.459072
-108.740856,39,405.578035
189.737788,1600,412.488283
-112.353781,59,412.639358
-114.748429,77,412.822563
-106.220376,38,412.916954
133.030195,1600,418.374212
-111.871462,53,418.507031
-108.863256,62,418.658853
-110.006002,45,418.769897
-110.909247,47,418.885262
-111.132874,48,419.004378
-112.019126,56,419.173197
196.901884,1600,424.657283
196.861757,1600,429.487017
194.549354,1600,434.977617
194.935005,1600,439.541606
176.142094,1600,444.784648
-108.113857,39,444.887737
206.858649,1600,472.060804
-2.657734,751,474.64626
83.456919,1447,479.5268
201.20989,1600,484.031683
196.209417,1600,489.202917
179.018002,1600,493.703517
104.346216,1508,498.645122
183.841316,1600,503.148021
-103.459425,104,503.40441
141.756939,1600,508.651538
56.452641,1594,536.17792
197.652173,1600,541.461955
202.387294,1600,546.631526
219.752125,1600,551.114729
223.628932,1600,556.366347
210.245674,1600,560.935283
224.081422,1600,566.239213
230.0565,1600,570.757815
227.266878,1600,598.822175
217.800244,1600,604.136276
207.860761,1600,608.672547
245.077254,1600,613.957292
239.723918,1600,618.513541
242.033209,1600,623.732668
186.330904,1600,628.352458
-81.531876,383,629.937832
61.610961,1238,654.944696
242.987627,1600,659.43176
250.10425,1600,664.829804
234.690575,1600,669.307251
0.158337,871,671.121249
-123.814369,103,671.959026
256.600399,1536,675.61259
-30.800283,803,677.834294
95.324389,1188,680.8309
228.9857,1600,685.370888
-107.078272,39,685.45334
-16.269376,560,686.588234
33.434497,919,706.942603
248.852932,1600,711.913846
243.343158,1600,716.262262
-20.115248,572,718.120975
256.53947,1531,722.128954
254.884221,1540,726.822106
-120.581672,75,726.977657
254.910874,1529,731.342062
254.693273,1555,735.795747
251.129297,1546,739.628527
