#{"t_start": 1640704037.8853583, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.016104
43.0,43,0.034764
19.0,19,0.042822
24.0,24,0.052949
29.0,29,0.065223
18.0,18,0.072781
22.0,22,0.082031
23.0,23,0.091855
10.0,10,0.096639
19.0,19,0.106046
31.0,31,0.119323
26.0,26,0.130208
18.0,18,0.137758
18.0,18,0.145332
10.0,10,0.149565
25.0,25,0.159964
25.0,25,0.170297
21.0,21,0.179516
23.0,23,0.189505
11.0,11,0.194256
11.0,11,0.198887
14.0,14,0.204799
28.0,28,0.216432
17.0,17,0.223538
14.0,14,0.229425
25.0,25,0.337581
15.0,15,0.343932
36.0,36,0.358996
24.0,24,0.369637
72.0,72,0.400768
18.0,18,0.408353
68.0,68,0.439467
17.0,17,0.446666
31.0,31,0.461696
34.0,34,0.475768
12.0,12,0.480756
60.0,60,0.506865
25.0,25,0.517447
87.0,87,0.671403
34.0,34,0.68566
11.0,11,0.690319
50.0,50,0.711203
28.0,28,0.723612
33.0,33,0.737379
12.0,12,0.742577
29.0,29,0.754499
11.0,11,0.759228
69.0,69,0.787034
39.0,39,0.802845
23.0,23,0.812518
23.0,23,0.822006
14.0,14,0.827671
22.0,22,0.836721
39.0,39,0.852514
79.0,79,1.011399
46.0,46,1.030716
18.0,18,1.038294
76.0,76,1.07008
105.0,105,1.113217
45.0,45,1.131139
91.0,91,1.166431
80.0,80,1.199383
16.0,16,1.205975
112.0,112,1.389004
84.0,84,1.427165
15.0,15,1.433764
90.0,90,1.473839
103.0,103,1.517664
44.0,44,1.537616
91.0,91,1.701015
175.0,175,1.773163
27.0,27,1.784382
85.0,85,1.820943
57.0,57,1.844749
41.0,41,1.861782
51.0,51,1.883134
17.0,17,1.890364
60.0,60,2.052912
181.0,181,2.135824
28.0,28,2.147793
198.0,198,2.235059
194.0,194,2.453713
173.0,173,2.526014
134.0,134,2.58386
192.0,192,2.801875
29.0,29,2.815562
231.0,231,2.916783
231.0,231,3.142923
87.0,87,3.181488
214.0,214,3.277456
25.0,25,3.29039
51.0,51,3.785407
18.0,18,3.79304
177.0,177,4.005743
38.0,38,4.023007
92.0,92,4.065006
223.0,223,4.171467
199.0,199,4.41164
500.0,500,4.826026
105.0,105,4.887186
57.0,57,4.920979
500.0,500,5.362473
218.0,218,5.63394
500.0,500,5.913392
500.0,500,6.333541
153.0,153,6.558927
500.0,500,6.970784
500.0,500,7.405327
500.0,500,7.930496
95.0,95,7.988176
344.0,344,9.166455
276.0,276,9.327223
126.0,126,9.396963
500.0,500,9.840324
500.0,500,10.326691
500.0,500,10.776506
254.0,254,11.073716
345.0,345,11.265144
228.0,228,11.573256
393.0,393,12.054712
183.0,183,12.169568
314.0,314,12.527303
233.0,233,12.662264
163.0,163,12.754087
95.0,95,12.966867
177.0,177,13.06578
159.0,159,13.15466
71.0,71,13.194311
78.0,78,13.394136
142.0,142,13.95127
129.0,129,14.028913
196.0,196,14.148347
155.0,155,14.40064
179.0,179,14.50345
147.0,147,14.591858
284.0,284,14.92014
216.0,216,15.042388
335.0,335,15.423234
121.0,121,15.509372
289.0,289,15.851205
74.0,74,15.893991
28.0,28,15.911119
323.0,323,16.255004
121.0,121,16.322093
307.0,307,16.489259
420.0,420,16.8605
142.0,142,17.083047
249.0,249,17.217621
137.0,137,17.290583
33.0,33,17.308325
500.0,500,17.718513
500.0,500,18.123435
500.0,500,19.123106
500.0,500,19.550573
500.0,500,20.045701
500.0,500,20.487144
500.0,500,20.900991
500.0,500,21.350145
500.0,500,21.815535
500.0,500,22.376575
500.0,500,22.843235
500.0,500,23.271971
500.0,500,24.529225
500.0,500,25.01893
500.0,500,25.462116
500.0,500,26.039627
500.0,500,26.525673
500.0,500,26.971071
500.0,500,27.404476
500.0,500,27.88672
500.0,500,28.367544
500.0,500,28.852717
500.0,500,30.00032
500.0,500,30.435853
500.0,500,30.869865
500.0,500,31.298501
500.0,500,31.726118
500.0,500,32.142074
500.0,500,32.609994
491.0,491,33.076035
500.0,500,33.515415
500.0,500,33.935945
500.0,500,35.072035
500.0,500,35.491665
500.0,500,35.980576
500.0,500,36.511082
500.0,500,37.047658
500.0,500,37.375021
500.0,500,37.881609
500.0,500,38.387829
500.0,500,38.81543
500.0,500,39.230214
500.0,500,40.231546
500.0,500,40.639349
500.0,500,41.050327
500.0,500,41.460345
500.0,500,41.872072
500.0,500,42.282748
500.0,500,42.687116
500.0,500,43.091478
500.0,500,43.501397
500.0,500,43.916077
500.0,500,44.941173
500.0,500,45.42239
500.0,500,45.99832
500.0,500,46.53703
500.0,500,47.057413
500.0,500,47.650086
500.0,500,48.232777
500.0,500,48.770467
500.0,500,49.270449
500.0,500,49.708898
