#{"t_start": 1640694243.7843714, "env_id": "HalfCheetah-v3"}
r,l,t
-340.643374,1000,1.464381
-314.510761,1000,3.466838
-297.224133,1000,5.290163
-271.13931,1000,6.992171
-266.343538,1000,8.787782
-277.819802,1000,10.793487
-189.305335,1000,12.886747
-221.434354,1000,14.944738
-210.343563,1000,16.891246
-156.170388,1000,18.904125
-179.183621,1000,20.83683
-177.983128,1000,22.707287
-84.330897,1000,24.468202
-13.435606,1000,26.232077
72.199568,1000,28.029461
-10.516808,1000,29.91558
-382.075164,1000,31.788137
197.604017,1000,33.651279
248.942133,1000,35.484251
218.809791,1000,37.302381
331.057529,1000,39.121942
465.924499,1000,40.96027
326.313071,1000,42.810244
550.443464,1000,44.728537
604.892702,1000,46.674034
650.305709,1000,53.321499
670.939323,1000,55.269949
832.864604,1000,57.244159
855.074461,1000,59.248199
769.086531,1000,61.233494
866.132849,1000,63.304908
849.795983,1000,65.493928
858.001003,1000,67.522206
1023.300768,1000,69.443531
971.443654,1000,71.501954
922.793476,1000,73.542876
935.053563,1000,75.484786
967.082346,1000,77.34952
968.596878,1000,79.191039
1010.578335,1000,81.025539
1038.488621,1000,82.864149
1076.531034,1000,84.693203
1020.032005,1000,85.925808
989.92186,1000,87.797258
1076.166467,1000,89.586777
1048.921727,1000,91.621939
992.151887,1000,94.543765
880.925657,1000,97.174907
978.864151,1000,99.111502
1040.132024,1000,101.010702
1063.050306,1000,108.121874
899.510116,1000,110.14845
1027.111163,1000,112.120223
1123.753642,1000,114.018258
1061.154189,1000,116.020314
1109.856461,1000,117.909436
1122.467661,1000,120.387284
1137.89625,1000,122.788864
1104.025311,1000,124.89469
1125.908978,1000,127.660666
960.368311,1000,130.393176
1105.752845,1000,132.377469
1109.602828,1000,134.30358
1097.796676,1000,136.236429
1175.822473,1000,138.363154
1164.212299,1000,141.712493
1112.147004,1000,144.713872
1078.837226,1000,146.751967
1162.474265,1000,148.828477
1183.60871,1000,150.863381
1007.205797,1000,152.899474
1151.84814,1000,155.180193
1137.142492,1000,157.676291
1232.64635,1000,159.977224
1197.674033,1000,162.127193
1193.658341,1000,170.441238
1183.54428,1000,172.390005
1202.27937,1000,174.367711
1163.085209,1000,176.463139
1213.08385,1000,178.330707
1182.766158,1000,180.437543
976.599485,1000,182.455848
1233.377429,1000,184.440931
1247.193863,1000,186.370635
1152.356736,1000,188.344665
1256.765628,1000,189.662962
1259.789228,1000,191.805098
1211.249979,1000,193.754805
1183.636837,1000,195.744038
1274.876441,1000,197.604627
1217.544955,1000,199.441704
1253.508365,1000,201.333083
1244.06359,1000,203.298234
1264.360793,1000,205.346862
1217.891372,1000,207.245281
1226.92661,1000,209.074095
1286.63338,1000,211.29071
1220.215539,1000,213.334978
1206.583162,1000,215.35132
1264.902483,1000,217.380618
1272.888334,1000,223.901723
1295.533794,1000,225.964984
1271.835017,1000,227.917701
1265.897558,1000,229.968457
1271.764466,1000,231.950686
1243.627421,1000,233.909302
1309.191485,1000,235.838696
1294.323037,1000,237.749024
1340.10233,1000,239.925945
1341.304693,1000,242.043717
1257.688646,1000,244.013828
1288.208437,1000,246.108187
1326.75045,1000,248.359637
1295.407717,1000,250.492488
1328.089752,1000,252.914807
1317.168516,1000,255.169431
1339.372393,1000,257.240811
1280.960785,1000,259.363189
1332.052874,1000,261.878733
1340.436242,1000,264.741676
1349.530536,1000,267.269872
1405.343962,1000,269.396854
1264.287992,1000,272.123494
1321.153361,1000,274.449583
1368.592894,1000,276.965798
1313.288385,1000,284.462175
1433.084346,1000,286.531199
1370.707878,1000,287.866912
1347.534994,1000,289.718005
1355.675118,1000,291.734976
1383.197608,1000,293.960365
1351.894856,1000,295.925478
1378.274965,1000,297.90422
1406.117729,1000,299.859814
1419.219583,1000,301.818726
1359.81509,1000,303.864178
1357.736151,1000,306.206462
1369.979263,1000,308.852055
1377.876427,1000,310.984008
1403.915056,1000,313.052001
1403.912892,1000,316.403092
1423.035165,1000,320.066604
1350.868998,1000,323.382362
1366.435615,1000,326.410109
1334.57298,1000,328.84979
1375.580359,1000,330.887883
1321.261188,1000,333.421953
1377.364624,1000,335.729691
1379.814343,1000,338.035208
1419.509835,1000,340.319524
1340.677748,1000,347.783497
1408.808529,1000,349.910277
1431.037143,1000,351.976232
1371.291315,1000,354.551146
1366.131201,1000,356.82855
1147.44487,1000,358.698578
1340.548234,1000,360.559574
1441.655316,1000,362.388405
1402.181306,1000,364.281241
1424.823763,1000,366.182744
1448.584565,1000,368.116645
1401.296059,1000,369.957133
1440.737794,1000,371.827521
1344.587494,1000,373.706714
1415.159193,1000,375.745099
1387.159518,1000,378.136089
1455.867883,1000,380.281664
1404.518448,1000,382.3751
1435.49274,1000,384.283599
1428.441006,1000,386.143811
1459.148253,1000,387.406649
1463.668029,1000,389.332198
1423.738563,1000,391.205126
1445.823246,1000,393.066514
1465.653337,1000,394.970104
1437.180069,1000,401.071589
1480.842831,1000,402.886742
1467.925075,1000,404.758176
1498.203887,1000,406.63192
1461.092047,1000,408.746108
1448.467407,1000,410.703743
1446.18521,1000,412.559468
1445.526735,1000,414.544168
1448.629777,1000,416.47919
1486.494987,1000,418.490393
1492.071253,1000,420.378057
1499.703174,1000,422.318856
1479.384153,1000,424.129453
1497.768272,1000,425.983088
1502.721532,1000,427.795786
1449.660331,1000,429.642045
1521.723506,1000,431.472109
1533.451334,1000,433.306964
1498.111029,1000,435.294836
1495.686908,1000,437.255066
1491.498939,1000,439.099703
1548.565983,1000,440.920602
1473.842702,1000,442.76105
1573.07711,1000,444.614472
1431.485563,1000,446.416039
1476.432994,1000,452.389721
1469.393493,1000,454.220748
1462.013936,1000,456.016433
1561.972712,1000,457.844389
1490.930579,1000,459.690807
1520.863446,1000,461.522641
1533.335714,1000,463.380254
1529.658455,1000,465.206036
1500.028503,1000,467.055458
1535.207968,1000,468.865723
-481.951549,1000,470.735528
1480.500002,1000,472.610573
1527.954549,1000,474.46112
1503.114895,1000,475.729587
1494.248151,1000,477.538344
1513.718291,1000,479.406395
1501.840091,1000,481.218156
1300.657508,1000,483.057355
1504.162487,1000,485.117374
1439.930997,1000,487.055723
1499.669581,1000,488.886781
1403.610907,1000,490.69585
1103.538905,1000,492.535967
1428.174347,1000,494.336653
1497.060885,1000,496.195061
1500.744475,1000,502.147841
1526.026146,1000,503.994824
1505.119765,1000,505.813575
1444.642889,1000,507.634645
1495.650149,1000,509.48096
1560.035538,1000,511.397655
1488.010366,1000,513.355953
1505.216757,1000,515.321936
1201.459215,1000,517.301206
1147.89853,1000,519.1509
1321.701315,1000,521.029814
1154.270303,1000,522.883231
1112.436042,1000,524.813653
1446.730281,1000,526.70021
1242.0408,1000,528.524037
1226.42745,1000,530.364531
1452.996956,1000,532.192452
1433.066293,1000,534.039579
1425.748569,1000,535.869209
869.49264,1000,537.709106
1058.507313,1000,539.622569
613.506288,1000,541.57081
1472.505007,1000,543.514915
1420.727221,1000,545.326543
1156.781239,1000,547.181304
1037.708945,1000,553.181125
1478.637841,1000,555.081061
1409.250588,1000,557.177171
869.79338,1000,559.291027
1311.06795,1000,561.191422
1294.228898,1000,562.499311
1457.451277,1000,564.417622
1462.814684,1000,566.351051
1502.375932,1000,568.23172
1458.483057,1000,570.106645
1393.732328,1000,571.966774
1443.56143,1000,573.772631
1494.249394,1000,575.63064
1487.255667,1000,577.434115
1431.744826,1000,579.282361
1540.19236,1000,581.131974
768.234142,1000,582.960187
1400.34826,1000,584.805667
1338.760335,1000,586.655961
805.935435,1000,588.496618
1414.411784,1000,590.2875
1208.815143,1000,592.143254
1272.075254,1000,593.965446
-401.967982,1000,596.034126
1448.794435,1000,597.964796
1329.975072,1000,604.11995
1457.502027,1000,606.227607
1499.671251,1000,608.454997
1494.138578,1000,610.492405
1516.441481,1000,612.364338
1492.532289,1000,614.204126
1563.409572,1000,616.044679
1543.198577,1000,617.96348
1499.16102,1000,619.774121
1574.078378,1000,621.616328
1524.093957,1000,623.437102
1448.813322,1000,625.572879
1617.232398,1000,627.488849
1487.736641,1000,629.408867
1555.207573,1000,631.413399
1497.871166,1000,633.382985
1482.722363,1000,635.327206
1514.622463,1000,637.263564
1531.205028,1000,639.196682
1548.41128,1000,641.082772
1477.101225,1000,642.930466
1549.172002,1000,644.840817
1556.193324,1000,646.663904
1489.522197,1000,647.970153
1584.282962,1000,649.853497
1555.431973,1000,655.886004
1562.828073,1000,657.760663
1558.989176,1000,659.707879
1583.464198,1000,661.665978
1530.875179,1000,663.599459
1583.079367,1000,665.695021
1600.064272,1000,667.887929
1580.212465,1000,669.896629
1547.098961,1000,671.997799
1514.545857,1000,673.893076
1528.679875,1000,676.00057
1535.582435,1000,677.899112
1597.126789,1000,679.747702
1597.709438,1000,681.575807
1605.313467,1000,683.643564
1548.865805,1000,685.702757
1543.774398,1000,687.953302
1572.061331,1000,690.08448
1381.067605,1000,692.127582
1586.375849,1000,694.060943
1563.242178,1000,695.910406
1556.215406,1000,698.078811
1598.944037,1000,700.288989
1566.738265,1000,703.280102
1572.233785,1000,705.584046
1540.274418,1000,714.801948
1582.410875,1000,716.821619
1518.928089,1000,718.806333
1614.275149,1000,720.915322
1609.060431,1000,723.503911
1633.023694,1000,725.467686
1630.788078,1000,727.500298
1464.730404,1000,729.526761
1606.797663,1000,732.473572
1573.070362,1000,737.221269
1480.014942,1000,741.194528
1545.356262,1000,744.533629
1517.266996,1000,746.902631
1582.011724,1000,749.027643
1297.424508,1000,751.215057
1168.35245,1000,753.530142
1565.084332,1000,755.037006
1549.490844,1000,757.793167
1446.681425,1000,761.145531
1620.927324,1000,763.475116
1559.677283,1000,765.749026
1575.879723,1000,768.033075
1622.040618,1000,769.904465
1625.540366,1000,771.79249
1471.111321,1000,773.627764
1594.685075,1000,779.891112
1584.7177,1000,781.977022
1594.133268,1000,784.059829
1519.692336,1000,785.899099
1487.781585,1000,787.754011
1553.06069,1000,789.579006
1573.789806,1000,791.428178
1598.1584,1000,793.288062
1619.481532,1000,795.126131
1607.759359,1000,797.126162
1564.521258,1000,798.973626
1399.02985,1000,800.817875
1583.371773,1000,802.629623
1565.602406,1000,804.607774
1632.205463,1000,806.43371
1472.265571,1000,808.266984
1558.894228,1000,810.157554
1636.092014,1000,811.969073
1652.026795,1000,813.802286
1576.137529,1000,815.664837
60.313666,1000,817.567917
1587.611292,1000,819.572954
1644.879621,1000,821.470908
1680.106513,1000,823.364778
1645.342605,1000,825.224211
1601.461476,1000,831.455169
1580.652822,1000,833.342868
1585.749213,1000,835.197212
1590.720056,1000,837.027651
1635.089155,1000,838.899742
1348.247097,1000,840.744077
1706.981788,1000,842.711254
1651.643474,1000,844.605169
1677.809618,1000,845.881007
1588.402696,1000,847.772575
1645.526445,1000,849.78172
1515.430464,1000,851.681862
1634.989868,1000,853.616838
1494.299042,1000,855.630488
1565.006429,1000,857.650942
1497.125815,1000,859.822771
1524.260156,1000,861.945418
1162.795588,1000,863.956321
1613.179615,1000,865.905098
1612.363561,1000,867.920544
1505.800848,1000,870.029629
1610.163907,1000,872.244558
1632.781243,1000,875.435639
1634.474808,1000,878.526959
1631.277645,1000,881.396913
1618.767951,1000,888.818755
1643.684745,1000,890.779698
1498.271047,1000,892.850469
1513.874037,1000,894.703667
1501.004167,1000,896.561095
1658.327455,1000,898.379834
1547.421637,1000,900.185173
1622.491432,1000,902.013983
1485.065502,1000,903.803217
1681.799066,1000,905.703372
1614.644937,1000,907.742126
1612.568821,1000,909.857698
1646.073011,1000,911.875858
1702.52363,1000,914.369965
1724.545528,1000,918.404396
1668.360985,1000,921.261919
1504.419935,1000,924.427157
1676.377792,1000,927.363746
1526.974373,1000,930.189334
1648.526115,1000,933.233567
1496.023416,1000,935.861351
1692.142434,1000,938.491255
1582.834109,1000,940.557488
1440.853318,1000,942.63339
1637.737514,1000,944.492029
1511.158758,1000,951.352687
921.006541,1000,952.809983
1699.894409,1000,954.901725
