#{"t_start": 1640769228.7366388, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1333.213568,1000,4.467988
-1428.450752,1000,9.299546
-1077.924488,1000,14.021705
-993.075497,1000,18.71404
-909.872224,1000,23.779413
-735.968278,1000,28.712477
-841.24311,1000,33.519788
-767.674154,1000,38.539588
-743.009932,1000,43.505513
-437.224397,1000,48.494893
-456.67089,1000,53.579655
-502.861784,1000,58.576928
-302.274619,1000,63.553511
-249.982602,1000,68.538117
-112.722145,1000,73.496556
-54.008437,1000,78.411549
-87.590186,1000,83.246611
23.848754,1000,88.234968
2.354223,1000,93.052888
272.439392,1000,98.322539
147.844616,1000,103.55649
356.291759,1000,109.048241
331.02928,1000,115.318146
323.99501,1000,122.766687
402.536353,1000,128.256988
463.251169,1000,166.41193
448.338968,1000,171.801074
494.669758,1000,177.585979
502.191654,1000,183.386142
541.001792,1000,188.696442
553.599594,1000,194.086405
621.199177,1000,199.169941
675.488352,1000,203.976475
720.624604,1000,208.662532
674.142174,1000,213.731752
710.750122,1000,218.913622
730.63989,1000,223.514735
712.604051,1000,228.070614
714.774341,1000,232.636193
794.325324,1000,237.324995
789.263128,1000,241.940675
839.834144,1000,247.627165
774.226056,1000,252.308349
813.090774,1000,257.840988
859.622118,1000,263.255887
849.886061,1000,268.699598
916.132916,1000,274.191142
539.375558,1000,279.649229
1051.223629,1000,285.243104
971.380778,1000,290.915363
1028.872641,1000,332.224006
1020.39427,1000,337.87827
1141.573606,1000,343.571592
985.80688,1000,349.185053
1230.820929,1000,354.707166
1277.988568,1000,361.183527
1235.183539,1000,367.627557
1272.311084,1000,373.913704
1246.028856,1000,381.279618
1287.425711,1000,386.811632
1274.901055,1000,392.183896
1321.866996,1000,397.349998
1395.142669,1000,402.764731
1343.264477,1000,407.837602
1402.227419,1000,413.134548
1328.277248,1000,417.891984
1437.958597,1000,422.764817
1397.958122,1000,427.613748
1474.919397,1000,432.469201
1500.469171,1000,437.97317
1551.276251,1000,443.208136
1388.348593,1000,447.871369
1514.264917,1000,452.496433
1417.044035,1000,457.078872
1547.211293,1000,461.740593
1562.245763,1000,501.392094
1575.150861,1000,506.912338
1522.561139,1000,512.108016
1476.349474,1000,517.604552
1500.531164,1000,522.908679
1567.262146,1000,527.898125
1645.456697,1000,532.75589
1617.738285,1000,537.452419
1696.264712,1000,542.384272
754.978883,1000,547.093856
1708.958308,1000,551.498283
1550.334188,1000,556.806413
1682.9529,1000,561.495425
1710.881389,1000,566.451579
1688.248589,1000,571.325138
1723.377697,1000,576.069772
1744.431604,1000,580.812167
1739.506358,1000,585.60631
1799.090072,1000,590.403822
1729.920471,1000,595.198495
1733.018789,1000,599.92646
1784.038269,1000,604.688503
1786.862749,1000,609.403453
1913.755699,1000,614.145316
1807.234399,1000,618.85185
1834.723395,1000,654.943662
1786.296152,1000,659.685401
1711.514867,1000,664.401903
1801.838161,1000,669.291376
1872.865009,1000,674.207114
1839.217595,1000,679.225973
1848.616286,1000,684.24006
1930.894653,1000,689.286546
1772.337671,1000,694.251326
1763.845571,1000,699.240844
1934.10985,1000,704.158905
1933.847959,1000,709.000942
1894.755651,1000,713.83592
1900.257224,1000,718.572394
1979.221074,1000,723.359625
1938.26091,1000,729.339021
1966.898232,1000,734.74845
1996.595236,1000,740.26976
1983.480921,1000,745.548127
2009.199902,1000,750.889282
2037.260459,1000,756.104533
2036.3673,1000,761.027176
2070.167,1000,766.005074
2013.780495,1000,770.90822
2085.15131,1000,775.642571
2075.062712,1000,812.962961
2105.222609,1000,818.596316
2076.280027,1000,823.092565
2100.229624,1000,828.678568
2126.551827,1000,833.82503
2096.366236,1000,838.726504
2156.743317,1000,843.669569
2101.192244,1000,848.544785
2157.298181,1000,853.384977
2174.889854,1000,858.223542
2202.466089,1000,863.210441
2164.408622,1000,868.542125
2212.876854,1000,873.722815
2218.76819,1000,878.673399
2211.805534,1000,883.662309
2229.281319,1000,888.509816
2223.274392,1000,893.844052
2246.939976,1000,898.931248
2203.59422,1000,903.841289
2232.099227,1000,908.69364
2231.583305,1000,913.403493
2278.370495,1000,918.108541
2287.496945,1000,922.875612
2266.0425,1000,927.74047
2299.344507,1000,932.863138
2310.30525,1000,968.820479
2301.131291,1000,973.663068
2297.460828,1000,978.742129
2309.984237,1000,983.613629
2293.833195,1000,988.597915
2299.921219,1000,993.597218
2313.469272,1000,998.435335
2322.662797,1000,1003.164955
2282.803148,1000,1007.902862
2309.89417,1000,1012.712833
2332.414246,1000,1017.620426
2314.884445,1000,1022.421893
2351.125577,1000,1027.224812
2344.462763,1000,1032.058602
2343.428157,1000,1036.85047
2322.722117,1000,1041.571833
2340.5348,1000,1046.305291
2407.765026,1000,1051.074385
2371.473599,1000,1055.80195
2384.523654,1000,1060.492702
