#{"t_start": 1640687580.1810777, "env_id": "Hopper-v3"}
r,l,t
12.889053,14,0.067574
13.728148,17,0.103646
15.105499,18,0.140799
8.589875,15,0.171679
6.690022,9,0.191029
14.005193,15,0.220058
8.569426,20,0.259963
6.97696,26,0.310336
10.05611,23,0.354556
12.124852,14,0.381191
5.889952,9,0.399087
15.539536,22,0.440804
7.222484,14,0.469785
5.135175,8,0.485396
17.81644,17,0.520477
26.412395,31,0.582925
21.514523,22,0.627062
6.194944,9,0.646116
5.311149,11,0.669762
9.632407,15,0.703677
11.644941,15,0.736282
28.081921,22,0.785058
3.817772,9,0.806039
16.377766,16,0.841444
15.279886,17,0.879057
23.707987,21,0.926089
8.828295,10,0.946144
15.365773,18,0.983921
57.824179,48,1.082059
11.608141,18,1.118563
3.172011,16,1.15177
9.164694,10,1.172687
10.066517,18,1.210589
10.180036,14,1.239708
11.300403,25,1.290019
13.239476,21,1.333349
14.424696,14,1.361611
11.615216,18,1.398435
13.991598,16,1.430966
10.376944,12,1.45605
12.298602,20,1.497182
17.343178,18,1.533653
7.85631,13,1.561054
33.069322,31,1.623999
5.318165,14,1.652739
72.56753,44,1.742064
5.91771,30,1.800308
47.41686,44,1.889695
22.087439,21,1.930468
8.216613,21,1.970262
9.021744,14,2.00051
6.227373,29,2.06931
82.882357,47,3.47198
14.150525,15,3.50309
117.435476,62,3.630242
19.626794,26,3.683679
6.791231,12,3.708874
21.321788,29,3.767722
12.018265,30,3.831537
16.359878,18,3.868334
12.767911,20,3.908626
6.373788,10,3.928123
26.753569,24,3.97506
7.163827,10,3.995187
38.374771,33,4.058408
5.417958,22,4.10109
24.982731,21,4.142344
20.042972,19,4.180711
14.022203,15,4.209648
30.40091,27,4.260905
7.587728,14,4.28794
4.30416,8,4.303458
9.99035,24,4.349839
33.416741,31,4.40971
6.304115,8,4.42536
11.502225,16,4.456977
11.512198,19,4.494843
9.574799,13,4.520351
10.955504,18,4.556135
94.190162,65,4.679872
30.393306,38,4.753559
26.990438,24,4.799397
22.005424,19,4.836298
22.318397,37,4.909058
102.691202,65,5.033695
30.356962,27,5.083912
32.603373,36,5.15082
40.815187,38,5.222816
13.029352,18,5.256251
13.190538,34,5.31847
48.469749,52,5.412738
8.564829,12,5.435575
69.892652,45,6.221806
96.196989,53,6.34949
37.725569,49,6.481928
4.176365,7,6.497249
94.171231,51,6.609244
31.379522,49,6.714398
37.165132,35,6.787283
111.035499,60,6.912646
153.373001,77,7.072273
40.643396,36,7.146861
75.291148,44,7.237851
21.805158,20,7.27801
145.062902,89,7.450467
71.197249,42,7.531135
5.380679,9,7.548751
32.70734,25,7.597906
51.309752,36,7.669619
33.340313,26,7.720393
21.335725,23,7.764685
16.595719,23,7.809969
153.588477,76,7.957692
11.543206,13,7.983325
10.236473,15,8.012563
18.169463,32,8.073909
14.07989,29,8.133751
60.891747,42,8.221813
10.953136,21,8.265948
63.209391,37,8.97523
133.497255,100,9.172244
11.581732,13,9.19886
62.188128,37,9.270038
46.469693,50,9.366492
119.667669,78,9.515698
76.978927,52,9.615185
94.169558,67,9.744775
34.504309,28,9.797867
133.606954,67,9.923495
120.126104,62,10.036934
76.478222,45,10.118992
79.887843,48,10.207018
109.583153,59,10.316475
78.2386,45,10.418206
72.550064,48,10.537536
90.757829,67,10.697773
71.618851,52,10.829167
17.656388,23,10.881203
176.650101,108,11.905795
77.049388,44,11.994901
147.260513,80,12.150292
88.551291,50,12.246619
52.634558,32,12.308515
140.673055,70,12.442405
84.536117,48,12.53516
52.993038,36,12.603415
137.232681,85,12.765398
205.167302,91,12.939785
94.102164,52,13.040809
108.246151,59,13.161741
85.57633,47,13.259292
98.551266,54,13.367353
122.525755,66,13.495647
112.08528,60,13.611311
40.376629,38,13.685933
64.193407,38,13.758793
212.02173,93,14.718996
130.712662,68,14.870843
205.862224,104,15.090582
166.860993,117,15.32937
202.893783,93,15.519017
99.150794,57,15.629772
200.530435,96,15.820106
208.834586,97,16.020916
218.201969,101,16.217832
