#{"t_start": 1640773405.583343, "env_id": "HopperBulletEnv-v0"}
r,l,t
15.246218,10,0.221761
15.754089,6,0.246086
13.505416,7,0.269531
17.539123,14,0.317145
19.542329,8,0.345159
15.92475,11,0.381289
25.088377,27,0.470836
20.977452,11,0.510256
14.944258,8,0.538391
13.257509,11,0.576812
16.51985,9,0.608651
15.848198,8,0.637695
18.759748,17,0.69741
18.37565,7,0.723526
20.129656,12,0.765665
17.549341,6,0.786444
15.158625,7,0.812811
16.520846,22,0.888414
17.034397,10,0.922287
17.079413,10,0.956449
20.163442,10,0.989357
16.413192,5,1.006324
5.025109,13,1.04982
14.816089,7,1.07303
17.146595,8,1.103643
16.028548,6,1.123941
9.712147,7,1.147961
17.723719,7,1.170984
16.137337,6,1.19117
16.589838,14,1.238003
18.031332,8,1.265459
20.113583,12,1.306563
18.218073,18,1.371573
20.208308,13,1.418134
15.864096,7,1.441443
10.463104,8,1.468758
14.586779,9,1.499463
9.071694,9,1.531167
17.355073,6,1.551276
16.331295,9,1.582109
21.449835,10,1.615269
12.587995,8,1.643015
15.553893,9,1.673895
19.785202,11,1.710998
20.658474,12,1.7516
13.943086,17,1.809914
20.361324,14,1.856837
21.161557,25,1.939605
22.942825,12,1.980505
17.665687,10,2.015309
19.252217,9,2.044879
15.827794,5,2.062607
16.416311,14,2.108812
17.321292,8,2.136495
19.238198,14,2.182918
18.405256,13,2.226272
18.887844,9,2.256937
15.148249,8,2.284192
14.294365,12,2.323034
19.269839,7,2.347929
17.02532,9,2.377413
16.148756,13,2.42119
17.527183,8,2.448786
18.326853,13,2.492243
16.649155,6,2.512622
5.751264,21,2.583461
18.736622,14,2.630805
17.857934,11,2.669102
16.835981,8,2.69645
17.047613,6,2.717707
15.422814,5,2.735841
16.179298,7,2.760391
13.176366,7,2.783327
11.994427,7,2.807247
18.156211,19,2.871196
14.487286,13,2.915956
10.216187,7,2.939371
15.516326,9,2.972723
15.758845,6,2.992598
17.904513,6,3.012373
18.105216,8,3.039699
13.97274,12,3.086331
14.739737,9,3.122182
15.800435,14,3.181175
16.239576,6,3.213331
13.407037,11,3.267061
13.438738,13,3.329841
21.559085,16,3.398061
17.226973,7,3.427352
15.277449,8,3.459308
19.711053,9,3.498814
12.685792,11,3.54288
15.198623,5,3.561074
11.683145,17,3.619615
13.01403,15,3.674834
13.786112,19,3.744035
17.614624,6,3.766356
16.814143,5,3.784096
15.66004,12,4.637446
17.594503,6,4.668795
12.288734,7,4.703891
21.628341,21,4.813012
15.802746,12,4.863649
14.900719,8,4.900271
18.277931,7,4.929957
11.290752,12,4.98021
14.426503,10,5.018616
16.899719,6,5.042828
15.474775,6,5.067212
19.904265,7,5.093812
21.262274,10,5.135229
21.67131,12,5.182521
13.53187,10,5.221966
17.652954,7,5.249471
21.583535,13,5.296205
16.560821,6,5.318734
22.576228,17,5.379511
19.644122,12,5.423472
16.911567,9,5.458588
17.652861,6,5.485331
18.206062,9,5.520245
19.755644,12,5.566742
21.141909,17,5.630117
19.886899,9,5.664733
15.424009,7,5.689002
14.465906,15,5.742756
14.376911,7,5.766746
21.522772,9,5.797262
15.308136,5,5.814009
15.577332,8,5.841435
17.434926,13,5.885853
13.268433,8,5.912802
18.309429,13,5.955813
17.764915,10,5.989508
17.982426,13,6.033369
16.458565,12,6.074939
19.327846,10,6.108989
14.86199,5,6.126838
15.840816,10,6.164501
15.701582,5,6.183849
19.377239,12,6.227737
12.894454,10,6.263709
18.284468,7,6.291874
20.725182,10,6.327575
16.6705,18,6.388609
20.115022,13,6.431804
20.609597,9,6.462523
14.636391,7,6.486797
19.780673,10,6.520505
19.802312,8,6.548331
12.041037,8,6.576115
16.091785,14,6.626341
18.236024,7,6.654852
16.867454,8,6.684759
15.723349,7,6.721153
17.660052,12,6.771662
16.962125,10,6.806236
19.164617,8,6.833854
14.855346,8,6.860358
16.989121,8,6.890022
21.382337,11,6.92823
19.773024,14,6.977999
15.818258,18,7.041505
18.356093,13,7.085985
11.892607,10,7.1198
16.255089,9,7.153283
15.818599,7,7.176936
17.931839,20,7.245816
23.909474,13,7.290335
18.870486,17,7.347666
19.397102,8,7.374282
16.300369,9,7.405201
16.625155,7,7.429504
20.093213,21,7.499042
17.347182,9,7.529464
15.674447,12,7.571219
15.31046,11,7.608768
16.98809,15,7.659626
11.146869,10,7.694449
27.47615,17,7.751986
14.693089,6,7.772527
15.669841,12,7.813727
14.617555,14,7.861819
16.559151,8,7.891955
18.724704,13,7.937744
18.4803,9,7.968897
17.824926,7,7.995016
11.464184,12,8.037287
20.617539,9,8.068785
15.468569,16,8.124981
20.947202,13,8.172609
15.119386,10,8.20855
18.010437,10,8.245394
17.984736,8,8.275261
16.665386,11,8.31375
16.216995,6,8.336029
21.25381,21,9.03313
13.888026,8,9.060879
17.072891,6,9.081794
17.91996,11,9.11873
17.351608,7,9.143575
18.243091,12,9.18539
21.219438,13,9.229648
16.475889,11,9.266627
17.910452,8,9.293897
16.305801,11,9.330687
19.220526,9,9.362205
18.592576,7,9.385876
19.912088,8,9.413265
14.369628,6,9.434502
16.568476,10,9.46746
25.581304,23,9.543977
18.645789,7,9.568016
17.419973,10,9.602504
17.789574,10,9.637283
20.060429,11,9.675995
15.773813,6,9.69769
15.695047,6,9.717818
19.341613,10,9.753682
15.31478,5,9.770709
20.110185,10,9.806082
18.548319,8,9.834728
18.354055,6,9.856953
16.576504,8,9.886815
18.363938,16,9.948561
17.021884,14,10.003666
15.933791,14,10.061367
19.73117,9,10.098293
21.118038,9,10.134356
18.168772,7,10.163812
17.041713,5,10.184127
