#{"t_start": 1640704130.7836351, "env_id": "LunarLander-v2"}
r,l,t
-128.769992,112,0.092383
-103.022764,117,0.172063
-61.338882,87,0.231512
-160.03118,79,0.283036
-127.601644,83,0.336254
-137.788329,77,0.558712
-276.702185,101,0.62518
-265.710136,102,0.695046
-123.930157,72,0.741982
-65.294359,129,0.830567
-85.235825,158,1.110077
-119.964803,117,1.192882
-116.592648,126,1.28037
-103.556322,73,1.327604
-136.901518,87,1.386885
-218.156396,85,1.614477
-125.3401,92,1.67607
-105.699441,74,1.723537
-140.152391,106,1.793473
-226.698465,95,1.857781
-166.537825,109,2.215797
-98.838091,83,2.312121
-156.946768,106,2.405038
-19.771118,65,2.459064
-162.361926,107,2.550696
-56.501273,131,2.857971
-42.820951,85,2.917179
-76.085327,87,2.97794
-161.027908,554,3.904391
-50.311378,108,3.98073
-91.874824,123,4.06429
-88.099044,114,4.328441
-50.086556,128,4.418088
-73.525924,86,4.480085
-28.331383,118,4.565138
-98.627902,91,4.630268
-134.447618,129,4.900012
-45.942345,123,4.997064
-130.910445,126,5.094521
-116.239932,86,5.151897
-54.396792,95,5.392581
-80.811707,112,5.516272
-46.18898,101,5.623879
-17.078225,86,5.687847
-61.491765,109,8.96
-46.714864,83,9.021902
-124.274556,179,9.331266
-62.112959,83,9.389321
-53.924778,72,9.441985
-41.642536,126,9.535186
26.312501,133,9.833427
-57.981268,80,9.920638
-44.32515,104,10.018439
-73.159036,64,10.077954
-37.9868,100,10.15967
-54.954632,139,10.470412
-40.571352,166,10.646996
-83.342754,73,10.704152
-12.897571,129,10.797252
-36.895461,152,11.079566
-40.746848,145,11.179959
-54.667586,73,11.228844
0.903519,141,11.331357
-45.978028,102,11.576657
-98.108209,112,11.65448
33.997603,130,11.746974
-65.395106,147,11.852993
-36.720133,151,12.13741
12.940802,106,12.214111
-37.335423,142,12.316058
-84.650955,86,12.375727
5.13276,153,12.658932
1.819096,81,12.718956
-78.465847,125,12.805458
-60.133195,100,12.875705
-4.627307,156,12.990997
-71.16476,144,13.274487
-19.302581,149,13.38474
-67.149426,127,13.474922
-39.993353,131,13.741539
-14.310117,141,13.839599
-29.116734,77,13.894199
-32.498989,137,14.013177
-47.598064,87,14.112679
-43.854685,143,14.498871
3.451385,118,14.699659
-12.941339,139,44.419126
-41.582469,106,44.812476
-29.970991,147,45.619866
-17.926326,96,45.837425
