#{"t_start": 1640769097.6124723, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-306.743542,105,0.303093
-266.846783,85,0.505461
-34.998899,82,0.689927
-104.788571,96,0.884291
-159.074176,113,1.108042
-348.811176,104,1.302877
-363.272402,135,1.550329
-350.715368,81,1.689135
-318.585053,91,1.847975
-21.496846,94,2.010175
-85.411003,85,2.631858
-399.331997,80,2.77509
-410.953686,126,3.000623
-89.847779,82,3.137584
-148.556736,105,3.316853
-487.242387,134,3.553805
-336.304648,126,3.772798
-105.96068,102,3.949941
-616.375825,133,4.194329
-86.440912,81,4.369139
-330.608943,159,5.165517
-298.376958,143,5.416495
-70.923177,144,5.679465
-4.498183,127,5.899301
-86.969475,114,6.091601
-8.873441,74,6.214918
-192.665708,97,6.378767
-138.674494,93,6.543039
-106.646851,82,7.186049
-75.087695,97,7.348749
-91.270079,114,7.541385
-180.981126,99,7.707836
-95.726857,110,7.890625
-204.744617,171,8.186614
-119.307816,113,8.382446
-79.41778,185,8.766539
-89.567135,109,8.964151
-140.162786,100,9.629907
-67.348939,116,9.832833
-109.691099,106,10.022009
-58.381209,119,10.234078
-276.582398,106,10.414967
-34.957493,98,10.595574
-81.093125,121,10.81218
-71.746573,82,10.946447
-134.943668,103,11.927058
-331.5527,93,12.083186
-247.050253,130,12.840283
-117.222525,110,13.040797
-111.760756,84,13.186552
-36.026953,119,13.392545
-155.956097,119,13.601038
-61.71982,106,13.784386
-108.491805,171,14.107655
-40.215991,118,14.314753
-52.081553,117,15.029664
-111.860372,123,15.237196
-34.633084,93,15.401671
-100.821343,151,15.668625
-49.349847,105,15.853212
-24.467559,103,16.031446
-94.132193,116,16.231922
-80.268809,152,16.503942
-60.546357,97,16.69317
-107.657233,129,17.444491
-73.122135,153,17.714319
-24.903706,84,17.859803
5.112176,105,18.04666
-141.799594,141,18.306532
-88.275056,115,18.502242
-42.061722,93,18.663592
-42.055786,117,18.872396
-40.049126,110,19.067621
6.578881,91,19.723629
-0.539644,92,19.882337
-26.279878,117,20.088747
-31.278084,124,20.304721
-32.352924,155,20.585491
-23.563031,101,20.762155
3.219074,103,20.943368
1.108724,118,21.185221
-79.882508,113,21.390687
-39.447292,143,22.164786
10.56891,99,22.340157
1.083144,85,22.49117
-28.939896,96,22.671705
-21.442985,146,23.010607
-5.914726,158,23.425821
-59.607832,97,55.058391
-17.415945,1000,61.110057
-56.491775,154,61.892111
33.243463,100,62.934729
42.056366,104,63.577958
-14.32357,122,63.911075
16.833329,1000,68.162368
36.453909,148,68.436764
10.822376,141,68.679312
-3.781694,143,68.930234
32.201357,126,69.161539
-16.515921,1000,74.26458
52.063836,106,74.732716
54.735346,130,75.30197
-9.136118,81,75.942963
51.256036,1000,154.799772
-8.804488,119,155.561282
24.075103,1000,162.683733
-9.305078,1000,171.154183
57.081893,1000,180.71327
63.219722,1000,189.105901
56.69599,1000,274.197099
57.793742,1000,281.609541
39.6652,1000,289.802096
50.808975,1000,299.238179
76.1443,1000,309.327712
7.870906,1000,414.016392
62.72266,1000,425.24959
42.270179,1000,436.040079
89.917603,1000,444.936308
70.058106,1000,453.414523
52.59267,1000,473.976064
91.313665,1000,483.778647
95.724185,1000,492.910524
114.048695,1000,503.044798
123.36373,1000,512.676694
122.184598,1000,528.123034
170.488823,1000,535.597745
126.025164,1000,543.141296
129.004606,1000,550.65284
159.915463,1000,556.508605
129.367665,1000,574.146221
132.250928,1000,579.835042
140.876359,1000,585.592202
142.623421,1000,591.428537
153.012542,1000,596.765447
168.79529,1000,612.337442
133.129091,1000,619.004579
147.871075,1000,625.104228
134.857498,1000,631.77997
133.658335,1000,638.430767
120.6235,1000,655.755428
179.661126,1000,661.564989
187.587476,1000,666.804717
196.520238,1000,672.741948
271.825382,429,674.756794
123.540289,1000,680.647125
