#{"t_start": 1640768873.1547866, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.238817
-200.0,200,0.465214
-200.0,200,0.690557
-200.0,200,0.917583
-200.0,200,1.149506
-200.0,200,1.828253
-200.0,200,2.051991
-200.0,200,2.277118
-200.0,200,2.500461
-200.0,200,2.730913
-200.0,200,3.4177
-200.0,200,3.641537
-200.0,200,3.865833
-200.0,200,4.094136
-200.0,200,4.31844
-200.0,200,5.027478
-200.0,200,5.254635
-200.0,200,5.480323
-200.0,200,5.706596
-200.0,200,5.932943
-200.0,200,6.629256
-200.0,200,6.85318
-200.0,200,7.07933
-200.0,200,7.302366
-200.0,200,7.52569
-200.0,200,8.87059
-200.0,200,9.131427
-200.0,200,9.35549
-200.0,200,9.580461
-200.0,200,9.804696
-200.0,200,10.504783
-200.0,200,10.729689
-200.0,200,10.955527
-200.0,200,11.179728
-200.0,200,11.404649
-200.0,200,12.1328
-200.0,200,12.356793
-200.0,200,12.582204
-200.0,200,12.808584
-200.0,200,13.041738
-200.0,200,13.760143
-200.0,200,13.985394
-200.0,200,14.210114
-200.0,200,14.434931
-162.0,162,14.617089
-200.0,200,14.843681
-183.0,183,15.527508
-200.0,200,15.75205
-200.0,200,15.978336
-200.0,200,16.205376
-200.0,200,16.95328
-158.0,158,17.611757
-163.0,163,17.795589
-198.0,198,18.020846
-200.0,200,18.245042
-200.0,200,18.470095
-188.0,188,18.680864
-200.0,200,19.380693
-153.0,153,19.552341
-200.0,200,19.776631
-171.0,171,19.968001
-188.0,188,20.178466
-157.0,157,20.815398
-200.0,200,21.041853
-157.0,157,21.218262
-122.0,122,21.355204
-183.0,183,21.561042
-196.0,196,21.784689
-134.0,134,22.415114
-139.0,139,22.571837
-144.0,144,22.734587
-153.0,153,22.90784
-161.0,161,23.088172
-188.0,188,23.298805
-159.0,159,23.476982
-165.0,165,24.126924
-177.0,177,24.325195
-125.0,125,24.464761
-122.0,122,24.602845
-151.0,151,24.772228
-132.0,132,25.345704
-151.0,151,25.525898
-174.0,174,26.251909
-152.0,152,26.464945
-198.0,198,26.743754
-151.0,151,26.938861
-152.0,152,27.127578
-116.0,116,27.266945
-122.0,122,27.41222
-117.0,117,28.076275
-159.0,159,28.286984
-163.0,163,28.494823
-145.0,145,28.665244
-124.0,124,28.811814
-168.0,168,29.000383
-163.0,163,29.184133
-127.0,127,29.860735
-161.0,161,30.065375
-142.0,142,30.241721
-123.0,123,30.400759
-123.0,123,30.544997
-160.0,160,30.742908
-114.0,114,30.882371
-152.0,152,31.582783
-160.0,160,31.77379
-114.0,114,31.910728
-117.0,117,32.059039
-163.0,163,32.249566
-155.0,155,32.449121
-118.0,118,32.587345
-119.0,119,32.740433
-129.0,129,33.425758
-115.0,115,33.566477
-161.0,161,33.766037
-111.0,111,33.897798
-120.0,120,34.49532
-119.0,119,34.646733
-94.0,94,34.758117
-121.0,121,34.911615
-119.0,119,35.555581
-115.0,115,35.697022
-115.0,115,35.833754
-93.0,93,35.942333
-155.0,155,36.124774
-118.0,118,36.257226
-101.0,101,36.370456
-155.0,155,36.545885
-121.0,121,36.682117
-118.0,118,37.310082
-130.0,130,37.464365
-126.0,126,37.606176
-117.0,117,37.737958
-121.0,121,37.884633
-156.0,156,38.074291
-163.0,163,38.266131
-118.0,118,38.904521
-95.0,95,39.049636
-112.0,112,39.208437
-148.0,148,39.39343
-125.0,125,39.549298
-116.0,116,39.686334
-85.0,85,39.78647
-173.0,173,39.990287
-115.0,115,40.129239
-94.0,94,40.717599
-97.0,97,40.833564
-113.0,113,40.968609
-126.0,126,41.117361
-85.0,85,41.212841
-164.0,164,41.411293
-129.0,129,41.570477
-163.0,163,41.765203
-155.0,155,42.438317
-90.0,90,42.549866
-100.0,100,42.668365
-85.0,85,42.769053
-87.0,87,42.871621
-93.0,93,43.398653
-87.0,87,43.501575
-117.0,117,43.638755
-179.0,179,43.84938
-117.0,117,43.983785
-115.0,115,44.609186
-177.0,177,44.820836
-89.0,89,44.925492
-116.0,116,45.061812
-117.0,117,45.204137
-117.0,117,45.346095
-86.0,86,45.455671
-117.0,117,45.624636
-126.0,126,46.286569
-116.0,116,46.436306
-89.0,89,46.545714
-167.0,167,46.757215
-118.0,118,46.911191
-116.0,116,47.055655
-97.0,97,47.169169
-122.0,122,47.322598
-115.0,115,47.473284
-119.0,119,48.150867
-115.0,115,48.288426
-120.0,120,48.431382
-84.0,84,48.530763
-113.0,113,48.665121
-123.0,123,48.809924
-150.0,150,48.993842
-116.0,116,49.130391
-164.0,164,49.783326
-112.0,112,49.915411
-113.0,113,50.044811
