#{"t_start": 1640768503.1936429, "env_id": "MountainCarContinuous-v0"}
r,l,t
30.800823,907,0.990032
51.394099,748,1.789649
-57.667307,999,3.395827
-68.057584,999,4.471245
63.398049,482,5.488102
38.828157,993,8.123289
87.988907,175,8.313456
88.886266,157,8.483643
-56.684826,999,10.111888
48.078504,704,10.877708
81.007853,381,11.295402
71.090828,415,11.751362
75.151981,398,12.6905
81.300431,265,12.978595
79.261028,414,13.42665
83.092538,274,13.725455
92.386782,126,13.863031
72.544175,568,15.209439
94.07748,138,15.362347
81.994016,315,16.268337
75.390947,337,16.646048
85.114495,242,16.932456
85.947346,240,17.209059
83.416795,235,17.479187
80.31407,291,17.818798
83.442832,262,18.12525
72.635987,396,19.180956
93.158611,145,19.353846
87.488405,194,19.574487
69.070919,469,20.13323
86.8285,191,20.356145
87.854243,168,20.553971
83.193066,229,20.822653
85.795664,251,21.115365
93.321226,99,21.226931
62.553665,463,22.329739
76.146364,370,23.229418
86.297942,163,23.436487
86.289688,175,23.661283
87.503838,148,23.84919
86.324529,243,24.136443
88.413236,138,24.307696
93.041617,89,24.410714
77.679901,377,24.858891
80.527082,250,25.72945
91.955445,154,25.91721
83.997912,180,26.127126
83.358387,205,26.366331
83.829751,238,26.64136
86.983069,185,26.863255
89.896748,132,27.013659
76.004889,323,27.364139
84.642914,248,27.638336
86.628779,181,28.437407
85.065628,187,28.664484
90.246843,137,28.827081
90.675477,118,28.973089
92.916127,107,29.106551
87.888288,157,29.28871
92.69551,117,29.42286
92.118194,102,29.553321
89.115099,161,29.74039
88.872166,150,29.922862
87.832064,159,30.104392
87.963643,150,30.531977
88.883225,148,30.708472
90.171802,125,30.855499
93.434258,84,30.950329
89.233377,144,31.624486
92.904848,93,31.725291
94.014435,70,31.802188
93.503156,109,31.921039
89.778121,136,32.087249
90.170831,127,32.231615
93.736261,85,32.335977
88.871917,145,32.508323
92.369959,111,32.634836
86.064929,183,32.841016
87.374028,158,33.026803
89.518415,154,33.215069
81.132034,249,33.505926
87.078414,176,33.703681
87.57669,176,33.901541
89.973036,142,34.664079
90.261922,136,34.837721
90.034933,153,35.019667
93.166475,95,35.12642
93.439839,72,35.211836
91.427476,117,35.34648
93.045025,80,35.438417
93.296028,71,35.521166
91.713822,95,35.631304
88.543244,146,35.795901
80.708148,226,36.04221
88.082692,150,36.208209
88.888182,142,36.363834
88.85425,135,36.518157
92.630766,90,36.632841
87.589074,148,36.80891
93.795102,94,37.476377
92.623421,89,37.577643
88.915553,126,37.72611
93.51468,85,37.828169
85.674146,164,38.264675
93.648034,82,38.3664
92.99584,75,38.458561
93.414443,75,38.543976
92.449367,87,38.643097
93.45768,81,38.738055
93.206476,76,38.832704
92.62647,79,38.930051
85.586591,186,39.141707
88.540002,142,39.311134
93.315338,74,39.4009
92.399538,92,39.506294
93.235434,78,39.596189
88.104642,139,39.764881
93.085956,77,39.857307
93.589366,81,39.947136
92.260821,108,40.067613
