#{"t_start": 1640777886.6508725, "env_id": "ReacherBulletEnv-v0"}
r,l,t
-31.516427,150,0.430587
14.397556,150,0.728806
4.46311,150,1.033824
0.55314,150,1.344854
15.466558,150,1.64877
-14.170362,150,1.947129
-19.254,150,5.05584
-12.373278,150,5.372683
-10.587037,150,5.672232
-1.554176,150,5.975275
-4.095405,150,6.272169
-24.669005,150,6.572262
-0.526573,150,6.878875
-18.715103,150,10.149782
1.086986,150,10.476589
-7.458425,150,10.85987
-5.106492,150,11.27755
-35.480772,150,11.690633
-57.286395,150,12.287656
-38.725007,150,12.666933
-9.28859,150,15.912441
-9.912412,150,16.264209
17.090038,150,16.586551
5.286897,150,16.906699
-3.743406,150,17.247525
-13.679956,150,17.589896
-19.60705,150,17.910747
1.438611,150,21.489077
-25.739992,150,21.852412
-17.504268,150,22.181709
-16.209296,150,22.48275
-40.374473,150,22.782605
-18.203017,150,23.142834
-8.753884,150,23.595061
3.76004,150,26.674384
1.543505,150,26.940789
21.751923,150,27.21881
-18.322336,150,27.465639
1.344923,150,27.707628
-7.208751,150,27.950989
-14.221928,150,30.379831
6.438482,150,30.628706
-38.249895,150,30.878219
-12.303368,150,31.130253
13.083647,150,31.403566
-34.015631,150,31.653071
-20.299205,150,31.896065
-4.352378,150,34.323594
-9.275559,150,34.577625
-47.295071,150,34.825884
-22.2811,150,35.105843
-38.995131,150,35.372296
-9.171904,150,35.644703
-11.010795,150,35.901798
5.992398,150,38.324423
-18.014507,150,38.569335
-10.387044,150,38.813626
-24.880606,150,39.055376
-34.049799,150,39.297678
-5.219858,150,39.550445
-14.74122,150,39.809816
5.740791,150,42.344375
-12.729795,150,42.589274
-31.877157,150,42.83088
-9.662098,150,43.0728
16.28038,150,43.317082
-11.228441,150,43.558957
-9.184583,150,43.827368
5.443371,150,46.294627
-11.276093,150,46.683277
-11.608096,150,46.986018
-8.376219,150,47.266348
1.571009,150,47.539852
-16.177358,150,47.855087
14.475921,150,48.225136
-14.714362,150,51.188851
-23.760229,150,51.449723
-34.045348,150,51.714429
-9.993351,150,51.970448
-14.793214,150,52.22688
-28.473973,150,52.47144
-9.310582,150,55.129825
13.332492,150,55.401477
-0.160468,150,55.665178
7.238685,150,55.928796
-7.190539,150,56.242637
5.329968,150,56.607982
-12.594773,150,56.965003
10.177887,150,60.003183
-6.814613,150,60.303957
-11.871751,150,60.576568
-0.481067,150,60.837931
-16.089989,150,61.104311
5.065942,150,61.365225
-11.0438,150,61.626078
10.540699,150,64.328707
17.903957,150,64.750299
-5.183305,150,65.081007
-21.981064,150,65.362966
-12.025732,150,65.62915
-12.420863,150,65.916575
-23.12804,150,66.208668
-7.062726,150,69.155517
-20.235239,150,69.474403
-5.608966,150,69.786627
2.941018,150,70.066812
-20.062154,150,70.348711
-12.573438,150,70.607144
-7.936717,150,70.857694
-8.402065,150,73.518391
5.977452,150,73.792013
3.347287,150,74.060827
15.654074,150,74.340418
-1.385123,150,74.590517
5.585311,150,74.851365
1.350607,150,75.102509
-3.34596,150,78.605145
-9.108137,150,78.937815
-13.409698,150,79.216068
-9.977952,150,79.515157
4.058868,150,79.841733
-0.166762,150,80.118126
-5.992496,150,82.8693
-22.352087,150,83.127545
4.096214,150,83.410072
-11.771655,150,83.659042
-17.013559,150,83.902234
5.450916,150,84.151038
5.818431,150,84.393888
3.043874,150,87.350378
-9.169343,150,87.719622
13.159618,150,88.026367
-13.915682,150,88.386977
-2.310286,150,88.833569
9.929472,150,89.321394
-14.106229,150,89.80892
-25.659465,150,92.732248
12.922629,150,92.998197
-21.708723,150,93.262065
-21.210838,150,93.540069
-8.791215,150,93.818961
-4.285421,150,94.076864
-25.270842,150,94.339144
-0.280612,150,96.993832
-5.124334,150,97.255238
-1.809777,150,97.505324
-14.061592,150,97.766155
-6.198499,150,98.050697
-23.69261,150,98.307465
-5.213182,150,98.560421
-10.651818,150,101.13536
-7.3895,150,101.400299
8.649749,150,101.6692
-5.631327,150,101.954796
-4.861501,150,102.305581
0.254274,150,102.650586
-5.800466,150,102.961883
-2.397707,150,106.608231
0.611605,150,106.995586
1.231647,150,107.326413
21.381402,150,107.641491
-7.1529,150,107.911881
4.705956,150,108.204239
-19.745428,150,111.182298
12.480397,150,111.476371
3.033634,150,111.827816
11.619227,150,113.967384
8.040792,150,114.251563
-2.738711,150,114.539172
-5.888925,150,114.838363
-8.012933,150,117.789571
9.950204,150,118.072829
-18.460374,150,118.344024
14.616645,150,118.631404
10.256174,150,118.90091
-14.359703,150,119.167715
13.278382,150,119.433232
-11.21909,150,122.116156
11.225238,150,122.38842
25.03889,150,122.657166
-7.860135,150,122.960236
-1.131858,150,123.25803
4.834488,150,123.527695
-18.438253,150,123.784954
-34.19388,150,126.821877
-7.563855,150,127.235934
-13.524438,150,127.605818
9.905406,150,127.96398
4.418928,150,128.283682
-15.492749,150,128.563292
-18.709673,150,128.827888
4.299007,150,131.716337
-14.646427,150,131.990736
-25.340992,150,132.297834
2.167882,150,132.608082
-4.579869,150,132.875584
4.706425,150,133.132196
14.956385,150,135.821851
-1.075442,150,136.111573
-8.462763,150,136.389583
-8.287526,150,136.647778
-9.104402,150,136.896675
11.051725,150,137.141725
-0.113587,150,137.387902
26.259041,150,140.034225
-1.79133,150,140.284608
-9.385451,150,140.528194
3.804515,150,140.772126
1.70502,150,141.016052
-6.746434,150,141.264189
-7.762768,150,141.511817
7.869532,150,144.15627
7.404331,150,144.407383
-5.587792,150,144.658076
5.586085,150,144.909191
-30.425465,150,145.157892
-5.787641,150,145.449197
-3.34941,150,145.696702
18.607994,150,148.353907
13.09319,150,148.612385
12.111148,150,148.860194
-17.83303,150,149.110276
-8.544264,150,149.360965
3.382022,150,149.610383
-10.381885,150,149.860517
-1.065603,150,152.734821
25.335478,150,152.997945
4.996557,150,153.255065
11.020631,150,153.517753
-2.548469,150,153.779801
-27.339859,150,154.04043
-36.261188,150,154.313398
-7.81215,150,157.084059
13.885216,150,157.347218
20.732473,150,157.599165
13.916942,150,157.844309
24.490095,150,158.090037
5.48269,150,158.348745
26.898864,150,161.353686
2.712699,150,161.635147
-5.915397,150,161.917568
-0.544636,150,162.17986
-15.423792,150,162.497521
-14.171141,150,162.787079
-4.569697,150,163.05409
-5.44007,150,165.869877
6.437111,150,166.123108
-18.333937,150,166.368181
13.457901,150,166.612229
14.400169,150,166.856733
5.100519,150,167.101993
19.827708,150,167.347413
-20.739531,150,170.094477
3.912824,150,170.359418
11.873763,150,170.63608
17.805161,150,170.905223
11.610124,150,171.191764
-6.514903,150,171.456042
10.530808,150,171.712061
19.464938,150,174.684867
2.18132,150,175.019057
28.731611,150,175.335851
-8.812111,150,175.622545
-8.913534,150,175.89817
-1.829592,150,176.170859
12.32504,150,176.456142
-5.238709,150,180.65865
-8.616317,150,181.111144
26.412359,150,181.510118
6.771998,150,181.808153
-38.082767,150,182.105137
4.525108,150,182.413304
4.506474,150,182.692075
-24.958164,150,185.663365
-9.145764,150,185.945145
-9.511742,150,186.211838
17.304592,150,186.482378
8.926266,150,186.749031
-25.232,150,187.027415
15.434578,150,189.905913
11.325178,150,190.159111
13.506499,150,190.477262
10.213041,150,190.782484
23.627997,150,191.071214
4.463732,150,191.336138
-3.517493,150,191.611991
-9.429672,150,194.505044
31.495679,150,194.765428
23.273778,150,195.022213
11.112378,150,195.267739
13.789497,150,195.508492
13.418883,150,195.749645
-1.848454,150,195.991639
9.803016,150,198.679247
9.50781,150,198.922773
-1.159094,150,199.166055
-3.533072,150,199.414307
-4.389378,150,199.657623
-35.599124,150,199.899014
10.985879,150,200.142086
5.76731,150,202.867935
-0.478291,150,203.114565
13.39143,150,203.359133
15.442579,150,203.600665
1.731529,150,203.841676
3.825117,150,204.083823
-9.345058,150,204.325595
-3.046016,150,207.049326
-3.680714,150,207.291408
11.613356,150,207.534513
-2.901464,150,207.779006
8.238111,150,208.046805
9.241289,150,208.284549
5.843813,150,208.526306
29.259996,150,211.205997
1.902443,150,211.453247
24.326573,150,211.698619
-14.124991,150,211.945017
14.170658,150,212.190701
-8.303678,150,212.432079
10.660434,150,215.141792
34.939672,150,215.393647
16.631279,150,215.637483
2.369876,150,215.881798
-0.524498,150,216.125655
6.007958,150,216.369387
-2.800421,150,216.605361
13.880177,150,219.321522
7.211042,150,219.565627
-2.975417,150,219.809144
4.903604,150,220.054223
14.336969,150,220.29844
12.009833,150,220.539965
-2.196751,150,221.90274
13.01417,150,224.64802
-1.518191,150,224.893289
17.081297,150,225.140887
21.425126,150,225.387241
12.501514,150,225.630821
-3.99076,150,225.875486
-4.426433,150,226.120693
-6.959613,150,228.842379
-14.667997,150,229.089323
9.047617,150,229.335891
12.193605,150,229.581858
-3.080508,150,229.827985
0.124551,150,230.073741
13.876378,150,230.331263
11.647722,150,233.053686
7.661237,150,233.298867
-8.718297,150,233.544894
-2.99331,150,233.789804
4.77401,150,234.036762
-2.304825,150,234.283298
2.115363,150,236.970345
-6.356924,150,237.21535
-0.933926,150,237.460156
6.724712,150,237.704645
13.993836,150,237.948827
5.134822,150,238.192452
0.98614,150,238.434038
24.677531,150,241.100935
3.689237,150,241.346514
12.802112,150,241.59165
18.266415,150,241.836891
-1.41982,150,242.083274
17.078362,150,242.329643
4.42067,150,242.581455
20.226796,150,245.32878
0.476995,150,245.580964
19.857191,150,245.826826
-9.834638,150,246.072515
1.123826,150,246.318682
-18.297026,150,246.566845
25.082193,150,246.810934
-1.35254,150,249.563164
-12.42135,150,249.811256
5.47252,150,250.056669
-3.812275,150,250.30337
16.046016,150,250.549471
2.758528,150,250.795835
-12.306203,150,251.033874
-14.163666,150,253.789293
-4.096369,150,254.034313
3.080806,150,254.279482
3.073475,150,254.524134
15.588121,150,254.768277
1.711261,150,255.012902
14.952313,150,255.261393
10.930192,150,257.9849
22.307123,150,258.230132
6.270329,150,258.477103
-7.257682,150,258.721804
3.325899,150,258.967241
-3.948919,150,259.213771
16.228066,150,261.846242
34.423518,150,262.092477
5.637579,150,262.33878
-12.196035,150,262.583809
27.87602,150,262.829096
8.709443,150,263.07319
-1.199082,150,263.319065
6.70401,150,265.993042
10.378507,150,266.237812
4.221583,150,266.484665
-4.810533,150,266.73051
17.699623,150,266.974828
20.392325,150,267.220731
7.548388,150,267.468078
2.992203,150,270.236068
24.07608,150,270.478419
8.898437,150,270.721991
0.271231,150,270.963763
-13.642902,150,271.205863
3.712653,150,271.449102
11.617895,150,271.690323
-1.674839,150,274.43258
-0.251181,150,274.680198
2.21217,150,274.92244
-0.299415,150,275.163971
5.289754,150,275.405977
-9.698717,150,275.648357
31.278176,150,275.922884
16.76568,150,278.643889
14.697868,150,278.886798
0.55985,150,279.127528
26.353191,150,279.369571
16.223243,150,279.613412
13.582003,150,279.854235
-2.369616,150,280.096248
11.980754,150,282.763888
6.238801,150,283.004479
21.611573,150,283.245584
2.438071,150,283.486336
11.716588,150,283.726804
25.823867,150,283.967132
2.559252,150,286.647393
-0.069865,150,286.907022
-20.625519,150,287.148266
11.0684,150,287.390159
-7.277633,150,287.632793
9.710809,150,287.873167
18.293018,150,288.113956
36.597019,150,290.827658
-11.591618,150,291.072339
10.420937,150,291.31326
15.393864,150,291.553518
-0.673615,150,291.793087
4.793662,150,292.032769
26.694374,150,292.268018
18.951253,150,294.954081
22.896103,150,295.195121
6.329406,150,295.436715
24.02625,150,295.677552
26.13617,150,295.918735
5.871699,150,296.160257
8.293591,150,296.39694
26.927963,150,299.14289
35.045559,150,299.385924
0.427969,150,299.627761
10.783255,150,299.8691
30.632089,150,300.114049
4.13091,150,300.356174
2.567693,150,300.599959
18.613856,150,303.31232
27.888991,150,303.561656
10.560655,150,303.804843
15.439039,150,304.046269
18.141117,150,304.28704
8.909157,150,304.528525
-30.109908,150,304.769518
32.826488,150,307.538838
-4.350645,150,307.787378
34.894831,150,308.029058
10.955474,150,308.270323
25.591736,150,308.516868
20.567995,150,308.757766
-0.191288,150,311.520013
30.462791,150,311.760396
-2.447069,150,312.001779
16.669155,150,312.243689
-0.845972,150,312.486306
30.280123,150,312.729248
21.976091,150,312.970718
14.528296,150,315.672916
25.534768,150,315.913032
5.285133,150,316.155307
0.829558,150,316.39681
6.472639,150,316.641971
-3.294554,150,316.88576
26.736443,150,317.12611
-2.41026,150,319.848491
11.349303,150,320.124681
1.434734,150,320.367046
22.830996,150,320.609894
16.303115,150,320.851447
1.967647,150,321.090218
30.84585,150,321.324619
