#{"t_start": 1640686241.1557734, "env_id": "Swimmer-v3"}
r,l,t
8.851594,1000,1.919093
15.19803,1000,4.436518
21.188325,1000,6.861516
29.221813,1000,9.296065
41.820345,1000,12.214406
27.741373,1000,15.415314
26.577909,1000,17.8241
43.499098,1000,20.54175
27.138594,1000,23.234023
26.962949,1000,25.920365
32.702983,1000,28.542767
29.444355,1000,31.233027
60.326102,1000,34.147303
20.644945,1000,36.72729
41.811195,1000,39.405772
73.253728,1000,42.105727
69.984038,1000,44.895474
120.458823,1000,47.506039
147.259024,1000,50.020563
95.824006,1000,52.975629
149.38618,1000,55.555188
167.942461,1000,57.999069
195.81172,1000,60.439215
195.087152,1000,62.8712
224.62987,1000,65.356724
216.879917,1000,75.729295
225.204872,1000,78.875614
247.772375,1000,81.812234
266.377758,1000,85.139542
262.990772,1000,88.220366
284.025232,1000,91.394048
295.888732,1000,94.313746
295.893583,1000,96.724598
302.640663,1000,99.431806
317.670919,1000,101.918818
311.716468,1000,104.578095
310.751206,1000,107.148071
323.239025,1000,109.621202
319.234431,1000,112.315827
316.995103,1000,114.624482
322.26212,1000,117.12254
325.110698,1000,119.616499
342.003812,1000,121.178266
339.114384,1000,124.057801
335.397446,1000,126.460729
345.476109,1000,129.041899
345.066659,1000,131.660489
344.000842,1000,134.284959
339.084188,1000,136.881532
349.530523,1000,139.426955
347.33406,1000,148.619509
353.231146,1000,151.245485
342.425612,1000,153.765525
351.847389,1000,156.544023
354.744017,1000,159.767334
346.563382,1000,163.56657
344.936575,1000,166.355551
352.728609,1000,169.519773
345.500936,1000,172.307245
345.678472,1000,175.128399
357.356046,1000,178.513248
355.071825,1000,181.360906
348.720029,1000,183.837945
352.644584,1000,186.550792
353.673317,1000,189.125549
350.533784,1000,191.625765
350.604207,1000,194.24643
350.007487,1000,196.766938
352.703556,1000,199.60724
354.241604,1000,202.293519
356.826338,1000,204.945451
350.540529,1000,207.473854
356.411603,1000,210.555996
355.658997,1000,213.870361
354.042382,1000,217.069047
353.213386,1000,226.924687
353.915333,1000,229.571639
354.139607,1000,232.16867
356.459583,1000,234.747343
355.299836,1000,237.313829
