#{"t_start": 1640776159.6346464, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
13.479463,13,0.148628
11.731321,9,0.179073
9.471859,6,0.199151
11.911828,8,0.226752
9.111482,9,0.263772
10.634408,9,0.300278
14.499835,16,0.36448
12.792052,10,0.406436
12.926428,10,0.445349
9.803223,14,0.497766
13.809323,12,0.539624
10.476463,10,0.575635
11.456171,11,0.614599
15.835136,15,0.666933
13.969852,14,0.714902
10.87733,7,0.74061
13.372579,11,0.779307
11.045414,8,0.807875
16.827235,16,0.86055
11.955464,9,0.890208
12.839456,10,0.925144
19.852074,26,1.010429
12.007613,13,1.054013
14.787272,16,1.107394
24.741984,26,1.194297
14.43024,15,1.245313
12.461679,12,1.285591
11.396547,8,1.313418
10.875393,10,1.351631
13.858606,13,1.402697
11.880129,14,1.45805
15.114333,14,1.516587
14.407535,12,1.567566
9.802361,8,1.601854
12.977484,11,1.647168
13.407628,13,1.707003
11.405414,12,1.761359
14.057752,12,1.81636
11.637009,14,1.877097
15.592658,15,1.941772
16.308662,15,2.001619
14.315675,11,2.04258
13.590311,12,2.087031
16.472934,19,2.156662
16.180588,12,2.202259
12.496924,9,2.236403
13.104672,10,2.271522
10.401888,14,2.324105
14.003582,14,2.377924
16.798558,19,2.446637
12.356439,11,2.488755
11.21409,7,2.515748
11.394913,9,2.548071
10.088556,7,2.574475
12.599782,10,2.611598
14.611759,17,2.67352
16.276349,16,2.729863
13.35905,15,2.783279
12.123168,8,2.811798
10.592783,7,2.838175
13.021406,13,2.883499
10.132881,11,2.923201
12.114227,9,2.956461
13.682054,13,3.004079
10.571666,8,3.0337
19.383711,24,3.117816
14.120687,16,3.177409
10.08842,9,3.211335
9.335018,10,3.24498
16.772924,19,3.311492
10.265446,13,3.357203
11.347055,12,3.398786
13.773114,14,3.446606
24.786837,32,3.555639
14.014527,12,3.604579
10.888294,7,3.629491
13.925277,10,3.6652
14.694394,12,3.708116
14.479254,18,3.771564
14.273493,19,3.837019
13.722698,10,3.871703
14.884726,15,4.472442
16.810929,15,4.524428
11.763093,7,4.549612
13.776721,14,4.598784
12.842555,19,4.663015
11.361008,16,4.717269
13.706898,18,4.77774
16.693283,21,4.848645
14.139149,10,4.882838
17.72929,17,4.940114
12.327978,8,4.968652
12.45474,9,4.998408
8.555593,9,5.030008
11.019684,10,5.064497
10.912795,7,5.08939
12.234751,9,5.129139
11.227524,9,5.173301
12.343052,10,5.213184
14.398274,15,5.276918
13.401004,15,5.338743
11.007336,8,5.373216
13.706513,11,5.420792
12.694967,8,5.453954
12.301249,9,5.491707
19.457275,19,5.565004
10.187536,11,5.605408
16.561394,18,5.673275
11.985138,7,5.699931
13.136295,10,5.737439
10.558746,8,5.766711
11.81485,9,5.80031
11.724905,8,5.829154
10.150609,7,5.854891
21.873563,34,5.970638
14.370733,11,6.009719
14.999345,16,6.065499
10.776605,11,6.103139
12.985589,12,6.144491
13.783155,9,6.175226
13.395715,16,6.230867
13.251339,9,6.266075
13.829011,11,6.30426
17.883827,18,6.363663
14.513889,20,6.429549
13.696396,17,6.486066
13.042583,11,6.522521
12.242617,9,6.552657
10.876195,12,6.612558
12.004586,11,6.661509
11.256309,9,6.700647
13.087941,12,6.757967
11.948816,8,6.800327
13.59495,10,6.85981
11.091417,14,6.91654
12.053509,9,6.95265
13.407232,14,7.005998
13.107294,14,7.058152
14.100727,12,7.102288
11.354366,7,7.129081
15.004862,12,7.175496
10.31828,12,7.224964
13.552087,10,7.270678
12.695422,13,7.331544
13.077662,15,7.401965
12.441754,17,7.476508
12.029149,7,7.506266
13.144861,17,7.578426
11.728378,8,7.610706
18.811052,18,7.679928
8.205104,7,7.70662
9.82898,8,7.738258
11.623752,9,7.772318
13.286157,8,7.801368
13.161246,9,7.83514
14.644037,12,7.881141
17.452297,16,7.972244
12.942136,10,8.039063
13.017748,13,8.097219
11.417406,10,8.144829
8.476106,6,8.173915
12.417576,19,8.269751
16.663405,16,8.347044
12.623218,9,8.390881
9.86803,7,8.423928
9.943736,9,8.46429
11.148776,10,9.163212
13.994327,13,9.211616
13.218924,12,9.256098
18.861169,17,9.321709
11.918593,9,9.355357
17.527926,16,9.416472
14.60001,16,9.47542
15.595506,15,9.536487
16.56556,15,9.595715
16.383515,16,9.656474
12.653888,9,9.688941
13.722572,15,9.744463
23.88809,32,9.859493
15.162345,18,9.92606
18.318032,18,9.990119
17.100501,13,10.035614
15.279017,16,10.090072
11.470107,7,10.115333
13.696586,11,10.156711
11.505904,11,10.197243
12.349678,9,10.230518
15.747013,16,10.287113
12.82831,11,10.327178
17.064172,16,10.390478
9.237804,9,10.424639
18.974918,19,10.496382
17.266785,24,10.584049
14.791029,12,10.625897
14.688009,12,10.667908
19.523496,23,10.746729
11.713573,8,10.776359
16.929671,25,10.866118
14.028293,13,10.913794
16.681274,20,10.98339
13.395409,11,11.022432
13.910266,9,11.054041
15.463487,21,11.133649
14.440129,13,11.189581
16.557464,19,11.270004
17.343902,16,11.337278
13.423064,13,11.391198
12.36845,8,11.427333
13.054025,12,11.476417
14.532025,15,11.538349
13.861471,14,11.592825
13.522419,12,11.638644
12.599999,9,11.672837
13.610653,11,11.715371
11.811127,9,11.7495
15.693636,15,11.806833
14.565119,15,11.863323
13.548984,10,11.900498
13.644373,14,11.953809
11.447172,10,11.991675
12.277284,16,12.052693
14.553936,11,12.093672
12.088956,9,12.127581
12.613844,17,12.190943
20.273336,21,12.265791
20.932884,28,12.362867
11.9689,11,12.403479
11.742096,13,12.452852
17.050427,22,12.532076
16.744965,22,12.611348
15.310702,14,12.662763
15.462487,12,12.707083
14.88981,18,12.771377
9.893641,7,12.798438
19.316636,30,12.904716
16.839469,18,13.718168
19.225997,28,13.862059
17.646112,22,13.962026
20.533732,21,14.054843
15.24154,17,14.131969
13.430528,12,14.182076
17.500001,23,14.277783
14.322337,12,14.324164
22.909926,28,14.43811
26.697904,27,14.537279
22.019664,24,14.623774
18.206807,15,14.677219
19.666612,22,14.75402
14.096184,14,14.807319
10.939137,9,14.839584
11.441939,10,14.873774
18.504893,23,14.95506
12.549768,9,14.992758
14.437916,16,15.05216
13.570398,11,15.090423
17.819304,24,15.179626
23.147341,29,15.289403
27.700275,39,15.422344
16.897443,17,15.482709
20.077363,21,15.557113
17.954893,22,15.654716
20.668055,20,15.732677
16.229409,19,15.806573
19.219556,21,15.886743
21.077856,28,15.986655
21.314563,22,16.062388
27.407068,29,16.181846
15.164918,13,16.242537
17.125124,16,16.312844
13.329033,21,16.396481
28.636053,40,16.556719
13.134308,12,16.602832
19.962766,23,16.687867
13.564862,16,16.746356
15.715783,16,16.805867
29.934975,40,16.95401
10.259906,7,16.979578
10.849965,7,17.004192
20.198421,23,17.0836
15.20808,14,17.153776
23.63027,27,17.278527
14.027256,17,17.360509
19.176028,20,17.465999
13.906545,17,17.546423
12.212696,10,17.588381
17.101951,15,17.651813
18.998527,27,17.765695
22.982501,27,18.449782
16.391056,20,18.525297
29.583643,38,18.671368
17.770621,17,18.734089
20.418726,29,18.84514
34.051347,34,18.969171
15.256589,15,19.024354
39.934157,54,19.257996
24.899689,31,19.383752
24.674545,37,19.532432
37.197003,62,19.772614
22.554935,31,19.905883
25.54551,28,20.012716
37.057875,51,20.18995
29.904473,48,20.387218
23.841389,25,20.490697
20.145346,21,20.569087
27.706207,42,20.723479
42.347357,54,20.927817
18.832218,21,21.006324
16.227804,59,21.218203
22.304674,24,21.301538
23.410256,23,21.38361
27.942974,35,21.515093
15.366204,21,21.592918
38.624385,51,21.775843
40.729201,50,21.961018
21.39054,27,22.058055
26.754128,33,22.178075
27.891095,41,22.900976
45.047739,55,23.120234
36.723931,51,23.331714
18.799086,27,23.431548
13.854408,13,23.47962
19.448513,22,23.569349
19.12247,23,23.658113
16.836856,15,23.717063
21.759827,29,23.826209
50.419864,58,24.037242
23.542798,29,24.145443
57.167102,67,24.380564
32.322398,51,24.566416
