#{"t_start": 1640685857.515416, "env_id": "Walker2d-v3"}
r,l,t
-2.956952,25,0.076781
1.524726,16,0.103325
-5.585776,7,0.115025
-6.328724,18,0.144722
1.233995,16,0.171739
1.102504,16,0.197806
0.841243,15,0.222694
-2.077595,22,0.258717
-1.902913,22,0.294301
1.876302,13,0.314953
0.893558,10,0.331438
-4.087694,12,0.351775
-9.113311,12,0.370836
-7.076136,15,0.394573
2.643653,17,0.422646
-2.735529,15,0.448362
-3.657764,23,0.485706
-1.058817,20,0.518286
-5.05198,19,0.548735
2.694367,21,0.582465
-4.526402,12,0.601729
-6.148907,19,0.633072
-6.713596,14,0.655163
0.468361,10,0.671793
-0.413407,22,0.707403
-3.732499,9,0.722205
3.805765,14,0.745403
-0.782395,15,0.771197
0.311759,14,0.795266
-1.706626,11,0.813548
3.65338,16,0.840849
-5.764575,11,0.860032
12.614734,47,0.936889
1.664803,16,0.963202
-9.350158,18,0.999516
-2.835904,10,1.015833
-3.00203,19,1.047182
-9.218608,15,1.081127
-7.363806,22,1.143867
-4.164849,13,1.181234
-5.118309,15,1.226696
-0.010091,11,1.250463
2.084061,33,1.321145
-7.807349,10,1.343447
8.306652,26,1.400307
-4.11214,15,1.433898
-6.133052,10,1.457072
-2.853058,8,1.475056
19.189082,32,1.545166
-3.219781,11,1.570126
4.187385,30,1.635431
-4.066604,12,1.662395
-0.193181,9,1.681596
2.200767,12,1.70456
-3.813278,16,1.73369
3.697926,28,1.785324
-6.512411,15,1.812943
-1.350022,11,1.833596
1.303209,13,1.857089
-9.564246,28,1.90713
3.067627,23,2.451089
-2.091224,17,2.484838
0.908009,21,2.525235
-1.760397,14,2.553728
-6.87217,11,2.574846
9.508519,36,2.64268
3.104605,17,2.673429
-0.466579,22,2.712959
-0.202421,19,2.747093
-0.157287,11,2.766735
10.619864,41,2.849929
14.50112,35,2.933081
-2.496269,12,2.963086
-4.195704,8,2.979822
5.958384,22,3.026518
-2.436729,20,3.074792
-5.693382,31,3.141158
0.780557,12,3.165596
5.62779,22,3.210011
-2.774445,9,3.228252
-4.581809,17,3.262061
1.5055,19,3.297249
-0.120108,18,3.331552
-0.872597,13,3.360735
-1.73961,18,3.406054
-1.6305,8,3.430091
-2.224369,10,3.452806
-5.753911,24,3.506773
4.181698,24,3.556319
6.636127,35,3.631351
3.019076,15,3.662785
1.015068,11,3.68506
-0.409422,15,3.717888
-2.817309,9,3.73771
4.150734,27,3.79223
7.157142,23,3.838042
-3.935364,14,3.864314
-2.921881,12,3.886866
-2.342691,24,3.932445
-1.671194,18,3.966358
1.123539,14,3.993643
-3.479219,17,4.025651
-2.802762,19,4.060722
6.070908,44,4.13892
-6.889566,18,4.170846
3.462179,22,4.210446
-3.872841,12,4.2318
3.822354,37,4.296522
0.254112,20,4.330391
-3.580599,22,4.367418
-2.700034,11,4.386564
11.014289,27,4.432412
8.03622,22,4.469053
-3.059356,8,5.107346
-0.462952,14,5.141059
10.979671,36,5.217818
6.498982,19,5.255405
6.512464,60,5.374344
11.438742,41,5.456849
24.410372,46,5.54193
0.530266,13,5.566729
